word,tags,ipa
Cúil Raithin,,ˌkuːlʲ ˈɾˠahənʲ
Daidí na Nollag,,ˌd̪ˠadʲiː n̪ˠə ˈnˠɔl̪ˠəɡ
Daingean,Connacht,"ˈd̪ˠaŋənˠ, ˈd̪ˠaŋən̪ˠ, ˈd̪ˠæŋənˠ, ˈd̪ˠæŋən̪ˠ"
Danmhairge,,ˈd̪ˠanwəɾʲəɟə
Danmhairgis,,ˈd̪ˠanˠwaɾʲɪɟɪʃ
Deirdre,,ˈdʲɛɾˠdʲɾʲə
Deireadh Fómhair,,dʲeɾʲə fuːwəɾʲ
Dh,,"j, ɟ, ɣ"
Dhaidí na Nollag,,ˌɣadʲiː n̪ˠə ˈnˠɔl̪ˠəɡ
Dhia,,jiə
Dia,,dʲiə
Dia dhaoibh,,ˌdʲiə ˈɣiːvʲ
Dia dhuit,,ˌdʲiə ˈɣɪtʲ
Dia duit,,ˌdʲiə ˈd̪ˠɪtʲ
Dia's Muire duit,,ˌdʲiəs ˈmˠɪɾʲə ˈd̪ˠɪtʲ
Diarmaid,,ˈdʲiəɾˠmˠədʲ
Dochartach,Munster; Connacht,ˈd̪ˠɔxəɾˠt̪ˠəx
Doire,,ˈd̪ˠɪɾʲə
Domhnach,,"ˈd̪ˠoːn̪ˠəx, ˈd̪ˠəun̪ˠəx"
Donncha,,"ˈd̪ˠɔn̪ˠəxə, ˈd̪ˠʊn̪ˠəxə"
Droichead Nua,Connacht,"ˌd̪ˠɾˠeːd̪ˠ ˈn̪ˠuː, ˌd̪ˠɾˠəid̪ˠ ˈn̪ˠuː"
Dubhghall,,ˈd̪ˠʊwəl̪ˠ
Dubhghus,,ˈd̪ˠuːɣusˠ
Dáil Éireann,Munster; Connacht,d̪ˠɑːlʲ ˈeːɾʲən̪ˠ
Dé,,dʲeː
Dé Céadaoin,,dʲeː ˈceːd̪ˠiːnʲ
Dé Luain,,"dʲeːˈl̪ˠuənʲ, dʲeːˈl̪ˠuːnʲ"
Dé Máirt,Munster; Connacht,dʲeː ˈmˠɑːɾˠtʲ
Dé Sathairn,,dʲeː ˈsˠahəɾˠnʲ
Dé hAoine,Munster; Connacht,dʲeː ˈhiːnʲə
Déardaoin,Connacht,ˌdʲeːɾˠˈd̪ˠiːnʲ
Dónall,Connacht,"ˈd̪ˠuːnˠəl̪ˠ, ˈd̪ˠuːn̪ˠəl̪ˠ"
Dún Dealgan,Ulster; Connacht,"ˌd̪ˠuːnˠ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲal̪ˠəɡən̪ˠ"
Dún Dealgan,Ulster; Munster; Connacht,ˌd̪ˠuːn̪ˠ ˈdʲal̪ˠəɡən̪ˠ
Dún Laoghaire,Ulster; Connacht,d̪ˠuːn̪ˠ ˈl̪ˠiːɾʲə
Dún Éideann,,"ˈd̪ˠuːnˠ ˈeːdʲən̪ˠ, ˈd̪ˠuːn̪ˠ ˈeːdʲən̪ˠ"
Eabhrac,,ˈəuɾˠək
Eanáir,,ˈan̪ˠɑːɾʲ
Eastóinis,,"asˠˈtˠoːnʲɪʃ, ˈasˠtˠoːnʲɪʃ"
Eibhlín,Connacht,ˈɛvʲəlʲiːnʲ
Eithne,,"ˈɛhnʲə, ˈɛnʲə"
Eochaidh,Connacht,ˈɔxiː
Eoghan,Connacht,oːnˠ
Eoghan,Munster; Connacht,oːn̪ˠ
Eoin,,oːnʲ
Eoraip,,ˈoːɾˠəpʲ
Faoilleach,Connacht,ˈfˠiːl̠ʲəx
Feabhra,,fʲauɾˠə
Feardorcha,,ˈfʲaɾˠd̪ˠɔɾˠəxə
Fearghal,,ˈfʲaɾˠəlˠ
Fearghas,Connacht,ˈfʲæːɾˠiːsˠ
Fhaoilleach,Connacht,ˈiːl̠ʲəx
Fhionlainn,,ˈɪnlˠən̠ʲ
Fhionlainnis,,ˈɪn̪ˠl̪ˠən̠ʲɪʃ
Fhrainc,,ɾˠaɲc
Fhranc,,ˈɾˠaŋk
Fhranca,,ˈɾˠaŋkə
Fianna Fáil,,ˈfʲiən̪ˠə ˈfˠɑːlʲ
Fine Gael,,ˌfʲɪnʲə ˈɡeːlˠ
Fionlainn,,ˈfʲɪnlˠən̠ʲ
Fionlainnis,,ˈfʲɪn̪ˠl̪ˠən̠ʲɪʃ
Fionlainnise,,ˈfʲɪn̪ˠl̪ˠən̠ʲɪʃə
Fionnabhair,,ˈfʲɪn̪ˠuːɾʲ
Fionnghall,,fʲuːnɣal
Fionnghuala,,fʲɪn̪ˠˈuːəlˠə
Frainc,Ulster; Connacht,fˠɾˠæɲc
Fraince,Ulster; Connacht,ˈfˠɾˠæɲcɪ
Fraincis,,ˈfˠɾˠaɲcɪʃ
Franc,,ˈfˠɾˠaŋk
Franca,,ˈfˠɾˠaŋkə
Fínín,Connacht,ˈfʲiːnʲiːnʲ
Fíníneachas,Connacht,ˈfʲiːnʲiːnʲəxəsˠ
