,tags,ipa,word,region
0,Ulster,/ˈkabˠəɾˠl̠ʲinʲ/,caibirlín,Ulster
0,Ulster,/ˈd̪ˠɨ̞ɾˠn̠ʲinʲ/,doirnín,Ulster
0,Ulster,/ˈclʲɪʃmʲəɾˠn̪ˠiː/,clismearnach,Ulster
1,Ulster,/ˈclʲɪʃmʲəɾˠn̠ʲiː/,clismearnach,Ulster
0,Ulster,/ˈl̪ˠʌbˠəɾˠn̠ʲə/,liobairne,Ulster
0,Ulster,/ˈɡɔɾˠtʲɔɡ/,goirteog,Ulster
0,Ulster,/ˈkæʃmʲəɾˠtʲ/,caismirt,Ulster
0,,/bˠʌnˠ ˈɾˠɨ̞bʲə/,bun ribe,
0,Aran,/ˌfˠɪlʲ ˈt̪ˠɾˠuːnə/,fuil shróine,Connacht
0,Munster,/mʲeːvˠ/,Méabh,Munster
1,Connacht,/mʲeːw/,Méabh,Connacht
2,Ulster,/mʲeːwə/,Méabh,Ulster
3,Ulster,[mʲɛə̯wə],Méabh,Ulster
0,,/ˈmʲeːvʲiːnʲ/,Méibhín,
0,Munster,/bˠuːɾˠˈd̪ˠuːn̪ˠ/,burdún,Munster
0,Munster,/(ə)ˈɾʲuːn̪ˠəx/,oiriúnach,Munster
0,,/ˈmˠʊŋɡəɾˠl̪ˠəx/,mungarlach,
0,Munster,/ˈt̪ˠuːl̪ˠəkə/,tionlacadh,Munster
0,Munster,/ˈl̪ˠãũn̪ˠɾˠə/,lonradh,Munster
1,Munster,/ˈlũːn̪ˠɾˠə/,lonradh,Munster
0,,/ˈn̪ˠɔd̪ˠəɾʲə/,nodaire,
0,Ulster,/ˈfˠɔɾˠsˠu/,fuirseadh,Ulster
0,Ulster,/ˈfˠɔɾˠsˠtʲə/,fuirste,Ulster
0,Ulster,/ˈfˠɔːɾˠsˠtʲənˠ/,fóirstean,Ulster
1,Ulster,/ˈfˠɔːɾˠsˠtʲən̪ˠ/,fóirstean,Ulster
0,Ulster,/ˈfˠɔːɾˠsˠtʲənʲa(x)/,fóirsteanach,Ulster
0,Ulster,/clʲiˈɔɾˠʃtʲə/,cliath fhuirste,Ulster
0,Ulster,/ˈiəɾˠhə/,iarrfaidh,Ulster
