word,tags,ipa
stairiúil,Ulster,ˈsˠtˠaɾʲulʲ
seanchas,,"ˈʃanˠəxəsˠ, ˈʃan̪ˠəxəsˠ"
cánach,Ulster,ˈkæːnˠa(h)
suirí,Munster,sˠɪˈɾʲiː
Cóbh,,koːvˠ
muirín,Ulster,ˈmˠɪɾʲinʲ
gearrtha,Cois-Fharraige; Mayo,ˈɟɑːɾˠhə
dealbh,,ˈdʲalˠəvˠ
eascann,Aran,ˈæsˠkən
clamhsán,Connacht,"ˈklˠausˠɑːnˠ, ˈkl̪ˠausˠɑːn̪ˠ"
drong,Aran,d̪ˠɾˠɔŋ
suíomh,Galway; Munster,sˠiːvˠ
cumannachas,,ˈkʊmˠən̪ˠəxəs
mairg,Munster,ˈmˠɑɾʲɪɟ
deiseal,,ˈdʲɛʃəlˠ
brisfidh,Munster,ˈbʲɾʲɪʃɪɟ
caitheamh,Mayo,ˈkahuː
tagann,,ˈt̪ˠaɡən̪ˠ
straiméad,Ulster,ˈsˠt̪ˠɾˠaːmʲædʲ
deargadh,Galway; Munster,ˈdʲaɾˠəɡə
ar an ásc sin,Ulster,ɛɾʲ ənˠ ˈæːsk ʃɪnʲ
buíocán,Connacht,"ˈbˠiːkɑːnˠ, ˈbˠiːkɑːn̪ˠ"
máistir,Ulster,ˈmˠaiʃtʲəɾʲ
áraistí,Munster,ɑːɾˠəʃˈtʲiː
dailtín,Munster,d̪ˠɑlʲˈtʲiːnʲ
eascrach,,ˈasˠkɾˠəx
fathach,Ulster,"fˠaːx, ˈfˠaiha(x)"
airde,Ulster,ˈʌɾˠdʲə
peanna,Cois-Fharraige,ˈpʲaːn̪ˠə
maraigh,Mayo,ˈmˠaɾˠiː
Bealach Féich,Ulster,ˌbʲalˠa(x)ˈfʲəi̯
anraith,Ulster,"ˈaːnˠɾˠɪ, ˈaːnˠrˠɪ"
ceirt,,cɛɾˠtʲ
spreagadh,Munster,ˈsˠpʲɾʲaɡəɡ
fill,Munster,fʲiːlʲ
fria,Cois-Fharraige,fˠɾˠeː
einte,Ulster,ˈen̠ʲtʲə
beireadh,Mayo,ˈbʲɛɾʲuː
macánta,Connacht,ˈmakɑːn̪ˠt̪ˠə
barúil,Connacht,ˈbˠaɾˠuːlʲ
galraí,Ulster,"ˈɡalˠɾˠiː, ˈɡalˠrˠiː"
adhann,Munster,ˈɑɪ(ə)n̪ˠ
cealg,Ulster; Munster; Connacht,ˈcal̪ˠəɡ
saonta,Munster,ˈsˠeːn̪ˠt̪ˠə
cruthaigh,Ulster,ˈkɾˠʊhi
deileanna,,ˈdʲɛlʲən̪ˠə
fealsúnacht,Connacht,ˈfʲal̪ˠsˠuːnˠəxt̪ˠ
nó go,Munster,n̪ˠuː ɡə
