,word,tags,ipa,results
1943,cléireach,Munster; Connacht,ˈclʲeːɾʲəx,kl̪ɛɾʲəx
1944,clí,,clʲiː,kl̪ɪ
1966,cnó,,,kɾˠʊ
1984,cogús,,,kʊgʊ̽sˠ
2088,crean,,cɾʲanˠ,kɾʲɑn̪
2089,creid,Munster; Connacht,cɾʲɛdʲ,kɾʲɛdʲ
2090,creidfead,,ˈcɾʲɛtʲəd̪ˠ,kɾʲɛdʲfʲəd̪
2091,creidim,Munster; Connacht,ˈcɾʲɛdʲəmʲ,kɾʲɛdʲimʲ
2092,creidmheach,Connacht,ˈcɾʲedʲvʲəx,kɾʲɛdʲvʲəx
2093,creidmheas,,ˈcɾʲɛdʲˌvʲasˠ,kɾʲɛdʲvʲəsˠ
2094,creig,,cɾʲɛɟ,kɾʲɛɟ
2097,crith,,"cɾʲi(h), cɾʲiç",kɾʲɪç
2098,critheann,,"ˈcrʲɪhən̪ˠ, ˈcrʲɪçən̪ˠ",kɾʲɪçən̪ˠ
2100,critic,,ˈcɾʲɪtʲɪc,kɾʲɪtʲic
2153,créatúr,Connacht,ˈcɾʲeːt̪ˠuːɾˠ,kɾʲɑt̪əɾˠ
2157,críochnaigh,Connacht,"ˈcɾʲiəxn̪ˠiː, ˈcɾʲiəxn̪ˠə",kɾʲɪxn̪ə
2158,críochnaithe,,ˈcɾʲiːxn̪ˠɪhɪ,kɾʲɪxn̪içi
2159,críochnaím,Connacht,ˈcɾʲiəxn̪ˠiːmʲ,kɾʲɪxn̪imʲ
2160,críon,,cɾʲiːnˠ,kɾʲɪn̪
2182,cuibhrinn,,ˈkɪvʲɾʲən̠ʲ,cuibhrinn
2189,cuimhneochaidh,,ˈkɨ̃vʲnʲaxə,cuimhneochaidh
2192,cuimhnigh,Mayo; Connacht,ˈkivʲnʲiː,cuimhnigh
2190,cuimhnigh,Connacht,"ˈkiːnʲə, ˈkĩvʲnʲiː",cuimhnigh
2198,cuir i gcás,,ˌkɪɾʲ ə ˈɡɑːsˠ,kəiɾʲ ɪ gasˠ
2224,cumhachtaigh,,,kəuəxt̪ə
2258,cál ceannann,Munster; Connacht,ˌkɑːlˠ ˈcan̪ˠən̪ˠ,kal̪ cæn̪ˠən̪ˠ
2262,cár,,,kɑːɾˠ
2265,cárt,Munster; Connacht,kɑːɾˠt̪ˠ,cɑːɾˠt̪
2340,cú faoil,,ˌkuː ˈfˠiːlʲ,kʊ fˠiːl̪
2531,dh,,"j, ɟ, ɣ",ɣ
2566,dhreas,,jɾʲasˠ,ɣɾˠasˠ
2573,dhá,Munster; Connacht,"(ɣ)ɑː, ɣɑː",ɣa
2579,dhíbhse,,ˈjiːvʲʃə,dhíbhse
2613,diosfaige,,ˌdʲəsˈfɑɟə,dʲɪsˠfˠiɟi
2674,dorrga,,,d̪ʊɾˠgʊ̽
2926,each,,ax,æx
2927,eachra,,ˈaxɾˠə,æxɾˠə
2930,eadhon,,"aːn, aːən",əiən̪
2937,ear,,aɾˠ,ɑːɾˠ
2947,easpag,Aran; Connacht,ˈæsˠpˠəɡ,asˠpˠəg
2946,easpag,Connacht,"ˈæsˠpˠoːɡ, ˈaːsˠpˠək",asˠpˠəg
2954,eicínt,,"əˈciːn̠ʲtʲ, əˈciːn̠ʲtʲʃ",ɛcən̪t̪
2966,eiteog,Connacht,ˈɛtʲoːɡ,ɪtʲoːg
3059,feann,,,fʲɑːn̪ˠ
3116,fheadha,Munster; Connacht,ɑː,əiə
3118,fhear,,aɾˠ,ɑːɾˠ
3119,fhear mhire,,aɾˠ ˈvʲiɾʲə,ɑːɾˠ vʲɪɾˠə
3120,fhearr,,aːɾˠ,ɑːɾˠ
3136,fhir,,ɪɾʲ,aɾˠ
3140,fhocal,Connacht,ˈɔkəlˠ,ʊkʊ̽l̪
3147,fhuaigh,Connacht,uə,ʊə
3155,fhág,Munster; Connacht,ˈɑːɡ,ag
3156,fhágadar,Munster; Connacht,ˈɑːɡəd̪ˠəɾˠ,agidʲəɾˠ
3157,fhágáil,Connacht,ˈɑːɡɑːlʲ,agəl̪
3158,fháilteoir,,,ail̪t̪oːɾˠ
3160,fhásas,Munster; Connacht,ˈɑːsˠəsˠ,asˠəsˠ
3161,fhéadaim,Munster; Connacht,ˈeːd̪ˠəmʲ,ad̪əmˠ
3164,fhéidir,,ˈeːdʲəɾʲ,ɛd̪əɾˠ
3165,fhéin,,heːnʲ,ɛn̪
3166,fhéir,,eːɾʲ,aɾˠ
3167,fhírinne,Ulster; Connacht,ˈiːɾʲən̠ʲə,ɪɾˠən̠ʲə
3168,fhís,,iːʃ,ɪsˠ
3169,fhómhair,Connacht,ˈoːvˠəɾʲ,ʊvˠʊ̽ɾˠ
3192,fill,,,fʲiːl̠ʲ
3378,fíon dearg,,ˌfʲiːnˠ ˈdʲaɾˠəɡ,fʲɪn̪ dʲæɾˠəg
3379,fíon geal,,ˌfʲiːnˠ ˈɟalˠ,fʲɪn̪ ɟɑl̪
3396,fós,,,fˠʊsˠ
3404,gC,,"ɟ, ɡ",g
3405,gCeanada,,ˈɟanˠəd̪ˠə,gan̪əd̪ə
3406,ga,,ɡa,ga
3408,gabha,Mayo; Connacht,ˈɡəuə,gəuəə
3409,gabhaidh,,ˈɡohiː,gəuəə
3410,gabhaidís,,ˈɡauədʲiːʃ,gəuəəd̪iʃ
3411,gabhair,,,gəuəəɾˠ
3413,gabhar,Connacht,ˈɡɑuəɾˠ,gəuəəɾˠ
3414,gabhlóg,Connacht,"ˈɡɑulˠoːɡ, ˈɡɑul̪ˠoːɡ",gəuəl̪əg
3415,gabháil,Connacht,ˈɡɔwɑːlʲ,gəuəəl̪
3417,gabhála,Connacht,ˈɡawɑːlˠə,gəuəəl̪ə
3418,gabháltas,Connacht,ˈɡoːl̪ˠt̪ˠəsˠ,gəuəəl̪t̪əsˠ
3422,gach uile,Aran; uncommon; Connacht,ˈxɯlʲə(corresponding to the form,gax ɪl̪ə
3424,gad,,"ɡad̪ˠ, ɡɑd̪ˠ",gad̪
