tags	ipa	word
Connacht 	/ˈpˠɑːʃtʲiː/	páistí
Connacht 	/ˈmˠuːn̠ʲtʲoːɾʲ/	múinteoir
Connacht 	/ˈmˠuːn̠ʲtʲoːɾʲiː/	múinteoirí
Connacht 	/əʃˈtʲæx/	isteach
Connacht 	[əʃˈtʲæːx]	isteach
Connacht 	/əˈwalʲə/	abhaile
Connacht 	/l̪ˠɑːnˠ/	lán
Connacht 	/l̪ˠɑːn̪ˠ/	lán
Connacht 	/l̪ˠɑːnˠ/	lán
Connacht 	/l̪ˠɑːn̪ˠ/	lán
Connacht 	/l̪ˠɑːnˠ/	lán
Connacht 	/l̪ˠɑːn̪ˠ/	lán
Connacht 	/ˈfˠaːl̪ˠə/	folamh
Connacht 	/ˈfˠɔlˠuː/	folamh
Connacht 	/ˈfˠɔl̪ˠuː/	folamh
Connacht ; Munster 	/ˈdʲiːɾʲəx/	díreach
Connacht ; Munster 	/ˈdʲiːɾʲəx/	díreach
Connacht ; Munster 	/ˈfˠɑd̪ˠə/	fada
Connacht ; Connacht ; Ulster 	/ˈfˠad̪ˠə/	fada
Connacht 	/ˈfˠɛdʲə/	faide
Connacht ; Munster 	/ˈmʲɪlʲəʃ/	milis
Connacht ; Munster 	/ɟeːɾˠ/	géar
Connacht 	[ɡl̪ˠaːn̪ˠ]	glan
Connacht 	/ˈsˠɑlˠəx/	salach
Connacht 	/ˈsˠalˠəx/	salach
Connacht ; Connacht 	[ˈsˠaːl̪ˠəx]	salach
Connacht 	/ˈt̪ˠɔɾˠʃəx/	tuirseach
Connacht 	/tʲiːn̠ʲ/	tinn
Connacht ; Ulster 	/tʲɪn̠ʲ/	tinn
Connacht ; Munster 	/ˈmˠɑːl̪ˠə/	mála
Connacht 	[ˈmˠɑːlˠiː]	málaí
Connacht 	/ˈbˠʊsˠkə/	bosca
Connacht 	/ˈbˠɞsˠkə/	bosca
Connacht 	/ˈbˠɞsˠkijə/	boscaí
Connacht 	/ˈbˠɔsˠkiː/	boscaí
Connacht ; Munster 	/sˠɾˠɑːdʲ/	sráid
Connacht ; Munster 	[sˠɾˠɑː(i̯)dʲ]	sráid
Connacht 	/ˈauɾˠl̪ˠɑːɾˠ/	urlár
Connacht 	/ˈbˠan̠ʲə/	bainne
Connacht 	/ˈbˠæn̠ʲə/	bainne
Connacht 	/ən̪ˠˈʃɔ/	anseo
