tags,ipa,word,tags_
Connacht Irish; Connacht Irish; Ulster Irish,/fˠad̪ˠ/,fad,
,/mˠak/,mac,
,/mˠɑk/,mac,
,/dʲɛt̪ˠ/,det,Munster Irish
Ulster Irish,/ʃcɨ̞nˠ/,scion,Ulster Irish
Ulster Irish,/ʃcɨ̞n̪ˠ/,scion,Ulster Irish
,/ˈfʲɪnʲə/,fine,
,/ˈfˠaɾʲə/,faire,
Ulster Irish,/ˈfˠæɾʲə/,faire,
Munster Irish,/ˈaɾʲə/,aire,
Munster Irish,/ˈɑɾʲə/,aire,
Connacht Irish,/ˈæːɾʲə/,aire,
Connacht Irish,/ˈaːɾʲə/,aire,
Connacht Irish,/ˈɑːɾʲə/,aire,
Ulster Irish,/ˈæɾʲə/,aire,
,/lʲɛ/,le,
Connacht Irish; Munster Irish,/bʲoː/,beo,
Ulster Irish,/bʲɔː/,beo,
,/ɾˠɔk/,roc,
,/sˠak/,sac,
Connacht Irish,[sˠaːk],sac,
Connacht Irish; Ulster Irish; ,/n̠ʲiː/,nigh,
Connacht Irish; Ulster Irish; ; ; ,/nʲiː/,nigh,
,/n̠ʲiə/,nia,
,[d̪ˠ],d',
,[dʲ],d',
Ulster Irish; ,/ə/,d',
Ulster Irish; ,/ə.ɣ-/,d',
Ulster Irish; ,/ə.j-/,d',
,[bʲɾʲiən̪ˠ],Brian,
Munster Irish,/bʲan̪ˠ/,bean,
Connacht Irish,/bʲæn/,bean,
Connacht Irish,/bʲæːn̪ˠ/,bean,
Connacht Irish; Ulster Irish,/bʲanˠ/,bean,
Connacht Irish; Ulster Irish,/bʲan̪ˠ/,bean,
,/d̪ˠɔt̪ˠ/,dot,Munster Irish
Connacht Irish; Munster Irish,/ˈpˠɑkə/,paca,
Connacht Irish; Connacht Irish; Ulster Irish,/ˈpˠakə/,paca,
,/ˈn̪ˠɔɾˠ(ə)mˠəlˠ/,normal,
,/ˈʃal̪ˠ/,seal,
,/ˈʃalˠ/,seal,
,[l̪ˠɪnˠ],loin,
,/ˈskaɾˠ/,scar,
Connacht Irish; Munster Irish,/pˠʊsˠ/,pus,
Ulster Irish,/pˠʌsˠ/,pus,
,/ɪd̪ˠ/,id,Munster Irish
Connacht Irish; Munster Irish,/tʲoː/,teo,
Ulster Irish,/tʲɔː/,teo,
,/ɡɑd̪ˠ/,gad,
,/ɡad̪ˠ/,gad,
Connacht Irish,[ɡaːd̪ˠ],gad,
,[kɔl̪ˠ],col,
Munster Irish,/ɡeːl̪ˠ/,gaol,
Munster Irish,[ɡëːə̯l̪ˠ],gaol,
Connacht Irish,/ɡiːlˠ/,gaol,
Ulster Irish,/ɡiːlˠ/,gaol,
Ulster Irish,/ɡɯːlˠ/,gaol,
Munster Irish,/t̪ˠoːl̪ˠ/,toll,
Connacht Irish,/t̪ˠəul̪ˠ/,toll,
Ulster Irish,/t̪ˠʌl̪ˠ/,toll,
Connacht Irish; Munster Irish,/bˠɑːɾˠd̪ˠ/,bard,
Ulster Irish,/bˠæːɾˠd̪ˠ/,bard,
,/ˈɡeːlʲɟɪ/,Gaeilge,
Munster Irish,/ˈɡeːl̪ˠənʲ/,Gaeilge,
Munster Irish,[ˈɡɰeːl̪ˠɪnʲ],Gaeilge,
Munster Irish,[ˈɡɰeːl̪ˠɪɲ],Gaeilge,
Connacht Irish,/ˈɡeːlʲɟɪ/,Gaeilge,
Connacht Irish; Ulster Irish,/ˈɡeːlʲɪc/,Gaeilge,
,/ˈɡeːlɪɲ/,Gaedhlaing,Munster Irish
Munster Irish; Munster Irish,/ˈɡeːl̪ˠɪɲ/,Gaolainn,
Munster Irish,/ˈɡeːl̪ˠɪnʲ/,Gaolainn,
,/ˈɡeːlʲɟə/,Gaedhilge,
,/ˈpˠʌn̪ˠt̪ˠə/,punta,
,/t̪ˠ/,t',Connacht Irish
,/tʲ/,t',Connacht Irish
,/l̪ˠɑɡ/,lag,
,/l̪ˠaɡ/,lag,
,[l̪ˠaːɡ],lag,
,/l̪ˠʌɡ/,lag,
Ulster Irish,/ˈʃɛçə/,seiche,Ulster Irish
Ulster Irish,[ˈʃɛi̯çə],seiche,Ulster Irish
Munster Irish,/fʲiːlʲ/,fill,
Connacht Irish,/fʲiːl̠ʲ/,fill,
Connacht Irish; Ulster Irish,/fʲɪl̠ʲ/,fill,
Munster Irish,/ɡɔbˠ/,gob,
Munster Irish,/ɡɞbˠ/,gob,
Connacht Irish,/ɡɔbˠ/,gob,
Ulster Irish,/ɡʌbˠ/,gob,
,/ˈɡɔl̪ˠə/,gola,
,/ˈɡɔlˠə/,gola,
,/ˈcɾʲɪtʲɪc/,critic,
,/ˈpˠaɾˠəɡɾˠafˠ/,paragraf,
