tags	ipa	word
Connacht ; Munster 	/ˈtʲɪɟɪmʲ/	tigim
Connacht ; Munster 	/ˈoːɾˠɡə/	órga
Connacht 	/fˠoːɾˠk/	forc
Connacht 		cealgfaidh
Connacht 	/ˈmʲakənˠ/	meacan
Connacht 	/ˈbˠɪɾʲən̪ˠ/	baineann
Connacht 	/sˠiːɾˠ/	saor
Connacht 	/cæd̪ˠ/	cead
Connacht 	/ˈuːɾˠl̪ˠə/	urla
Connacht ; Munster 	/ˈfʲeːdʲəɾˠhəxt̪ˠ/	féidearthacht
Connacht ; Munster 	/ˌklˠɔx n̪ˠə ˈbˠlˠɑːɾˠn̪ˠənˠ/	Cloch na Blarnan
Connacht 	/ˈfʲiəklˠoːɾʲ/	fiaclóir
Connacht ; Ulster 	/ˈsˠt̪ˠaiɾʲə/	staighre
Connacht 	/ˈfˠɔɾˠmʲuːl̪ˠəxt̪ˠ/	foirmiúlacht
Connacht 	/ɡɔlˠ/	gol
Connacht ; Munster 	/uəxt̪ˠ/	uacht
Connacht 	/bˠɞsˠ/	bus
Connacht 	/ˈdʲɾʲoːlʲiːnʲ/	dreoilín
Connacht 	/bʲɾʲɪɡ/	bruig
Connacht ; Munster 	/ˈɑbˠəɾʲ/	abair
Connacht ; Munster 	/ˈsˠkuəbˠə/	scuabadh
Connacht 	/ˈuːɑːsˠ/	uafás
Connacht 	/kɑːlˠ/	cál
Connacht ; Munster 	/ˈt̪ˠuːt̪ˠəx/	tútach
Connacht 	/ˈkiːnʲə/	cuimhnigh
Connacht 	/bˠɾˠuːn̪ˠ/	brón
Connacht 	/ˈsˠkɾˠuːd̪ˠə/	scrúdaigh
Connacht 	/ˈbˠɔd̪ˠəx/	bodach
Connacht ; Munster 	/ˈmʲinʲ/	min
Connacht 	/ˈæɟnʲə/	aigne
Connacht 	/eːd̪ˠ/	éad
Connacht 	/ˈbˠɾˠaxɑːn̪ˠ/	brachán
Connacht 	/ˈfʲɾʲasˠt̪ˠəlˠiː/	freastalaí
Connacht ; Ulster 	/bˠɾˠat̪ˠ/	brat
Connacht ; Munster 	/ˈʃl̠ʲɑː/	sleá
Connacht ; Ulster 	/ˈkatʲiːnʲ/	caitín
Connacht ; Ulster 	/l̠ʲɛʃ/	leis
Connacht 	/ˈdʲeːnəsˠ/	déanas
Connacht ; Connacht 	[ˈkaːl̠ʲə]	cailleadh
Connacht 	/ˈæʃtʲəʃə/	aistise
Connacht ; Munster 	/ˈl̪ˠɔsˠkən̪ˠ/	loscann
Connacht 	/ˈt̪ˠaui/	tabhaigh
Connacht 	/fˠuːbʲ/	fúibh
Connacht ; Munster 	/ˈmˠiːn̠ʲtʲəɾʲ/	muintir
Connacht ; Munster 		Nóra
Connacht 	/ˈkɔɾˠə/	corraigh
Connacht ; Connacht 	/ˈt̪ˠɾˠosˠkuː/	troscadh
Connacht 	/ˈkimʲnʲiːmʲ/	cuimhním
Connacht ; Ulster 	/ˈbˠat̪ˠə/	bata
Connacht 	/ˈsˠalˠən̪ˠ/	salann
Connacht 	/sˠl̪ˠat̪ˠ/	slat
Connacht 	/ˈiːlʲə/	aoiligh
Connacht 	/sˠpʲɾʲid̪ˠ/	spiorad
Connacht 	/ˈmˠaɾˠuː/	marbh
Connacht ; Munster 	/sˠpˠɑːsˠ/	spás
Connacht ; Munster 	/ˈbˠɾˠʌn̪ˠəmʲ/	bronnaim
Connacht 	/ʃceːl̪ˠ/	scéal
Connacht 	/ˈfˠuːvˠəɾʲ/	fómhair
