word,tags,ipa,results
Dáil Éireann,Munster; Connacht,d̪ˠɑːlʲ ˈeːɾʲən̪ˠ,dʲail̪ ɛɾʲən̪ˠ
Dé,,dʲeː,dʲɛ
Dé Céadaoin,,dʲeː ˈceːd̪ˠiːnʲ,dʲɛ cɑdʲiən̪
Dé Luain,,"dʲeːˈl̪ˠuənʲ, dʲeːˈl̪ˠuːnʲ",dʲɛ l̪uaən̪
Dé Máirt,Munster; Connacht,dʲeː ˈmˠɑːɾˠtʲ,dʲɛ mʲɑːɾʲt̪
Dé Sathairn,,dʲeː ˈsˠahəɾˠnʲ,dʲɛ sˠatʲçiɾʲn̪
Dé hAoine,Munster; Connacht,dʲeː ˈhiːnʲə,dʲɛ çæən̪ə
Déardaoin,Connacht,ˌdʲeːɾˠˈd̪ˠiːnʲ,dʲærdʲiən̪
Dónall,Connacht,"ˈd̪ˠuːnˠəl̪ˠ, ˈd̪ˠuːn̪ˠəl̪ˠ",d̪ʊn̪ʊ̽l̪l̪
Dún Dealgan,Ulster; Connacht,"ˌd̪ˠuːnˠ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲal̪ˠəɡən̪ˠ",d̪ʊn̪ dʲɑl̪gən̪
Dún Dealgan,Ulster; Munster; Connacht,ˌd̪ˠuːn̪ˠ ˈdʲal̪ˠəɡən̪ˠ,d̪ʊn̪ dʲɑl̪gən̪
Dún Laoghaire,Ulster; Connacht,d̪ˠuːn̪ˠ ˈl̪ˠiːɾʲə,d̪ʊn̪ l̪aiɟçiɾʲi
Dún Éideann,,"ˈd̪ˠuːnˠ ˈeːdʲən̪ˠ, ˈd̪ˠuːn̪ˠ ˈeːdʲən̪ˠ",d̪ʊn̪ ɛdʲən̪ˠ
Eabhrac,,ˈəuɾˠək,abˠhɾˠək
Eanáir,,ˈan̪ˠɑːɾʲ,an̪iɾʲ
Eastóinis,,"asˠˈtˠoːnʲɪʃ, ˈasˠtˠoːnʲɪʃ",astʲən̪iʃ
Eibhlín,Connacht,ˈɛvʲəlʲiːnʲ,ɛbʲhl̪ən̪
Eithne,,"ˈɛhnʲə, ˈɛnʲə",ɛtʲhn̪ə
Eochaidh,Connacht,ˈɔxiː,oːcçiː
Eoghan,Connacht,oːnˠ,oːghən̪
Eoghan,Munster; Connacht,oːn̪ˠ,oːghən̪
Eoin,,oːnʲ,oːən̪
Eoraip,,ˈoːɾˠəpʲ,oːɾʲipʲ
Faoilleach,Connacht,ˈfˠiːl̠ʲəx,fʲæəl̪l̪əx
Feabhra,,fʲauɾˠə,fʲɑbˠhɾˠə
Feardorcha,,ˈfʲaɾˠd̪ˠɔɾˠəxə,fʲæɾˠd̪əɾˠkhə
Fearghal,,ˈfʲaɾˠəlˠ,fʲæɾˠghəl̪
Fearghas,Connacht,ˈfʲæːɾˠiːsˠ,fʲæɾˠghəsˠ
Fhaoilleach,Connacht,ˈiːl̠ʲəx,fʲçæəl̪l̪əx
Fhionlainn,,ˈɪnlˠən̠ʲ,fˠhɪn̪l̪əən̠ʲ
Fhionlainnis,,ˈɪn̪ˠl̪ˠən̠ʲɪʃ,fˠhɪn̪l̪ən̪n̪iʃ
Fhrainc,,ɾˠaɲc,fˠhɾʲaink
Fhranc,,ˈɾˠaŋk,fˠhɾˠank
