word,tags,ipa,results
iníona,Connacht,ˈinʲiːnˠiː,ɪn̪ən̪ə
siar,,ʃiəɾˠ,ʃiəɾˠ
chúrsa,,ˈxuːɾˠsˠə,xɔɾˠsˠə
phuca,,ˈfˠʊkə,fˠʊkə
bréan,Ulster; Connacht,bʲɾʲeːnˠ,bɾʲɑn̪
pobal,Connacht,ˈpˠɔbˠəlˠ,pˠɔbˠəl̪
bréige,,ˈbʲɾʲeːɟɪ,bɾʲɛɟi
fhearthainn,Ulster; Kerry; Cork; Connacht,ˈaɾˠhən̠ʲ,mˠKɾˠ_FHInˠITlˠEnˠɑrçən̠ʲ
díomá,Connacht,ˈdʲiːmˠɑː,d̪ɪmˠə
ng,,"ŋ, ŋɡ, ɲ, ɲɟ",ŋ
Cian,,ˈciənˠ,ciən̪
do,,"d̪ˠɔ, d̪ˠə",d̪ɔ
geairid,,ˈɟaɾʲədʲ,ɟaiɾʲidʲ
ó shin,,oː ˈhɪnʲ,ɔ ç'ɪn̪
léite,,"ˈl̠ʲeːtʲə, ˈl̠ʲei̯tʲə",l̪ɛtʲi
cearc ghoir,,ˈcaɾˠk ˈɣɪɾʲ,cɑːrk jəiɾʲ
pluid,,pˠlˠɪdʲ,pˠl̪ɪdʲ
goidim,Connacht,ˈɡɞdʲəmʲ,ɟɛdʲimʲ
insim,,"ˈinʲʃəmʲ, ˈin̠ʲʃəmʲ, ˈiːnʲʃəmʲ",ɪnʃimʲ
péas,,pʲeːsˠ,pʲɑsˠ
olca,Munster; Connacht,ˈɔlˠkə,ɔl̪kə
threabh,Connacht,ˈ(h)ɾʲəu,hɾˠəu
snag,,sˠn̪ˠaɡ,sˠn̪ɑg
ní hea,,n̠ʲiːˈha,n̪ɪ çæ
Cadhla,,ˈkəi̯lˠə,kəil̪ə
Tarbh,Connacht,ˈt̪ˠaɾˠuː,t̪ɑrv
muidne,,ˈmˠɪdʲnʲə,mˠɪdʲn̪ə
casfaidh,Connacht,"ˈkasˠiː, ˈkasˠə",kɑsfʲə
bhánaigh,Connacht,"ˈwɑːnˠə, ˈwɑːn̪ˠə",wɑn̪ə
ianaithe,,ɪən̪ˠɪə,iən̪içi
glúin óg,Munster; Connacht,ə ˌɣlˠuːnʲ ˈoːɡ,gl̪ɪn̪ ɔg
ionsaí,Connacht,ˈɔnˠsˠiː,ɪnʃi
bé,,bʲeː,bʲɛ
spealaid,,ˈsˠpʲalˠədʲ,spʲɑl̪idʲ
daidí,,ˈd̪ˠadʲiː,dʲaidʲi
Eanáir,,ˈan̪ˠɑːɾʲ,ɑn̪iɾʲ
próis,,pˠɾˠoːʃ,pɾʲɛʃ
sin,Munster; Connacht,ʃɪnʲ,ʃɪn̪
sinne,,ˈʃɪn̠ʲə,ʃɪn̠ʲə
guíonna,,ˈɡiːn̪ˠə,gɔən̪ˠə
tá ocras orm,,ˈt̪ˠɔkɾˠəsˠ ɔɾˠəmˠ,t̪ɑ ɔkɾˠəsˠ ɔɾˠəmˠ
leantar,,ˈl̠ʲan̪ˠt̪ˠəɾˠ,l̪ɑn̪t̪əɾˠ
buicéad,Connacht,ˈbˠʊceːd̪ˠ,bˠɪcəd̪
buailteacha,,ˈbˠuəlʲtʲəxə,bʲuaəltʲəxə
dharna,,ˈɣɑːɾˠn̪ˠə,ɣɑɾˠn̪ə
gceártaí,Connacht,ˈɟɑːɾˠt̪ˠiː,gɑɾˠt̪ə
mac léinn,,ˌmˠak ˈl̠ʲeːn̠ʲ,mˠɑk l̪iːn̠ʲ
mónóg,Connacht,"ˈmˠoːnˠoːɡ, ˈmˠuːnˠoːɡ",mˠɔn̪əg
bréagán,Connacht,ˈbʲɾʲeːɡɑːnˠ,bɾʲɑgən̪
caolas,Ulster; Connacht,"ˈkiːlˠəsˠ, kʰɰiːlˠəsˠ",kiːl̪əsˠ
déad,,dʲeːd̪ˠ,dʲɑd̪
maoineach,Munster; Connacht,"ˈmˠiːnʲəx, ˈmˠĩːnʲəx",mʲiːn̪əx
chos,Munster; Connacht,xɔsˠ,xɔsˠ
asamsa,,ˈasˠəmˠsˠə,ɑsˠəmˠsˠə
ghiob,Munster; Connacht,jɪbˠ,ɣɪbˠ
ceathair déag,,"dje ˈcahəɾʲ, ˈcahəɾʲ jeːɡ",cɑçiɾʲ dʲɑg
dála,Munster; Connacht,ˈd̪ˠɑːlˠə,d̪ɑl̪ə
biail,,bʲiəlʲ,bʲiəəl̪
gáire,Munster; Connacht,ˈɡɑːɾʲə,ɟaiɾʲi
tochail,,ˈt̪ˠɔxəlʲ,t̪ɔçəl̪
bodach,Connacht,ˈbˠɔd̪ˠəx,bˠɔd̪əx
mhór,Ulster; Connacht,woːɾˠ,wəuɾˠ
eitre,,ˈɛtʲəɾʲə,ɛtʲɾʲi
bitheach,Connacht,ˈbʲi(h)əx,bʲɪçəx
húr,,huːɾˠ,həuɾˠ
féadachtáil,Connacht,ˈfʲeːd̪ˠəxt̪ˠɑːlʲ,fʲɑd̪içtʲəl̪
oscailte,,ˈɔsˠkɪlʲtʲɪ,ɔscəltʲi
fuinseog,Connacht,ˈfˠɪn̠ʲʃoːɡ,fˠɪnʃoːg
cheannach,Connacht,ˈçan̪ˠəx,çɑn̪ˠəx
Faoilleach,Connacht,ˈfˠiːl̠ʲəx,fʲiːl̠ʲəx
cana,,ˈkanˠə,kɑn̪ə
imeacht,Connacht,"ˈimʲəxt̪ˠ, ˈɪmʲaxt̪ˠ",ɪmʲəxt̪
soitheach,Mayo; Connacht,ˈsˠeçəx,ʃɛçəx
oireacht,Munster; Connacht,ˈeɾʲəxt̪ˠ,ɛɾʲəxt̪
urchóid,Connacht,ˈɔɾˠəxoːdʲ,ɔɾˠçidʲ
nílim,,ˈnʲiːlʲɪmʲ,n̪ɪl̪imʲ
coir,,kɛɾʲ,cəiɾʲ
amadáin,Connacht,ˈamˠəd̪ˠɑːnʲ,ɑmˠidʲən̪
caitheann,,ˈkahən̪ˠ,caiçən̪ˠ
clé,,clʲeː,kl̪ɛ
anmain,,ˈanˠəmˠənʲ,ɑnmʲən̪
súil,,sˠuːlʲ,sˠɪl̪
ocht déag,Munster; Connacht,ɔxt̪ˠ dʲeːɡ,ɔxt̪ dʲɑg
phus,Munster; Connacht,fˠʊsˠ,fˠɔsˠ
clogaid,Munster; Connacht,ˈklˠɔɡədʲ,kl̪ɛɟidʲ
ngéig,,ɲeːɟ,ŋɛg
ceilt,Ulster; Connacht,cɛl̠ʲtʲ,cɛl̪t̪
cuil,,kɪlʲ,kɪl̪
dúrais,,ˈd̪ˠuːɾˠəʃ,d̪ɛɾʲiʃ
meaitseanna,,ˈmʲatʲʃən̪ˠə,mʲaitʲʃən̪ˠə
baisc,,bˠaʃc,bʲaiʃk
láimh,,"l̪ˠɑːvʲ, l̪ˠɑ̃ːvʲ",l̪aiː
Colmán,Connacht,"ˈkɔlˠəmˠɑːnˠ, ˈkɔl̪ˠəmˠɑːn̪ˠ",kɔl̪mˠən̪
bheag,Munster; Connacht,vʲɞɡ,vʲɑɟ
chualas,,"ˈxuəlˠəsˠ, ˈxuəl̪ˠəsˠ",xual̪əsˠ
lao,Ulster; Connacht,l̪ˠiː,lʲiː
fút,,fˠuːt̪ˠ,fˠɔt̪
sál,Munster; Connacht,sˠɑːl̪ˠ,sˠɑl̪
citeal,,ˈcɪtʲəlˠ,cɪtʲəl̪
mbeidh,Ulster; Connacht,mʲɛj,mˠai
bhínn,,vʲiːn̠ʲ,vʲɪn̠ʲ
ch,,"x, ç",x
pol,,pˠɔlˠ,pˠɔl̪
Maoldúin,Connacht,ˈmˠiːl̪ˠd̪ˠuːnʲ,mˠiːl̪d̪ən̪
traidisiún,Connacht,t̪ˠɾˠəˈdʲɪʃuːnˠ,tɾʲaidʲiʃiən̪
seilbh,,ˈʃɛlʲəvʲ,ʃɛlv
rúin,,ɾˠuːnʲ,ɾˠɪn̪
toinne,,ˈt̪ˠɪn̠ʲə,tʲɔn̠ʲə
mbróga,Munster; Connacht,ˈmˠɾˠoːɡə,mˠɾˠɔgə
cath,,"ka(h), kɑ(h), ˈkahə, ˈkæhə, ˈkɑhə",kɑ
t-athrú,,ˈt̪ˠahɾˠuː,tɑhɾˠə
geata,,ˈɟat̪ˠə,ɟɑt̪ə
scór,,sˠkoːɾˠ,sˠkɔɾˠ
nádúr,,ˈn̪ˠaːd̪ˠuːɾˠ,n̪ɑd̪əɾˠ
saoi,,sˠiː,ʃiː
ba,Connacht,"bˠa(h), bˠɑ",bˠɑ
slaghdán,Connacht,ˈsˠl̪ˠəid̪ˠɑːnˠ,sˠl̪əid̪ən̪
phian,,fʲiənˠ,fʲ'iən̪
teacht,,tʲaxt̪ˠ,tʲɑxt̪
tnáithim,Connacht,"ˈt̪ˠnˠɑːhəmʲ, ˈt̪ˠɾˠɑːhəmʲ",t̪n̪aiçimʲ
fearthainne,Ulster; Kerry; Cork; Connacht,ˈfʲaɾˠhən̠ʲə,fʲærçən̠ʲə
mbrata,,ˈmˠɾˠat̪ˠə,mˠɾˠɑt̪ə
uimhreach,,ˈɪvʲɾʲəx,uimhreach
ghrian,Ulster; Munster; Connacht,"jɾʲiən̪ˠ, ʝɾʲiən̪ˠ",ɣɾˠiən̪
lucht,Munster; Connacht,l̪ˠʊxt̪ˠ,l̪ʊxt̪
osna,,ˈɔsˠn̪ˠə,ɔsˠn̪ə
thugainn,,ˈhʊɡən̠ʲ,hʊgən̠ʲ
Fionlainnis,,ˈfʲɪn̪ˠl̪ˠən̠ʲɪʃ,fˠɪn̪l̪ən̠ʲəsˠ
caoi,,kiː,ciː
bronntanas,Connacht,"ˈbˠɾˠuːn̪ˠt̪ˠənˠəsˠ, ˈbˠɾˠuːn̪ˠt̪ˠən̪ˠəsˠ",bˠɾˠɔn̪ˠt̪ən̪əsˠ
gcloisteáil,,ˈɡlˠɔʃtʲɑːlʲ,gl̪ɔsˠt̪əl̪
tochais,,ˈt̪ˠɔxəʃ,t̪ɔçiʃ
óige,Munster; Connacht,ˈoːɟɪ,ɛɟi
leith,Munster; Connacht,l̠ʲɛh,l̪ɛç
iarrtar,,ˈiəɾˠt̪ˠəɾˠ,iəɾˠt̪əɾˠ
is éigean,,ˈʃeːɟənˠ,ɪʃ ɛɟən̪
anocht,Munster; Connacht,əˈn̪ˠɔxt̪ˠ,ɑn̪əxt̪
fód,Munster; Connacht,fˠoːd̪ˠ,fˠɔd̪
beirim,Munster; Connacht,ˈbʲɛɾʲəmʲ,bʲɛɾʲimʲ
éabhlóideach,Connacht,ˈeːvˠlˠoːdʲəx,əuəəd̪əx
buile,,ˈbˠɪlʲə,bˠɪl̪ə
tiúba,,ˈtʲuːbˠə,tʲɪəbˠə
scóip,Munster; Connacht,sˠkoːpʲ,scɛpʲ
nguíonna,,ˈŋiːn̪ˠə,ŋɔən̪ˠə
las,,l̪ˠasˠ,l̪ɑsˠ
Mac,,mˠak,mˠɑk
bhfolach,Connacht,"ˈwalˠəx, ˈwɔlˠəx",vɔl̪əx
bí,,bʲiː,bʲɪ
gcúinne,,ˈɡuːn̠ʲə,gɪn̠ʲə
goirín,Ulster; Connacht,ˈɡɪɾʲiːnʲ,ɟɛɾʲən̪
b'fhearr,,bʲɑːɾˠ,bʲmˠKɾˠ_FHInˠITlˠEnˠɑɾˠ
sáiste,Munster; Connacht,ˈsˠɑːʃtʲə,ʃaiʃtʲi
charria,Ulster; Connacht,ˈxaɾˠiə,xɑɾʲi
Cháit,Munster; Connacht,xɑːtʲ,çaitʲ
ghlas,,ɣlˠasˠ,ɣl̪ɑsˠ
chímid,,ˈçiːmʲɪdʲ,çɪmʲidʲ
brádán,Connacht,"ˈbˠɾˠɑːd̪ˠɑːnˠ, ˈbˠɾˠɑːd̪ˠɑːn̪ˠ",bˠɾˠɑd̪ən̪
bun,Munster; Connacht,bˠun̪ˠ,bˠɔn̪
inarb,,ˈɪnˠəɾˠbˠ,ɪn̪əɾˠbˠ
saolta,Ulster; Connacht,ˈsˠiːl̪ˠt̪ˠə,sˠiːl̪t̪ə
éan,Ulster; Connacht,"eːnˠ, eːn̪ˠ",ɑn̪
turaire,,t̪ˠʊɾˠɪɾʲə,t̪ɛɾʲiɾʲi
claigeann,,"ˈklˠaɟən̪ˠ, ˈklˠæɟən̪ˠ",kl̪aiɟən̪ˠ
sothuigthe,,ˈsˠɔˌhɪcɪ,sˠɔhəghə
big,,bʲɪɟ,bʲɪɟ
bró,Munster; Connacht,bˠɾˠoː,bˠɾˠɔ
díonach,Connacht,ˈdʲiːnˠəx,d̪ɪn̪əx
dtóir,Munster; Connacht,d̪ˠoːɾʲ,d̪əuɾˠ
Fianna Fáil,,ˈfʲiən̪ˠə ˈfˠɑːlʲ,fʲiən̪ˠə fʲail̪
gaofar,Ulster; Connacht,"ˈɡiːfˠəɾˠ, ˈɡɯːfˠəɾˠ",giːfˠəɾˠ
íocaíocht,,ˈiːkiəxt̪ˠ,ɪkəəxt̪
n-oilfeadh,,"ˈn̪ˠɛlʲ(h)u, ˈn̪ˠɛlʲ(h)uː, ˈn̪ˠɛlʲ(h)ətʲ, ˈn̪ˠɪlʲ(h)u, ˈn̪ˠɪlʲ(h)uː, ˈn̪ˠɪlʲ(h)ətʲ",nɛlfʲuː
bródúil,Connacht,ˈbˠɾˠoːd̪ˠuːlʲ,bˠɾˠɔd̪əl̪
ghrá,Munster; Connacht,ɣɾˠɑː,ɣɾˠɑ
