word,tags,ipa,results
seobh,,ʃɔw,ʃoːb
seordán,Connacht,ˈʃoːɾˠd̪ˠɑːnˠ,ʃoːɾˠd̪ən̪
sheal,,"ˈhalˠ, ˈhal̪ˠ",ʃçɑl̪
sheol,,"çɔːlˠ, çɔːl̪ˠ",ʃçoːl̪
shíníomar,Connacht,ˈhiːnʲiːmˠəɾˠ,ʃçɪn̪əmˠəɾˠ
siabann,,ˈʃiəbˠən̪ˠ,ʃiəbˠən̪ˠ
sil,Munster; Connacht,ʃɪlʲ,ʃɪl̪
simplí,Connacht,ˈʃɪmʲpʲlʲiː,ʃɪmʲpˠl̪ə
sine,,,ʃɪn̪ə
sliogán,Connacht,ˈʃl̠ʲiɟaːnˠ,sˠl̪ɪgən̪
slios,Ulster; Connacht,ʃl̠ʲɪsˠ,sˠl̪ɪsˠ
slua,,sˠl̪ˠuə,sˠl̪ua
smigead,,ˈsˠmʲɪɟəd̪ˠ,smʲɪɟəd̪
sméar,Ulster; Connacht,sˠmʲeːɾˠ,smʲæɾˠ
smólach,Connacht,ˈsˠmˠoːlˠəx,sˠmˠɔl̪əx
sneachta,,"ˈʃnʲaxt̪ˠə, ˈʃnʲãxt̪ˠə",sˠn̪ɑkht̪ə
so,,sˠɔ,sˠɔ
socrú,Connacht,ˈsˠɔkɾˠuː,sˠʊkɾˠə
soip,,sˠɪpʲ,ʃɛpʲ
soir,Connacht,sˠɛɾʲ,ʃəiɾʲ
solas,,"ˈsˠɔlˠəsˠ, ˈsˠɔl̪ˠəsˠ",sˠɔl̪əsˠ
sonraíoch,Connacht,ˈsˠɔn̪ˠɾˠiəx,sˠɔn̪ɾˠəək
sorcas,Munster; Connacht,ˈsˠɔɾˠkəsˠ,sˠɔɾˠkəsˠ
sorcha,,ˈsˠɔɾˠəxə,sˠɔɾˠkhə
spairt,,sˠpˠaɾˠtʲ,spʲaiɾʲt̪
spealas,,ˈsˠpʲalˠəs,spʲɑl̪əsˠ
spád,Munster; Connacht,sˠpˠɑːd̪ˠ,sˠpˠɑd̪
spáráil,Connacht,ˈsˠpˠɑːɾˠɑːlʲ,sˠpˠɑɾʲəl̪
spíon,,"sˠpʲiːnˠ, sˠpʲiːn̪ˠ",sˠpˠɪn̪
sreang,Connacht,sˠɾˠɑːŋ,sɾʲɑng
sruth,Ulster; Connacht,"sˠɾˠʊ(h), ʂ(ɽ)ʊ(h)",sˠɾˠɔt
stailc,Ulster; Connacht,sˠt̪ˠalʲc,stʲail̪ək
straidhn,,sˠt̪ˠɾˠəinʲ,sˠtɾʲaidʲhn̪
stua,,sˠt̪ˠuə,sˠt̪ua
stól,Munster; Connacht,"sˠt̪ˠoːlˠ, sˠt̪ˠoːl̪ˠ",sˠt̪ɔl̪
suan,Ulster; also; Connacht,sˠuənˠ,sˠuan̪
suarach,,ˈsˠuˑəɾˠəx,sˠuaɾˠəx
suite,,ˈsˠɪtʲə,sˠɪtʲi
suíochán,Connacht,ˈsˠiːxɑːnˠ,sˠɔəkhən̪
suíomh gréasáin,Connacht,ˌsˠiːw ˈɟɾʲeːsˠɑːnʲ,sˠɔəm gɾʲɑʃən̪
sáinn,Munster; Connacht,sˠɑːn̠ʲ,ʃæən̠ʲ
sásair,Munster; Connacht,ˈsˠɑːsˠəɾʲ,sˠɑʃiɾʲ
sásta,Munster; Connacht,ˈsˠɑːsˠt̪ˠə,sˠɑsˠt̪ə
sé,,,ʃɛ
séabra,,ˈʃeːbˠɾˠə,ʃɑbˠɾˠə
séú,Connacht,ˈʃeːuː,ʃɛə
síob,,ʃiːbˠ,sˠɪbˠ
síol,,"ʃiː(ə)lˠ, ʃiː(ə)l̪ˠ",sˠɪl̪
síthe,,ˈʃiːhə,ʃɪtʲçi
súil ribe,,ˈsˠuːlʲ ˈɾˠɪbʲə,sˠɪl̪ ɾʲɪbʲi
súsa,,ˈsˠuːsˠə,sˠɔsˠə
t-ae,,t̪ˠeː,teː
t-ainm,,ˈt̪ˠanʲəmʲ,tain̪mˠ
tSíle,,ˈtʲiːlʲə,tʃɪl̪ə
tabhartanas,,ˈt̪ˠoːɾˠt̪ˠənˠəsˠ,t̪ɑbˠhəɾˠt̪ən̪əsˠ
taga,,ˈt̪ˠaɡə,t̪ɑgə
taghd,,t̪ˠəid̪ˠ,t̪ɑghd̪
tagtha,Connacht,ˈt̪ˠakə,t̪ɑgt̪hə
tailte,,ˈt̪ˠal̠ʲtʲə,tʲailtʲi
tairg,,ˈt̪ˠaɾʲɪɟ,tʲɑːɾʲg
tambóirín,,ˈt̪ˠamˠbˠoːɾʲiːnʲ,t̪ɑmbʲiɾʲən̪
taobh,Connacht,t̪ˠiːvˠ,t̪ɑəb
taobhaigh,Connacht,ˈt̪ˠiːwiː,t̪ɑibʲçiː
taoiseach,,,tʲæiʃəx
taom,Ulster; Connacht,t̪ˠiːmˠ,t̪ɑəmˠ
tarlú,,ˈt̪ˠɑːɾˠl̪ˠuː,t̪ɑɾˠl̪ə
tarmachan,,ˈt̪ˠaɾəmˠəxənˠ,t̪ɑɾˠmˠəkhən̪
teacht,,tʲaxt̪ˠ,tʲɑkht̪
teachín,Connacht,ˈtʲaxiːnʲ,tʲɑcçən̪
teaghlach,,"ˈtʲəilˠəx, ˈtʲəil̪ˠəx",tʲɑghl̪əx
tearn,,tʲaːɾˠn̪ˠ,tʲɑːɾˠn̪
teideal,,ˈtʲɛdʲəl,tʲɛdʲəl̪
teilg,,ˈtʲɛlʲɪɟ,tʲɛl̪əg
teilifís,,ˈtʲɛlʲɪfʲiːʃ,tʲɛl̪ifʲiʃ
teir,,tʲɛɾʲ,tʲəiɾʲ
teoiric,Munster; Connacht,ˈtʲoːɾʲɪc,tʲoːiɾʲic
teorann,,ˈtʲoːɾˠən̪ˠ,tʲoːɾˠən̪ˠ
th,,h,t
thainic,,,tʲçain̪ic
thair,,haɾʲ,tʲçaiɾʲ
thaire,,"ˈhaɾʲə, ˈhæɾʲə",tʲçaiɾʲi
tharainne,,"ˈhaɾˠən̠ʲə, ˈhɑɾˠən̠ʲə",t̪hɑɾʲən̪n̪ə
tharam,,"ˈhaɾˠəmˠ, ˈhɑɾˠəmˠ",t̪hɑɾˠəmˠ
tharamsa,,"ˈhaɾˠəmˠsˠə, ˈhɑɾˠəmˠsˠə",t̪hɑɾˠəmˠsˠə
