bhlas	vˠlˠasˠ
gluais	ˈɡlˠuəʃ
fual	fˠuəlˠ
geise	ˈɟɛʃə
cluais	ˈklˠuəʃ
casaim	ˈkasˠəmʲ
meá	ˈmʲeɑː
leá	ˈlʲeɑː
leacht	lʲaxt̪ˠ
ar dtús	əɾˠˈd̪ˠuːsˠ
go dtí	ɡəˈdʲiː
luail	ˈlˠuəlʲ
airím	ˈaɾʲiːmʲ
tánaiste	ˈt̪ˠɑːn̪ˠəʃtʲə
beacht	bʲaxt̪ˠ
ceacht	caxt̪ˠ
ucht	ʊxt̪ˠ
urchar	ˈʊɾˠxəɾˠ
chuala	ˈxuəlˠə
leisce	ˈlʲɛʃcɪ
freagair	ˈfʲɾʲaɡəɾʲ
ceithre	ˈcɛhɾʲə
teacht	tʲaxt̪ˠ
snoí	ˈsˠn̪ˠoiː
buail	ˈbˠuəlʲ
seacht	ʃaxt̪ˠ
liúit	ˈlʲútʲ
saothar	ˈsˠiːhəɾˠ
gcol	ɡɔlˠ
iarnbhreac	ˈiəɾʲn̪ʲvʲɾʲək
deinid	ˈdʲɛnʲɪdʲ
comhionann	ˈkɪiən̪ˠən̪ˠ
ciumhaise	ˈcəuəʃə
lasa	ˈlˠasˠə
mharaigh	ˈwaɾˠə
dhuibh	ɣɪvʲ
dronuilleog	ˈd̪ˠɾˠɔn̪ˠəlˠoːɡ
basa	ˈbˠasˠə
acht	axt̪ˠ
bhfeicinn	ˈvʲɛcɪnʲ
cuideachta	ˈkɪdʲəxt̪ˠə
airdí	ˈaɾʲədʲiː
post	pˠɔsˠt̪ˠ
Róisín	ˈɾˠóʃiːnʲ
ghlún	lˠuːnˠ
tost	t̪ˠɔsˠt̪ˠ
plaisteach	ˈpˠlˠaʃtʲəx
Liatroim	ˈlʲiət̪ˠɾˠəmʲ
ina dhiaidh sin	ˌɪn̪ˠə jiə ˈʃɪnʲ
sáile	ˈsˠɑːlʲə
bhfuilim	ˈwɪlʲəmʲ
gairmiúil	ˈɡaɾʲmʲúlʲ
dréacht	dʲɾʲeːxt̪ˠ
créacht	cɾʲeːxt̪ˠ
úr	uːɾˠ
bhia	ˈvʲiə
olldord	ˈɔlˠəd̪ˠəɾˠd̪ˠ
atáimid	ˈat̪ˠɑːmʲɪdʲ
phá	fˠɑː
mhá	wɑː
clairnéid	ˈklˠaɾʲnʲeːdʲ
ceol	coːlˠ
datha	ˈd̪ˠahə
muiníneach	ˈmˠɪnʲiːnʲəx
titim	ˈtʲɪtʲəmʲ
shá	hɑː
seisear	ˈʃɛʃəɾˠ
t-ae	tʲ-eː
bith	bʲɪ
seol	ʃoːlˠ
Dhia	ˈjiə
peacaí	ˈpʲakiː
Tuircis	ˈt̪ˠɪɾʲcɪʃ
dhá	ɣɑː
é	eː
gluaisrothar	ˈɡlˠuəsˠɾˠəhəɾˠ
Seoighe	ˈʃoːjə
chead	çad̪ˠ
díomá	ˈdʲiːmˠɑː
áitím	ˈɑːtʲiːmʲ
éadóchas	ˈeːd̪ˠoːxəsˠ
coisíocht	ˈkɛʃiːçtʲ
codlata	ˈkɔd̪ˠlˠət̪ˠə
Cúil Raithin	ˌkúlˠ ˈɾˠahənʲ
dtrátha	ˈd̪ˠɾˠɑːhə
miosúr	ˈmʲiəsˠuːɾˠ
fhírinne	ˈiːɾʲən̪ˠə
lice	ˈlʲɪcɪ
pice	ˈpʲɪcɪ
spairt	sˠpˠɛɾˠtʲ
coise	ˈkɛʃə
stail	sˠt̪ˠalʲ
éinne	ˈeːnʲə
t-eallach	tʲ-ˈalˠəx
mbata	ˈmˠat̪ˠə
Ulaidh	ˈʊlˠə
goilim	ˈɡɛlʲəmʲ
cogal	ˈkɔɡəlˠ
aice	ˈacɪ
fíodóirí	ˈfʲiːd̪ˠóɾʲiː
móil	ˈmˠólʲ
cairn	kaɾʲnʲ
fitear	ˈfʲɪtʲəɾˠ
culaith	ˈkʊlˠə
oráistí	ˈɔɾˠɑːʃtʲiː
-íonn	-iːnʲ
cinnigí	ˈcɪnʲəɟiː
osa	ˈɔsˠə
litear	ˈlʲɪtʲəɾˠ
sráideanna	ˈsˠɾˠɑːdʲən̪ˠə
aoi	iː
domlas	ˈd̪ˠɔmˠlˠəsˠ
ar nós	əɾˠˈn̪ˠoːsˠ
níltear	ˈnʲiːl̠ʲtʲəɾˠ
fhásas	ˈɑːsˠəsˠ
fianaise	ˈfʲiən̪ˠəʃə
gaofar	ˈɡiːfˠəɾˠ
déarfaí	ˈdʲeːɾˠfˠiː
minic	ˈmʲɪnʲɪc
chualadar	ˈxuəlˠəd̪ˠəɾˠ
otharlann	ˈɔhəɾˠlˠən̪ˠ
glóire	ˈɡlˠóɾʲə
caraos	ˈkaɾˠiːsˠ
stollaire	ˈsˠt̪ˠɔlˠəɾʲə
éadrócaireach	ˈeːd̪ˠɾˠoːkəɾʲəx
monarcacht	ˈmˠɔn̪ˠəɾˠkəxt̪ˠ
amhairc	ˈəuəɾʲc
aosán	ˈiːsˠɑːnˠ
brosna	ˈbˠɾˠɔsˠn̪ˠə
ticéad	ˈtʲɪceːd̪ˠ
fhréimh	ɾʲéiiː
aoibhinn	ˈiːvʲən̪ˠ
siopadóireacht	ˈʃiəpˠəd̪ˠóɾʲəxt̪ˠ
caorán	ˈkiːɾˠɑːnˠ
leathré	ˈlʲahɾʲeː
fear céile	fʲaɾʲ ˈceːlʲə
Bíobla	ˈbʲiːbˠlˠə
fheileann	ˈɛlʲən̪ˠ
páirc	pˠɑːɾʲc
iascaire	ˈiəsˠkəɾʲə
ata	ˈat̪ˠə
dúlamán	ˈd̪ˠuːlˠəmˠɑːnˠ
siúl	ˈʃuːlˠ
mholainn	ˈwɔlˠən̪ˠ
innilt	ˈɪnʲəl̪ʲtʲ
í	iː
ar bun	əɾˠˈbˠʊn̪ˠ
abairt	ˈabˠəɾˠtʲ
ghlacann	ˈlˠakən̪ˠ
anchúinse	ˈan̪ˠxún̪ʲʃə
Vallúinis	vˈalˠúnʲəʃ
cuaird	ˈkuəɾʲdʲ
iontráil	ˈiən̪ˠt̪ˠɾˠɑːlʲ
garda	ˈɡaɾˠəd̪ˠə
ifreann	ˈɪfʲɾʲən̪ˠ
punann	ˈpˠʊn̪ˠən̪ˠ
iolrán	ˈiəl̪ˠɾˠɑːnˠ
máistreása	ˈmˠɑːʃtʲɾʲeɑːsˠə
barda	ˈbˠaɾˠəd̪ˠə
carda	ˈkaɾˠəd̪ˠə
trí déag	tʲɾʲiː dʲeːɡ
hoibre	ˈhɛbʲɾʲə
fhlatha	ˈlˠahə
Pholainn	ˈfˠɔlˠən̪ˠ
gcaraid	ˈɡaɾˠədʲ
óg	oːɡ
clibirt	ˈclʲɪbʲəɾˠtʲ
i mbun	əˈmˠʊn̪ˠ
eitre	ˈɛtʲɾʲə
chúl	xuːlˠ
péire	ˈpʲeːɾʲə
Máirín	ˈmˠɑːɾʲiːnʲ
déirce	ˈdʲeːɾʲcɪ
litre	ˈlʲɪtʲɾʲə
bhacach	ˈwakəx
a chéile	əˈçeːlʲə
comhréireach	ˈkɪɾʲeːɾʲəx
amharc	ˈəuəɾˠk
faoinarb	ˈfˠiːn̪ˠəɾˠbˠ
trúig	ˈt̪ˠɾˠúɟ
adharc	ˈaiəɾˠk
béar	bʲeːɾˠ
aga	ˈaɡə
brí	bʲɾʲiː
féar	fʲeːɾˠ
géar	ɟeːɾˠ
iompar	ˈʊmˠpˠəɾˠ
eabar	ˈabˠəɾˠ
vása	vˈɑːsˠə
shagart	ˈhaɡəɾˠt̪ˠ
méar	mʲeːɾˠ
rása	ˈɾˠɑːsˠə
áinsíoch	ˈɑːn̪ʲʃiː
fán	fˠɑːnˠ
éigiall	ˈeːɟiəlˠ
mása	ˈmˠɑːsˠə
cadán	ˈkad̪ˠɑːnˠ
cúrsa	ˈkuːɾˠsˠə
sorcas	ˈsˠɔɾˠkəsˠ
ngardaí	ˈŋaɾˠəd̪ˠiː
lán	lˠɑːnˠ
féasta	ˈfʲeːsˠt̪ˠə
j, ɟ, ɣ	j, ɟ, ɣ
bearaigh	ˈbʲaɾˠə
bpianta	ˈbʲiən̪ˠt̪ˠə
guí	ˈɡuiː
dúnfad	ˈd̪ˠuːn̪ˠfˠəd̪ˠ
-ófaí	-ˈoːfˠiː
bán	bˠɑːnˠ
airneán	ˈaɾʲnʲeɑːnˠ
fuilim	ˈfˠɪlʲəmʲ
Garda	ˈɡaɾˠəd̪ˠə
uireasach	ˈɪɾʲəsˠəx
ceilt	cɛl̠ʲtʲ
gcead	ɟad̪ˠ
paiteanta	ˈpˠatʲən̪ˠt̪ˠə
gruama	ˈɡɾˠuəmˠə
cíor	ciːɾʲ
suí	ˈsˠuiː
abúlacht	ˈabˠuːlˠəxt̪ˠ
Éabha	ˈeːwə
mhaoin	wiːnʲ
dua	d̪ˠuə
gloiní	ˈɡlˠɪnʲiː
níonn	nʲiːnʲ
a	ə
ngéig	ŋeːɟ
gliú beach	ˌɟlʲuː ˈbʲax
-sa	-sˠa
gruagaire	ˈɡɾˠuəɡəɾʲə
i	ə
n-olaí	n̪ˠ-ˈɔlˠiː
rua	ɾˠuə
dícheall	ˈdʲiːçəlˠ
saorstát	ˈsˠiːɾˠsˠt̪ˠɑːt̪ˠ
lochán	ˈlˠɔxɑːnˠ
Malaeis	ˈmˠalʲeːʃ
chineál	ˈçɪnʲeɑːlˠ
chodail	ˈxɔd̪ˠəlʲ
abhrasóir	ˈəuɾˠəsˠóɾʲ
cochán	ˈkɔxɑːnˠ
bua	bˠuə
téadchlár	ˈtʲeːd̪ˠxlˠɑːɾˠ
chóra	ˈxoːɾˠə
i bhfeighil	əˈvʲɛjɪlʲ
cluin	klˠɪnʲ
gcomhluadar	ˈɡəulˠuəd̪ˠəɾˠ
fhuip	ɪpʲ
muide	ˈmˠɪdʲə
dochtúir	ˈd̪ˠɔxt̪ˠúɾʲ
cearnóige	ˈcaɾˠn̪ˠóɟɪ
bíonn	bʲiːnʲ
tabharthach	ˈt̪ˠəuəɾˠəx
cuairt	ˈkuəɾˠtʲ
cíonn	ciːnʲ
éist	eːʃtʲ
mhóra	ˈwoːɾˠə
iompair	ˈʊmˠpˠəɾʲ
taspáin	ˈt̪ˠasˠpˠɑːnʲ
fireann	ˈfʲɪɾʲən̪ˠ
dtarbh	d̪ˠaɾˠw
ngabha	ˈŋəuə
fhaire	ˈaɾʲə
tóig	ˈt̪ˠóɟ
Dhaidí na Nollag	ˌɣadʲiː n̪ˠə ˈn̪ˠoːlˠəɡ
bocht	bˠɔxt̪ˠ
crómatach	ˈkɾˠoːmˠət̪ˠəx
docht	d̪ˠɔxt̪ˠ
muice	ˈmˠɪcɪ
muirnín	ˈmˠɪɾʲnʲiːnʲ
hocht	hɔxt̪ˠ
bréidín	ˈbʲɾʲeːdʲiːnʲ
chualamar	ˈxuəlˠəmˠəɾˠ
taobhaigh	ˈt̪ˠiːwə
Laighin	ˈlˠajənʲ
coinneáil	ˈkɪnʲeɑːlʲ
féarach	ˈfʲeːɾˠəx
cléireach	ˈclʲeːɾʲəx
VEID	vɛdʲ
Róimh	ˈɾˠó
éanacha	ˈeːn̪ˠəxə
acmhainneach	ˈakwən̪ˠəx
ndán	n̪ˠɑːnˠ
ramhair	ˈɾˠəuəɾʲ
ala	ˈalˠə
atá	ˈat̪ˠɑː
huaireanta	ˈhuəɾʲən̪ˠt̪ˠə
tiocfaidh ár lá	ˌtʲjʊkfˠə ɑːɾˠ ˈlˠɑː
teachín	ˈtʲaçiːnʲ
dhi	jɪ
triuch	ˈtʲɾʲəx
stá	sˠt̪ˠɑː
ola	ˈɔlˠə
imleacán	ˈɪmʲlʲəkɑːnˠ
bólacht	ˈbˠoːlˠəxt̪ˠ
cileagram	ˈcɪlʲəɡɾˠəmˠ
gairge	ˈɡaɾʲəɟɪ
Rónán	ˈɾˠoːn̪ˠɑːnˠ
lasracha	ˈlˠasˠɾˠəxə
coinne	ˈkɪnʲə
bia	ˈbʲiə
dia	ˈdʲiə
toiligh	ˈt̪ˠɛlʲə
spág	sˠpˠɑːɡ
Port an Dúnáin	pˠɔɾˠt̪ˠ ənˠ ˈd̪ˠuːn̪ˠɑːnʲ
tuirseach	ˈt̪ˠʊɾˠʃəx
táim	t̪ˠɑːmʲ
sáim	sˠɑːmʲ
mbaile	ˈmˠalʲə
anfa	ˈan̪ˠfˠə
sia	ˈʃiə
nia	ˈnʲiə
fuaigh	ˈfˠuə
phianta	ˈfʲiən̪ˠt̪ˠə
lia	ˈlʲiə
fia	ˈfʲiə
feictear	ˈfʲɛctʲəɾˠ
in ainneoin	ɪn̪ˠ ˈan̪ˠoːnʲ
caolas	ˈkiːlˠəsˠ
Dia	ˈdʲiə
Fionlainnise	ˈfʲiən̪ˠlˠən̪ˠəʃə
stailc	sˠt̪ˠal̪ʲc
Arabach	ˈaɾˠəbˠəx
brice	ˈbʲɾʲɪcɪ
seacláid	ˈʃaklˠɑːdʲ
t-éan	tʲ-eːnˠ
meáití	ˈmʲeɑːtʲiː
ngeallann	ˈŋalˠən̪ˠ
cad	kad̪ˠ
gad	ɡad̪ˠ
chímid	ˈçiːmʲɪdʲ
coirce	ˈkɛɾʲcɪ
cheatha	ˈçahə
bheatha	ˈvʲahə
ceachtar	ˈcaxt̪ˠəɾˠ
éadaigh	ˈeːd̪ˠə
Bairbre	ˈbˠaɾʲəbʲɾʲə
facamar	ˈfˠakəmˠəɾˠ
oighear	ˈɛjəɾˠ
muileann	ˈmˠɪlʲən̪ˠ
tréith	tʲɾʲeː
teifeach	ˈtʲɛfʲəx
anglaise	ˈɪŋlˠəʃə
cheaptaí	ˈçapˠt̪ˠiː
píobaire	ˈpʲiːbˠəɾʲə
sólás	ˈsˠoːlˠɑːsˠ
cnuimh	kɾˠə
imir	ˈɪmʲɪɾʲ
gliogaire	ˈɟlʲiəɡəɾʲə
bhfiacha	ˈvʲiəxə
Spáinn	sˠpˠɑːn̪ˠ
hamas	ˈhamˠəsˠ
lúb	lˠuːbˠ
carbán	ˈkaɾˠəbˠɑːnˠ
bhog	wɔɡ
ainmfhocal	ˈan̪ˠmˠəkəlˠ
cúb	kuːbˠ
béile	ˈbʲeːlʲə
dhaidí	ˈɣadʲiː
duine	ˈd̪ˠɪnʲə
miosúir	ˈmʲiəsˠúɾʲ
conamar	ˈkɔn̪ˠəmˠəɾˠ
muine	ˈmˠɪnʲə
ianaithe	ˈiən̪ˠəhə
-na	-n̪ˠa
ama	ˈamˠə
eascaine	ˈasˠkənʲə
cóta fearthainne	ˌkoːt̪ˠə ˈfʲaɾˠən̪ˠə
eallach	ˈalˠəx
Eoraip	ˈoːɾˠəpʲ
míre	ˈmʲiːɾʲə
geimhriúchán	ˈɟɛvʲɾʲuːxɑːnˠ
cál ceannann	kɑːlʲ ˈcan̪ˠən̪ˠ
bpáistí	ˈbˠɑːʃtʲiː
-fidís	-ˈfʲɪdʲiːʃ
díchiall	ˈdʲiːçiəlˠ
glaodh	ɡlˠə
pósta	ˈpˠoːsˠt̪ˠə
aer	eːɾˠ
céad míle fáilte	ceːdʲ mʲiːlʲə ˈfˠɑːl̪ʲtʲə
arcán	ˈaɾˠkɑːnˠ
stéic	ʃtʲeːc
shir	hɪɾʲ
ábhar	ˈáiːəɾˠ
cósta	ˈkoːsˠt̪ˠə
gaothrán	ˈɡiːhɾˠɑːnˠ
síniú	ˈʃiːnʲuː
furasta	ˈfˠʊɾˠəsˠt̪ˠə
cró	kɾˠoː
fáltas	ˈfˠɑːl̪ˠt̪ˠəsˠ
éineacht	ˈeːnʲəxt̪ˠ
casfaidh	ˈkasˠfˠə
oscail	ˈɔsˠkəlʲ
sna	sˠn̪ˠa
slíbhín	ˈʃlʲiːvʲiːnʲ
círe	ˈciːɾʲə
gró	ɡɾˠoː
ina	ˈɪn̪ˠə
caraid	ˈkaɾˠədʲ
leitir	ˈlʲɛtʲɪɾʲ
leathan	ˈlʲahən̪ˠ
bheimid	ˈvʲɛmʲɪdʲ
cheana	ˈçan̪ˠə
nid	nʲɪdʲ
bhun	wʊn̪ˠ
slán	sˠlˠɑːnˠ
oireachtas	ˈɛɾʲəxt̪ˠəsˠ
chósta	ˈxoːsˠt̪ˠə
caipín	ˈkapʲiːnʲ
coisric	ˈkɛʃɾʲɪc
slog	sˠlˠɔɡ
haonaid	ˈhiːn̪ˠədʲ
inár gcoinne	ˌɪn̪ˠɑːɾˠ ˈɡɪnʲə
grianmhar	ˈɟɾʲiən̪ˠwəɾˠ
doimhneacht	ˈd̪ˠɛvʲnʲəxt̪ˠ
Aoine	ˈiːnʲə
ceannaire	ˈcan̪ˠəɾʲə
fair	fˠaɾʲ
carraige	ˈkaɾˠəɟɪ
ghada	ˈɣad̪ˠə
agaibhse	ˈaɡəvʲʃə
mórán	ˈmˠoːɾˠɑːnˠ
mair	mˠaɾʲ
scioból	ˈʃciəbˠoːlˠ
faisean	ˈfˠaʃən̪ˠ
seimint	ˈʃɛmʲən̪ʲtʲ
gair	ɡaɾʲ
dáréag	ˈd̪ˠɑːɾʲeːɡ
uair	ˈuəɾʲ
iarthar	ˈiəɾˠəɾˠ
-aíonn	-iːən̪ˠ
grámhar	ˈɡɾˠáiːəɾˠ
critheann	ˈcɾʲɪhən̪ˠ
amach is amach	ˌamˠəh əsˠ ˈamˠəx
aerga	ˈeːɾˠəɡə
bruach	bˠɾˠuəx
cruach	kɾˠuəx
sheisear	ˈhɛʃəɾˠ
neamhspleách	ˈnʲəuʃpʲlʲeɑːx
cíocras	ˈciːkɾˠəsˠ
míodún	ˈmʲiːd̪ˠuːnˠ
farraige	ˈfˠaɾˠəɟɪ
beidh	bʲɪ
meaitseanna	ˈmʲatʲʃən̪ˠə
sir	ʃɪɾʲ
síol	ʃiːlʲ
lachain	ˈlˠaxənʲ
dúil	ˈd̪ˠúlʲ
cúil	ˈkúlʲ
hard	haɾˠd̪ˠ
Peirsis	ˈpʲɛɾˠʃəʃ
coinníoll	ˈkɪnʲiːlʲ
giob	ˈɟiəbˠ
dúthaigh	ˈd̪ˠuːhə
chearnóg	ˈçaɾˠn̪ˠoːɡ
slaghdán	ˈsˠlˠaid̪ˠɑːnˠ
Dia's Muire duit	ˌdʲiə'sˠ mˠɪɾʲə ˈd̪ˠɪtʲ
moltaí	ˈmˠɔl̪ˠt̪ˠiː
iris	ˈɪɾʲəʃ
fear siúil	fʲaɾʲ ˈʃúlʲ
cuimhnigh	ˈkɪvʲnʲə
crágach	ˈkɾˠɑːɡəx
fiartha	ˈfʲiəɾˠə
Seáin	ˈʃeɑːnʲ
innealtóir	ˈɪnʲal̪ˠt̪ˠóɾʲ
Tomás	ˈt̪ˠɔmˠɑːsˠ
ins	ɪn̠ʲʃ
aeráid	ˈeːɾˠɑːdʲ
sagart	ˈsˠaɡəɾˠt̪ˠ
-ann	-aːn̪ˠ
tuga	ˈt̪ˠʊɡə
i dtrátha	əˈd̪ˠɾˠɑːhə
gléasaim	ˈɟlʲeːsˠəmʲ
saoirse	ˈsˠiːɾˠʃə
Macha	ˈmˠaxə
bleácach	ˈbʲlʲeɑːkəx
gc	ɡ
faobhrach	ˈfˠiːwɾˠəx
cad is ainm duit	kadʲ əsˠ an̪ˠmˠ ˈd̪ˠɪtʲ
rothar	ˈɾˠɔhəɾˠ
caoi	kiː
ar a laghad	əɾˠ əˈlˠaiəd̪ˠ
shrathnaigh	ˈhɾˠahn̪ˠə
cúbtha	ˈkuːpˠə
saraiste	ˈsˠaɾˠəʃtʲə
Sord Cholm Cille	ˌsˠɔɾˠəd̪ˠ xɪl̠ʲmʲ ˈcɪlʲə
séabraí	ˈʃeːbˠɾˠiː
áitigh	ˈɑːtʲə
peictiúr	ˈpʲɛctʲuːɾˠ
páistí	ˈpˠɑːʃtʲiː
chuairt	ˈxuəɾˠtʲ
iarracht	ˈiəɾˠəxt̪ˠ
dreama	ˈdʲɾʲamˠə
cheoil	çoːlʲ
Cróitis	ˈkɾˠótʲəʃ
airsean	ˈaɾˠʃən̪ˠ
súil	ˈsˠúlʲ
máilín	ˈmˠɑːlʲiːnʲ
fheoil	oːlʲ
ceilim	ˈcɛlʲəmʲ
scráib	sˠkɾˠɑːbʲ
blais	bˠlˠaʃ
scairt ascaille	sˠkɛɾˠt̪ˠ ˈasˠkəlˠə
ndiaidh	ˈnʲiə
feilim	ˈfʲɛlʲəmʲ
freastalóidh	ˈfʲɾʲasˠt̪ˠəlˠó
did	dʲɪdʲ
breac	bʲɾʲak
réiteach	ˈɾˠeːtʲəx
drabhlásach	ˈd̪ˠɾˠəulˠɑːsˠəx
cheantar	ˈçan̪ˠt̪ˠəɾˠ
ghrian	ˈɾʲiən̪ˠ
réasún	ˈɾˠeːsˠuːnˠ
sábháil	ˈsˠáiːɑːlʲ
Rián	ˈɾˠiɑːnˠ
choscair	ˈxɔsˠkəɾʲ
féinchúis	ˈfʲeːn̠̪ˠxúʃ
cruitchláraí	ˈkɾˠʊt̪ˠxlˠɑːɾˠiː
ná	n̪ˠɑː
cearc ghoir	caɾˠk ˈɣɛɾʲ
-ós	-oːsˠ
feag	fʲaɡ
gread	ɟɾʲad̪ˠ
baois	bˠiːʃ
Peirs	pʲɛɾˠʃ
tharamsa	ˈhaɾˠəmˠsˠə
héileacaptar	ˈheːlʲəkəpˠt̪ˠəɾˠ
grinne	ˈɟɾʲɪnʲə
bharúil	ˈwaɾˠúlʲ
craos	kɾˠiːsˠ
breise	ˈbʲɾʲɛʃə
diana	ˈdʲiən̪ˠə
nití	ˈnʲɪtʲiː
greise	ˈɟɾʲɛʃə
crua-ae	ˈkɾˠuə-eː
báistí	ˈbˠɑːʃtʲiː
ad	ad̪ˠ
míshásta	ˈmʲiːhɑːsˠt̪ˠə
cába	ˈkɑːbˠə
beag	bʲaɡ
labhairt	ˈlˠəuəɾˠtʲ
rialtais	ˈɾˠiəl̪ˠt̪ˠəʃ
caora	ˈkiːɾˠə
geir	ɟɛɾʲ
áith	ɑː
fhichead	ˈɪçəd̪ˠ
leith	lʲɛ
ithid	ˈɪhɪdʲ
táirgiúil	ˈt̪ˠɑːɾʲɟúlʲ
ionadaí	ˈiən̪ˠəd̪ˠiː
cá	kɑː
flaith	fˠlˠa
Fhionlainn	ˈiən̪ˠlˠən̪ˠ
mainistir	ˈmˠanʲɪʃtʲɪɾʲ
teith	tʲɛ
easparta	ˈasˠpˠəɾˠt̪ˠə
foighneach	ˈfˠɛnʲəx
chéibh	çeːvʲ
saora	ˈsˠiːɾˠə
te	tʲɛ
díol	dʲiːlʲ
garga	ˈɡaɾˠəɡə
teir	tʲɛɾʲ
péinteáil	ˈpʲeːn̠ʲtʲeɑːlʲ
chíre	ˈçiːɾʲə
áirigh	ˈɑːɾʲə
Rúise	ˈɾˠúʃə
míol	mʲiːlʲ
feith	fʲɛ
réal	ɾˠeːlˠ
móide	ˈmˠódʲə
suaimhneach	ˈsˠuənʲəx
héis	heːʃ
fadó	ˈfˠad̪ˠoː
ciotach	ˈciət̪ˠəx
caiseal	ˈkaʃəlˠ
meán	ˈmʲeɑːnˠ
fiáin	ˈfʲiɑːnʲ
bruig	bˠɾˠɪɟ
lagsprid	ˈlˠaɟʃpʲɾʲədʲ
cacht	kaxt̪ˠ
gcreach	ɟɾʲax
Árainn	ˈɑːɾˠən̪ˠ
cíobhaí	ˈciːwiː
toinne	ˈt̪ˠɪnʲə
nós	n̪ˠoːsˠ
roinne	ˈɾˠɪnʲə
pós	pˠoːsˠ
sclábhaíocht	ˈsˠklˠáiːiːəxt̪ˠ
comhrialtas	ˈkɪɾʲiəl̪ˠt̪ˠəsˠ
chiall	ˈçiəlˠ
Sionainn	ˈʃiən̪ˠən̪ˠ
in éindí	ɪnʲ ˈeːn̠ʲdʲiː
maime	ˈmˠamʲə
uacht	uəxt̪ˠ
beireas	ˈbʲɛɾʲəsˠ
a-	a-
sea	ʃa
síbín	ˈʃiːbʲiːnʲ
géagleabhair	ˈɟeːɟlʲəuəɾʲ
mbás	mˠɑːsˠ
uireasa	ˈɪɾʲəsˠə
seo caite	ʃoː ˈkatʲə
seánra	ˈʃeɑːn̪ˠɾˠə
leagann	ˈlʲaɡən̪ˠ
difríocht	ˈdʲɪfʲɾʲiːçtʲ
aeróstach	ˈeːɾˠoːsˠt̪ˠəx
m'anam	mˠ'ˈan̪ˠəmˠ
deireas	ˈdʲɛɾʲəsˠ
gasóg	ˈɡasˠoːɡ
ar an ásc san	əɾˠ ənˠ ɑːsˠk ˈsˠan̪ˠ
cáin	kɑːnʲ
scaoileann	ˈsˠkiːlʲən̪ˠ
Corcaigh	ˈkɔɾˠkə
desean	ˈdʲɛʃən̪ˠ
Tiobraid Árann	ˌtʲiəbˠɾˠəd̪ˠ ˈɑːɾˠən̪ˠ
nócha	ˈn̪ˠoːxə
aiges	ˈaɟɪʃ
scríofa	ˈʃcɾʲiːfˠə
ded	dʲɪdʲ
láin	lˠɑːnʲ
fearúil	ˈfʲaɾˠúlʲ
dócha	ˈd̪ˠoːxə
le	lʲə
áilleacht	ˈɑːlˠəxt̪ˠ
méin	mʲeːnʲ
guthán	ˈɡʊhɑːnˠ
tobar	ˈt̪ˠɔbˠəɾˠ
inneall	ˈɪnʲəlˠ
madra	ˈmˠad̪ˠɾˠə
malairt	ˈmˠalˠəɾˠtʲ
aoine	ˈiːnʲə
héin	heːnʲ
seangaire	ˈʃɪŋəɾʲə
féin	fʲeːnʲ
shil	hɪlʲ
chorp	xɔɾˠpˠ
Ostair	ˈɔsˠt̪ˠəɾʲ
sómas	ˈsˠoːmˠəsˠ
gciliméadar	ˈɟɪlʲəmʲeːd̪ˠəɾˠ
ocht	ɔxt̪ˠ
doiciméad	ˈd̪ˠɛcɪmʲeːd̪ˠ
ard	aɾˠd̪ˠ
gléasann	ˈɟlʲeːsˠən̪ˠ
Sasanach	ˈsˠasˠən̪ˠəx
ghaibh	ɣavʲ
Pilib	ˈpʲɪlʲəbʲ
chairde	ˈxaɾʲədʲə
murach	ˈmˠʊɾˠəx
nádúr	ˈn̪ˠɑːd̪ˠuːɾˠ
Ceanada	ˈcan̪ˠəd̪ˠə
churach	ˈxʊɾˠəx
tréig	tʲɾʲeːɟ
Éireannach	ˈeːɾʲən̪ˠəx
Eoin	oːnʲ
greamaím	ˈɟɾʲamˠəmʲ
ghuí	ˈɣuiː
bhain	wanʲ
cearnóga	ˈcaɾˠn̪ˠoːɡə
t-alt	t̪ˠ-ɛl̠ˠt̪ˠ
bádóir	ˈbˠɑːd̪ˠóɾʲ
baol	bˠiːlˠ
cúigiú	ˈkúɟuː
díon as	ˈdʲiːn̪ˠ asˠ
trátha	ˈt̪ˠɾˠɑːhə
hailt	hɛl̠ʲtʲ
goib	ɡɪbʲ
cáinim	ˈkɑːnʲəmʲ
agaibh	aɡəvʲ
airbheartaigh	ˈaɾʲvʲəɾˠt̪ˠə
scríobh	ʃcɾʲiːvʲ
roimis	ˈɾˠɪmʲəʃ
tSíle	ˈtʲʃiːlʲə
ponc	pˠɔn̪ˠk
toghadh	ˈt̪ˠaiə
diaidh	ˈdʲiə
b'fhearr	bʲ'ˈaɾˠ
bhínn	vʲiːnʲ
go raibh maith agat	ɡəɾˠaiiː mˠah ˈəɡət̪ˠ
fír	fʲiːɾʲ
-ím	-iːmʲ
cláirseach	ˈklˠɑːɾˠʃəx
geocán	ˈɟoːkɑːnˠ
céadta	ˈceːd̪ˠt̪ˠə
cainte	ˈkan̪ʲtʲə
bail	bˠalʲ
bearrtha	ˈbʲaɾˠə
Samhna	ˈsˠəun̪ˠə
char	xaɾˠ
bainte	ˈbˠan̪ʲtʲə
teora	ˈtʲoːɾˠə
glór	ɡlˠoːɾˠ
gar	ɡaɾˠ
har	haɾˠ
garraithe	ˈɡaɾˠəhə
