bhlas	vˠlˠasˠ
lochtanna	ˈlˠɔxt̪ˠən̪ˠə
pósfad	ˈpˠoːsˠfˠəd̪ˠ
chuig	xɪɟ
éistim	ˈeːʃtʲəmʲ
billí	ˈbʲɪlʲiː
giotár	ˈɟiət̪ˠɑːɾˠ
fhiacha	ˈiəxə
cónaí	ˈkoːn̪ˠiː
Connacht	ˈkʊn̪ˠəxt̪ˠ
píce	ˈpʲiːcɪ
thuig	hɪɟ
aonaid	ˈiːn̪ˠədʲ
díomsa	ˈdʲiːmˠsˠə
áiféis	ˈɑːfʲeːʃ
athraithe	ˈahɾˠəhə
iarsmalann	ˈiəɾˠsˠmˠəlˠən̪ˠ
beirir	ˈbʲɛɾʲɪɾʲ
aontaím	ˈiːn̠̪ˠt̪ˠəmʲ
damáiste	ˈd̪ˠamˠɑːʃtʲə
éirim	ˈeːɾʲəmʲ
glinne	ˈɟlʲɪnʲə
géibheannach	ˈɟeːvʲən̪ˠəx
bolg	bˠɔl̪ˠɡ
asamsa	ˈasˠəmˠsˠə
fheis	ɛʃ
dabhach	ˈd̪ˠəuəx
sholas	ˈhɔlˠəsˠ
eiteog	ˈɛtʲoːɡ
Colmán	ˈkɔl̪ˠmˠɑːnˠ
bod gaoithe	bˠɔd̪ˠ ˈɡiːhə
treabhsar	ˈtʲɾʲəusˠəɾˠ
clábar	ˈklˠɑːbˠəɾˠ
fheola	ˈoːlˠə
grásta	ˈɡɾˠɑːsˠt̪ˠə
chluich	xlˠʊx
brocach	ˈbˠɾˠɔkəx
t-iarann	tʲ-ˈiəɾˠən̪ˠ
proifisiúntacht	ˈpˠɾˠɛfʲəʃuːn̪ˠt̪ˠəxt̪ˠ
chughamsa	ˈxaiəmˠsˠə
ceird	cɛɾʲdʲ
phráis	fˠɾˠɑːʃ
cabhrach	ˈkəuɾˠəx
puca	ˈpˠʊkə
buíocán	ˈbˠuiːkɑːnˠ
muca	ˈmˠʊkə
ar son	əɾˠˈsˠɔn̪ˠ
adhlacóir	ˈailˠəkóɾʲ
mhuirnín	ˈwɪɾʲnʲiːnʲ
billiún	ˈbʲɪlʲuːnˠ
Carghas	ˈkaɾˠɣəsˠ
piteog	ˈpʲɪtʲoːɡ
pláinéad	ˈpˠlˠɑːnʲeːd̪ˠ
rúbal	ˈɾˠuːbˠəlˠ
hithe	ˈhɪhə
dísc	dʲiːʃc
ciardhuibhe	ˈciəɾˠɣəvʲə
faoistin	ˈfˠiːʃtʲənʲ
monabhar	ˈmˠɔn̪ˠəuəɾˠ
badhbh	bˠəw
glac	ɡlˠak
nótaire	ˈn̪ˠoːt̪ˠəɾʲə
stróic	ˈsˠt̪ˠɾˠóc
chráis	xɾˠɑːʃ
chic	çɪc
bunúsach	ˈbˠʊn̪ˠuːsˠəx
Abúise	ˈabˠúʃə
i gcomhluadar	əˈɡəulˠuəd̪ˠəɾˠ
dtrian	ˈdʲɾʲiən̪ˠ
lao	lˠiː
cailleadh	ˈkalˠə
cheap	çapˠ
Alastar	ˈalˠəsˠt̪ˠəɾˠ
cruithneachta	ˈkɾˠɪhnʲəxt̪ˠə
cialla	ˈciəlˠə
boige	ˈbˠɛɟɪ
éastras	ˈeːsˠt̪ˠɾˠəsˠ
snámh	sˠn̪ˠáiː
tharam	ˈhaɾˠəmˠ
maraí	ˈmˠaɾˠiː
aréir	ˈaɾʲeːɾʲ
gloine	ˈɡlˠɪnʲə
Sorcha	ˈsˠɔɾˠxə
roimhe	ˈɾˠɛə
huaisle	ˈhuəʃlʲə
mar	mˠəɾˠ
gach uile dhuine	ɡax ɪlʲə ˈɣɪnʲə
optach	ˈɔpˠt̪ˠəx
méireasta	ˈmʲeːɾʲəsˠt̪ˠə
tar	t̪ˠaɾˠ
ndolaí	ˈn̪ˠɔlˠiː
críochnaigh	ˈcɾʲiːxɾˠə
carraigeach	ˈkaɾˠəɟəx
ranna	ˈɾˠan̪ˠə
pictiúir	ˈpʲɪctʲúɾʲ
luaidhe	ˈlˠuəə
snátha	ˈsˠn̪ˠɑːhə
car	kaɾˠ
dar	d̪ˠaɾˠ
ear	aɾˠ
mhalairt	ˈwalˠəɾˠtʲ
mullach	ˈmˠʊlˠəx
fuilir	ˈfˠɪlʲɪɾʲ
geairid	ˈɟaɾʲədʲ
canna	ˈkan̪ˠə
ceap	capˠ
éirímid	ˈeːɾʲiːmʲɪdʲ
Páidín	ˈpˠɑːdʲiːnʲ
tuirne	ˈt̪ˠɪɾʲnʲə
craiceann	ˈkɾˠacən̪ˠ
gearba	ˈɟaɾˠəbˠə
bileogach	ˈbʲɪlʲoːɡəx
bleaist	ˈbʲlʲaʃtʲ
áitiú	ˈɑːtʲuː
báisteach	ˈbˠɑːʃtʲəx
sileog	ˈʃɪlʲoːɡ
feic	fʲɛc
Dé Céadaoin	dʲeː ˈceːd̪ˠiːnʲ
leic	lʲɛc
Eoghan	ˈoːɣən̪ˠ
ghníomhaíocht	ˈnʲiːiːəxt̪ˠ
seic	ʃɛc
reic	ɾˠɛc
stop	sˠt̪ˠɔpˠ
gaire	ˈɡaɾʲə
faire	ˈfˠaɾʲə
'ur	'ʊɾˠ
cnámha	ˈkɾˠáiːə
déanamh	ˈdʲeːn̪ˠəu
Baile Nua na hArda	ˌbˠalʲə n̪ˠuə n̪ˠə ˈhaɾˠəd̪ˠə
bruite	ˈbˠɾˠɪtʲə
mhac	wak
éasca	ˈeːsˠkə
ngoilí	ˈŋɛlʲiː
báille	ˈbˠɑːlˠə
ainneoin	ˈan̪ˠoːnʲ
