tags,ipa,word
Connacht ,/ˈbʲaːɾˠəmʲ/,bearraim
Connacht ,/ˈkun̪ˠt̪ˠuːɾˠtʲ/,contúirt
Connacht ; Munster ,/ˈuːmˠə/,úmadh
Connacht ; Munster ,/ˈtʲitʲəmʲ/,titim
Connacht ; Munster ,/ˈkɑsˠə/,casa
Connacht ,/ˈbʲeːɾˠə/,béarfaidh
Connacht ,/d̪ˠaun̪ˠ/,donn
Connacht ,/ˈd̪ˠoːnʲ/ ~ /ˈd̪ˠuːnʲ/,dóthain
Connacht ,/d̪ˠiːɾˠ/,daor
Connacht ,/ˈæn̠ʲəɾˠ/,ainnir
Connacht ; Connacht ; Ulster ,/ˈdʲaɾˠəmˠəd̪ˠ/,dearmad
Connacht ,/ˈoːl̪ˠəx/,eolach
Connacht ; Munster ,/bˠɾˠoːɡ/,bróg
Connacht ; Ulster ,[fˠɪə],fuath
Connacht ,/ˈmˠɔl̪ˠətʲ/,moladh
Connacht ,/sˠɾˠɑːŋ/,sreang
Connacht ; Munster ,/ˈʃeːdʲə/,séideadh
Connacht ,/ˈsˠalˠə/,salaigh
Connacht ,/ˈ(h)ʊɡəd̪ˠ/,chugat
Connacht ; Munster ,/ˈfˠɪɾʲəxəsˠ/,fuireachas
Connacht ; Ulster ; ,/ˈmʲɛhəlˠ/,meitheal
Connacht ,/ɑːw/,Ádhamh
Connacht ,/t̪ˠɾˠʊmˠ/,trom
Connacht ,/ˈpˠʊŋkɑːnˠ/,Poncán
Connacht ,/ˈaɡən̠ʲ/,againn
Connacht ,/ˈkɾˠɔsˠɑːnˠ/,crosán
Connacht ,/ˌciːl̠ʲ ˈwan̪ˠt̪ˠɑːnʲ/,Cill Mhantáin
Connacht ; Connacht ; Ulster ,/ɾˠaŋ/,rang
Connacht ; Munster ,/fˠɑːɡ/,fág
Connacht ,/ˈklˠifʲə/,cluiche
Connacht ; Ulster ,/ˈkatˠəl̪ˠoːnʲ/,Catalóin
Connacht ,/ˈkɾˠuːbʲiːnʲ/,crúibín
Connacht ,/ˈaɡəmˠ/,agam
Connacht ,/ˈkoɡətʲ/,cogadh
Connacht ; Ulster ,[wɪdʲ],bhoid
Connacht ; Munster ,/ˌbʲlʲɑː ˈclʲiə/,Baile Átha Cliath
Connacht ; Munster ,/sˠn̪ˠɑːvˠ/,snámh
Connacht ; Munster ,/ˈʊmˠpˠəɾˠ/,iompar
Connacht ; Ulster ,/eːɡ/,éag
Connacht ,/ˈbʲlɪtʲə/,blite
Connacht ,/ʃoːlˠ/,seol
Connacht ,/n̪ˠiːvˠ/,naomh
Connacht ,/ˈbˠælə/,baile
Connacht ; Munster ,/ɑːɾˠ/,ár
Connacht ,/bˠɾˠa/,braith
Connacht ; Munster ,/fˠaˈd̪ˠoː/,fadó
Connacht ,/sˠʊ/,suigh
Connacht ,/ˈdʲɛcətʲ/,d'fheiceadh
Connacht ; Munster ,/ɾˠɛvʲ/,raibh
Connacht ,/ən̪ˠˈʃɔ/,anseo
Connacht ; Munster ,/ˈkuːɾˠəmˠəx/,cúramach
Connacht ,/ˈiːnˠuː/,ionadh
Connacht ,[kaːɾʲ],cathair
Connacht ,/ˈɡɑl̪ˠd̪ˠɾˠə/,galar
Connacht ; Munster ,/ɡɔɾˠ/,gor
Connacht ; Munster ,/ˈtʲoːɾʲɪc/,teoiric
Connacht ; Munster ,/ˈpˠɔbˠəlʲ/,pobail
Connacht ,/ˈdʲiːnədʲiːʃ/,déanaidís
Connacht ,/ˈfʲiəxən̠ʲtʲ/,fiachaint
Connacht ,/ˈʃɪlʲuː/,sileadh
Connacht ; Munster ,/sˠpˠoːl̪ˠ/,spól
Connacht ,/kuːɾʲ/,comhair
Connacht ; Connacht ,[fʲæː],feadh
Connacht ,/ˈuəɾʲəd̪ˠoːɾʲ/,uaireadóir
Connacht ,/ˈl̠ʲæɡən̪ˠ/,leagan
Connacht ,/ˈkɑnəmʲ/,canaim
Connacht ,/ˈbʲaiəx/,beithíoch
Connacht ; Ulster ,/t̪ˠəˈbˠakə/,tobac
Connacht ,/ˈbˠɔɡuː/,bogadh
Connacht ,[əˈmʲæːsˠk],i measc
Connacht ,/ˈinʲiːnˠiː/,iníona
Connacht ,/fˠɑːmʲ/,faighim
Connacht ; Ulster ,/ˈʃɪn̠ʲʃəɾˠ/,sinsear
Connacht ; Munster ,/ˈʃɛnʲəmʲ/,seinm
Connacht ,/ˈkɾˠuːnʲ.vʲiːɾʲəsˠ/,coróinvíreas
Connacht ,/ˈkuːlˠiː/,cúlaí
Connacht ,/ˈɛdʲəxəʃ/,oideachais
Connacht ; Munster ,/ˈdʲaɾˠɡəmʲ/,deargaim
Connacht ; Connacht ; Ulster ,/ˈbˠaxəl̪ˠ/,bachall
Connacht ; Munster ,/ˈɡɑːɾˠd̪ˠə/,garda
Connacht ,[ˈcɑːɾˠt̪ˠiː],ceártaí
Connacht ; Munster ,/ˈɟɑːɾˠfˠəɾˠ/,gearrfar
Connacht ,[ˈkʊlˠɑːʃtʲiː],coláistí
Connacht ; Munster ,/bˠɾˠɑː/,brá
Connacht ,/ˈmˠɪnʲəl̠ʲə/,muinchille
Connacht ; Munster ,/ˈd̪ˠɪnʲə/,duine
Connacht ; Ulster ,/ʃnʲiːw/,sníomh
Connacht ,/ˈkɾˠɪn̠ʲiː/,cruinnigh
Connacht ,/ɡɑ(ː)l̪ˠ/,Gall
Connacht ,/l̪ˠəi/,luí
Connacht ; Ulster ,/ˈedʲə/,oide
Connacht ,/ˈfˠuəɾˠɑːnˠ/,fuarán
