,word,sounds,tags_
2308,ba,"[{""ipa"": ""/bˠə/""}, {""note"": ""before é, í, iad, ea"", ""ipa"": ""/bˠəj/""}, {""tags"": [""Munster"", ""also""], ""ipa"": ""/bˠɔ/""}]",[]
2319,ban,"[{""ipa"": ""/bˠan̪ˠ/""}, {""ipa"": ""/bˠanˠ/""}]",[]
2324,baol,"[{""tags"": [""Munster""], ""ipa"": ""/bˠeːl̪ˠ/""}, {""tags"": [""Connacht""], ""ipa"": ""/bˠiːlˠ/""}, {""tags"": [""Connacht""], ""ipa"": ""/bˠiːl̪ˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/bˠiːlˠ/""}, {""tags"": [""Ulster""], ""ipa"": ""/bˠiːl̪ˠ/""}, {""tags"": [""Ulster""], ""note"": ""older"", ""ipa"": ""/bˠɯːlˠ/""}, {""other"": ""/bˠeːlʲ/""}, {""other"": ""/bˠiːlʲ/""}, {""other"": ""/ɯː/""}, {""other"": ""/eː/""}, {""other"": ""/ɯː/""}, {""other"": ""/iː/""}, {""other"": ""/bˠɯːɣəlˠ/""}, {""other"": ""/bˠɯːɣəlʲ/""}, {""other"": ""/eː/""}, {""other"": ""/ɣ/""}]",[]
2341,so,"[{""ipa"": ""/sˠɔ/""}]",['Munster']
2435,hair,"[{""ipa"": ""/haɾʲ/""}]",[]
2437,ear,"[{""ipa"": ""/aɾˠ/""}]",[]
2457,lampa,"[{""ipa"": ""/ˈl̪ˠamˠpˠə/""}]",[]
2459,lampa,"[{""ipa"": ""/ˈl̪ˠamˠpˠə/""}]",[]
2478,do,"[{""ipa"": ""/d̪ˠɔ/""}, {""ipa"": ""/d̪ˠə/""}]",['Munster']
2480,do,"[{""ipa"": ""/d̪ˠɔ/""}, {""ipa"": ""/d̪ˠə/""}, {""tags"": [""Connacht""], ""ipa"": ""/ɡə/""}, {""tags"": [""Ulster"", ""colloquial""], ""ipa"": ""/ə/""}, {""tags"": [""Ulster"", ""colloquial""], ""note"": ""before ⟨a/á, o/ó, u/ú⟩"", ""ipa"": ""/ə.ɣ-/""}, {""tags"": [""Ulster"", ""colloquial""], ""note"": ""before ⟨e/é, i/í⟩"", ""ipa"": ""/ə.j-/""}]",[]
2497,do,"[{""ipa"": ""/d̪ˠɔ/""}, {""ipa"": ""/d̪ˠə/""}]",[]
2499,chat,"[{""ipa"": ""/xat̪ˠ/""}]",[]
2500,dia,"[{""ipa"": ""/dʲiə/""}]",[]
2521,dia,"[{""ipa"": ""/dʲiə/""}]",[]
2526,dua,"[{""ipa"": ""/d̪ˠuə/""}]",[]
2556,hard,"[{""ipa"": ""[haːɾˠd̪ˠ]""}]",[]
2557,mapa,"[{""ipa"": ""/ˈmˠapˠə/""}]",[]
2600,ail,"[{""ipa"": ""/alʲ/""}]",[]
2627,dada,"[{""ipa"": ""/ˈd̪ˠad̪ˠə/""}]",[]
2662,oil,"[{""ipa"": ""/ɛlʲ/""}, {""ipa"": ""/ɪlʲ/""}]",[]
2673,oil,"[{""ipa"": ""/ɛlʲ/""}, {""ipa"": ""/ɪlʲ/""}]",[]
2834,oil,"[{""ipa"": ""/ɛlʲ/""}, {""ipa"": ""/ɪlʲ/""}]",[]
2853,oil,"[{""ipa"": ""/ɛlʲ/""}, {""ipa"": ""/ɪlʲ/""}]",[]
3049,did,"[{""ipa"": ""/ˈdʲɪdʲ/""}]",[]
