adharca	ˈaiəɾˠkə
uíbh	ˈuiːvʲ
déarfad	ˈdʲeːɾˠfˠəd̪ˠ
holaí	ˈhɔlˠiː
éadóchasach	ˈeːd̪ˠoːxəsˠəx
leith	lʲɛ
feoigh	fʲɪ
deoch	dʲoːx
éistim	ˈeːʃtʲəmʲ
amais	ˈamˠəʃ
flaithiúil	ˈfˠlˠahúlʲ
leath	lʲa
freastalaí	ˈfʲɾʲasˠt̪ˠəlˠiː
feith	fʲɛ
Beannchar	ˈbʲan̪ˠxəɾˠ
cleith	clʲɛ
seanóir	ˈʃan̪ˠóɾʲ
duibhe	ˈd̪ˠɪvʲə
Peadar	ˈpʲad̪ˠəɾˠ
dearnadh	ˈdʲaɾˠn̪ˠə
gairid	ˈɡaɾʲɪdʲ
chiumhais	ˈçəuəʃ
acmhainneach	ˈakwən̪ˠəx
múnaid	ˈmˠuːn̪ˠədʲ
thíos	hiːʃ
ianaithe	ˈiən̪ˠəhə
potaisiam	ˈpˠɔt̪ˠəʃiəmˠ
go dtí gur	ɡədʲiː ˈɡʊɾˠ
bleácach	ˈbʲlʲeɑːkəx
foshruth	ˈfˠɔhɾˠə
dlím	dʲlʲiːmʲ
cúpla	ˈkuːpˠlˠə
glór	ɡlˠoːɾˠ
aoi	iː
craicne	ˈkɾˠacnʲə
cóisir	ˈkóʃəɾʲ
aici	ˈacɪ
ríse	ˈɾˠiːʃə
cloch	klˠɔx
úth	uː
fuascail	ˈfˠuəsˠkəlʲ
ar son	əɾˠˈsˠɔn̪ˠ
gealach	ˈɟalˠəx
garda	ˈɡaɾˠəd̪ˠə
fiáin	ˈfʲiɑːnʲ
carda	ˈkaɾˠəd̪ˠə
Oisín	ˈɛʃiːnʲ
boid	bˠɪdʲ
thugainn	ˈhʊɡən̪ˠ
chuathas	ˈxuəhəsˠ
goid	ɡɪdʲ
t-uisce	t̪ˠ-ˈɪʃcɪ
bhíonns	vʲiːn̠ʲʃ
-mid	-mʲɪdʲ
bruite	ˈbˠɾˠɪtʲə
branda	ˈbˠɾˠan̪ˠəd̪ˠə
do-	d̪ˠɔ-
tharra	ˈhaɾˠə
breithiúnais	ˈbʲɾʲɛhuːn̪ˠəʃ
Íosa Críost	ˌiːsˠə ˈcɾʲiːʃtʲ
srath	sˠɾˠa
dóim	ˈd̪ˠómʲ
Garda	ˈɡaɾˠəd̪ˠə
críochnaím	ˈcɾʲiːxɾˠəmʲ
claonadh	ˈklˠiːn̪ˠə
damhsaigh	ˈd̪ˠəusˠə
olldord	ˈɔlˠəd̪ˠəɾˠd̪ˠ
