,word,tags,ipa,results
1817,chúl,,"xuːlˠ, xuːl̪ˠ",khʊl̪
1818,chúng,,"ˈxuːŋ, ˈxuːŋɡ",khʊng
1819,chúns,,xuːn̪ˠsˠ,khʊn̪sˠ
1820,chúrsa,,ˈxuːɾˠsˠə,khʊɾˠsˠʊ̽
1895,cleacht,,clʲaxt̪ˠ,kl̪akht̪
1898,cleasaí,Connacht,ˈclʲasˠiː,kl̪asˠə
1900,cleith,,clʲɛ(h),kl̪ɛtʲ
1902,cliabhán,Connacht,"ˈclʲiəwɑːnˠ, ˈclʲiəwɑːn̪ˠ",kl̪iəbˠhən̪
1904,clibirt,,ˈclʲɪbʲəɾˠtʲ,kl̪ɪbʲiɾʲt̪
1905,clibín,Ulster; Connacht,ˈclʲɪbʲiːnʲ,kl̪ɪbʲən̪
1906,clismirt,,"ˈclʲiʃmʲəɾˠtʲ, ˈclʲɨsˠmˠəɾˠtʲ, ˈɟlʲɨsˠmˠəɾˠtʲ",kl̪ɪʃmʲiɾʲt̪
1942,cléibh,,"clʲeːvʲ, clʲɛi̯vʲ",kl̪ɛbʲ
1955,cneas,Ulster; Connacht,cɾʲasˠ,kɾʲ'asˠ
1956,cneasta,Ulster; Connacht,ˈcɾʲasˠt̪ˠə,kɾʲ'asˠt̪ə
1984,cogús,,,kʊgʊ̽sˠ
2089,creid,Munster; Connacht,cɾʲɛdʲ,kɾʲɛdʲ
2090,creidfead,,ˈcɾʲɛtʲəd̪ˠ,kɾʲɛdʲfʲəd̪
2092,creidmheach,Connacht,ˈcɾʲedʲvʲəx,kɾʲɛdʲmçəx
2093,creidmheas,,ˈcɾʲɛdʲˌvʲasˠ,kɾʲɛdʲmçəsˠ
2094,creig,,cɾʲɛɟ,kɾʲɛɟ
2095,criadh,,cɾʲiə,kɾʲiə
2097,crith,,"cɾʲi(h), cɾʲiç",kɾʲɪtʲ
2100,critic,,ˈcɾʲɪtʲɪc,kɾʲɪtʲic
2150,cré,,cɾʲeː,kɾʲɛ
2152,créatúir,Connacht,"ˈcɾʲeːt̪ˠuɾʲ, ˈcɾʲeːt̪ˠuːɾʲ",kɾʲɑt̪iɾʲ
2153,créatúr,Connacht,ˈcɾʲeːt̪ˠuːɾˠ,kɾʲɑt̪əɾˠ
2160,críon,,cɾʲiːnˠ,kɾʲɪn̪
2198,cuir i gcás,,ˌkɪɾʲ ə ˈɡɑːsˠ,kəiɾʲ ɪ gkasˠ
2224,cumhachtaigh,,,kʊmˠhʊ̽kht̪iː
2258,cál ceannann,Munster; Connacht,ˌkɑːlˠ ˈcan̪ˠən̪ˠ,kal̪ cɑn̪n̪ən̪ˠ
2265,cárt,Munster; Connacht,kɑːɾˠt̪ˠ,cɑːɾˠt̪
2266,cárta,,"ˈkaːɾˠd̪ˠə, ˈkɑːɾˠd̪ˠə, ˈkɑːɾˠt̪ˠə",caɾˠt̪ə
2340,cú faoil,,ˌkuː ˈfˠiːlʲ,kʊ fˠaəl̪
2531,dh,,"j, ɟ, ɣ",d
2534,dhaoine,,ˈɣiːnʲə,d̪haən̪ə
2536,dharna,,ˈɣɑːɾˠn̪ˠə,d̪haɾˠn̪ə
2540,dhearg,,ˈjaɾˠəɡ,dçæɾˠəg
2541,dhearna,,ˈjɑːɾˠn̪ˠə,dçæɾˠn̪ə
2542,dhearnadar,,ˈjaːɾˠn̪ˠəd̪ˠəɾˠ,dçæɾˠn̪idʲəɾˠ
2544,dhearnas,,ˈjaːɾˠn̪ˠəsˠ,dçæɾˠn̪əsˠ
2545,dheas,,jasˠ,dçɑsˠ
2546,dheineann,,ˈjɪnʲən̪ˠ,dçɛn̪ən̪ˠ
2547,dheinim,,"ˈjɛnʲɪmʲ, ˈjɪnʲɪmʲ",dçɛn̪imʲ
2549,dheora,Munster; Connacht,ˈjoːɾˠə,dçoːɾˠə
2550,dhesean,,ˈjɛʃənˠ,dçɛʃən̪
2556,dhiúca,,ˈjuːkə,dçɪəkə
2557,dhiúic,,juːc,dçɪic
2558,dhiúil,,juːlʲ,dçɪəl̪
2559,dhochtúir,Connacht,ˈɣɔxt̪ˠuːɾʲ,d̪hʊkht̪iɾʲ
2561,dhol,,ɣɔlˠ,d̪hʊl̪
2565,dhorn,Connacht,ɣoːɾˠn̪ˠ,d̪hʊɾˠn̪
2566,dhreas,,jɾʲasˠ,d̪hɾʲɑsˠ
2567,dhruid,,ɣɾˠɪdʲ,d̪hɾˠɪdʲ
2568,dhuibh,,"ɣɨ̞vʲ, ɣɪvʲ",d̪hɪbʲ
2569,dhuine,,ˈɣɪnʲə,d̪hɪn̪ə
2570,dhuit,Connacht,ɣɪtʲ,d̪hɪtʲ
2572,dhul,,ɣʊlˠ,d̪hʊl̪
2573,dhá,Munster; Connacht,"(ɣ)ɑː, ɣɑː",d̪ha
2574,dháiríre,Munster; Connacht,ɣɑːˈɾʲiːɾʲə,d̪haiɾʲiɾʲi
2576,dhéag,,jeːɡ,dçɑg
2578,dhíbh,,jiːvʲ,dçɪbʲ
2579,dhíbhse,,ˈjiːvʲʃə,dçɪbʲhʃi
2581,dhínne,,ˈjiːn̠ʲə,dçɪn̪n̪ə
2582,dhíobháil,Connacht,ˈjiːwɑːlʲ,dçɪbˠhəl̪
2584,dhíolann,,ˈjiːlˠən̪ˠ,dçɪl̪ən̪ˠ
2586,dhó,Munster; Connacht,ɣoː,d̪hʊ
2587,dhónna,Munster; Connacht,ɣoːn̪ˠə,d̪hʊn̪n̪ʊ̽
2588,dhósan,,ˈɣoːsˠənˠ,d̪hʊsˠʊ̽n̪
2589,dhúil,,ɣuːlʲ,d̪hɪl̪
2591,dhún,,ɣuːnˠ,d̪hʊn̪
2676,dorú,,,d̪ʊɾˠʊ̽
2926,each,,ax,əx
2933,ealaín,Connacht,ˈɑːlˠiːnʲ,al̪ən̪
2938,earc,,aɾˠk,ɑːrk
2946,easpag,Connacht,"ˈæsˠpˠoːɡ, ˈaːsˠpˠək",asˠpˠəg
2947,easpag,Aran; Connacht,ˈæsˠpˠəɡ,asˠpˠəg
2954,eicínt,,"əˈciːn̠ʲtʲ, əˈciːn̠ʲtʲʃ",ɛcən̪t̪
2966,eiteog,Connacht,ˈɛtʲoːɡ,ɪtʲoːg
2975,eochair,,ˈɔxəɾʲ,oːkhiɾʲ
3050,feadh,,,fʲə
3059,feann,,,fʲən̪ˠ
3111,fhaide,,ˈadʲə,fˠhaidʲi
3112,fhaire,,ˈaɾʲə,fˠhaiɾʲi
3114,fheabhas,Munster; Connacht,əusˠ,fçɑbˠhəsˠ
3116,fheadha,Munster; Connacht,ɑː,fçɑd̪hə
3117,fheamainn,,ˈamˠən̠ʲ,fçɑmˠəən̠ʲ
3119,fhear mhire,,aɾˠ ˈvʲiɾʲə,fçæɾˠ mçɪɾʲi
3120,fhearr,,aːɾˠ,fçæɾˠɾˠ
3123,fheicinn,Ulster; Connacht,ˈɛcɪn̠ʲ,fçɛcən̠ʲ
3124,fheictear,,ˈɛctʲəɾˠ,fçɛctʲəɾˠ
3126,fheis,,ɛʃ,fçɛʃ
3127,fheoil,Munster; Connacht,oːlʲ,fçoːəl̪
3130,fhiacha,,ˈiəxə,fçiəkhə
3131,fhianaise,Connacht,"ˈiːnˠɪʃə, ˈiːn̪ˠɪʃə",fçiən̪iʃi
3132,fhiartha,,ˈiəɾˠhə,fçiəɾˠt̪hə
3135,fhios,Connacht,ɪsˠ,fçɪsˠ
3136,fhir,,ɪɾʲ,fçɪɾʲ
3137,fhiáin,Connacht,ˈiːɑːnʲ,fçiəən̪
3141,fhocal,Munster; Connacht,ˈɔkəl̪ˠ,fˠhʊkʊ̽l̪
3143,fhreagair,,ˈɾʲaɡəɾʲ,fˠhɾʲɑgiɾʲ
3148,fhuaire,,ˈuəɾʲə,fˠhuaiɾʲi
3149,fhuar,,uəɾˠ,fˠhuaɾˠ
3153,fhuip,,ɪpʲ,fˠhɪpʲ
3154,fhuáil,,ˈuːaːlʲ,fˠhuaəl̪
3156,fhágadar,Munster; Connacht,ˈɑːɡəd̪ˠəɾˠ,fˠhagidʲəɾˠ
3160,fhásas,Munster; Connacht,ˈɑːsˠəsˠ,fˠhasˠəsˠ
3161,fhéadaim,Munster; Connacht,ˈeːd̪ˠəmʲ,fçɑd̪imʲ
3164,fhéidir,,ˈeːdʲəɾʲ,fçɛdʲiɾʲ
3165,fhéin,,heːnʲ,fçɛn̪
3169,fhómhair,Connacht,ˈoːvˠəɾʲ,fˠhʊmˠhiɾʲ
3379,fíon geal,,ˌfʲiːnˠ ˈɟalˠ,fʲɪn̪ ɟɑl̪
3404,gC,,"ɟ, ɡ",gk
3407,gabha,Galway; Connacht,ɡau,gabˠhə
3408,gabha,Mayo; Connacht,ˈɡəuə,gabˠhə
3410,gabhaidís,,ˈɡauədʲiːʃ,gabˠhidʲiʃ
3411,gabhair,,,gabˠhiɾʲ
3412,gabhal,Connacht,"ˈɡɑuəlˠ, ˈɡɑuəl̪ˠ",gabˠhəl̪
3415,gabháil,Connacht,ˈɡɔwɑːlʲ,gabˠhəl̪
3417,gabhála,Connacht,ˈɡawɑːlˠə,gabˠhəl̪ə
3418,gabháltas,Connacht,ˈɡoːl̪ˠt̪ˠəsˠ,gabˠhəl̪t̪əsˠ
3420,gach aon duine,,"ɡax eːn̪ˠˈd̪ˠɪnʲə, ɡaˈheːn̠ʲə, ɡaˈxeːn̠ʲə",gəx aən̪ d̪ɪn̪ə
3421,gach uile,Cois-Fharraige; Aran; Mayo; Connacht,ˈxilʲə,gəx ɪl̪ə
3425,gada,,ˈɡad̪ˠə,gad̪ə
3427,gae,,ɡeː,geː
3428,gafa,,ˈɡafˠə,gafˠə
3432,gainimh,,ˈɡɑnʲəvʲ,gain̪imʲ
3433,gainne,,ˈɡɪn̠ʲə,gain̪n̪ə
3435,gair,Connacht,ɡɛɾʲ,gɑːɾʲ
3436,gairdín,Connacht,ˈɡɑːɾˠdʲiːnʲ,gaiɾʲdʲən̪
3439,gairid,Connacht,ˈɡaɾʲədʲ,gaiɾʲidʲ
3440,gairleog,Connacht,ˈɡaɾʲlʲoːɡ,gɪɾʲl̪oːg
3446,gairmiúlacht,,ɡaɾʲˈmʲuːl̪ˠəxt̪ˠ,gaiɾʲmʲiəl̪əkht̪
3447,gairmiúlaigh,,ɡaɾʲmʲuːl̪ˠiː,gaiɾʲmʲiilʲiː
3449,gaisce,,ˈɡaʃcɪ,gaiʃci
3450,gaiscígh,Connacht,ˈɡaʃciː,gaiʃciɟ
3451,gaiscíocha,Connacht,ˈɡaʃciːxə,gaiʃcəkhə
3454,galach,Connacht,ˈɡalˠəx,gal̪əx
3456,gallán,,,gal̪l̪ən̪
3457,gallán,Connacht,"ˈɡal̪ˠɑːnˠ, ˈɡal̪ˠɑːn̪ˠ",gal̪l̪ən̪
3459,galán,Connacht,"ˈɡalˠɑːnˠ, ˈɡal̪ˠɑːn̪ˠ",gal̪ən̪
3458,galán,,,gal̪ən̪
3461,galúin,Connacht,ˈɡalˠuːnʲ,gal̪ən̪
3462,galún,Connacht,ˈɡalˠuːnˠ,gal̪ən̪
3464,gamhain,,ˈɡãuənʲ,gamˠhən̪
3465,gan,,"ɡənˠ, ɡən̪ˠ",gan̪
3466,gaobhar,Ulster; Connacht,ˈɡiːwəɾˠ,gaəbˠhəɾˠ
3467,gaofar,Ulster; Connacht,"ˈɡiːfˠəɾˠ, ˈɡɯːfˠəɾˠ",gaəfˠəɾˠ
3470,gaosán,Connacht,ˈɡiːsˠɑːnˠ,gaəsˠən̪
3471,gaoth,Ulster; Connacht,"ɡiː, ɡɯː",gaət
3473,gar,,ɡaɾˠ,gɑːɾˠ
3475,garda,Munster; Connacht,ˈɡɑːɾˠd̪ˠə,gaɾˠd̪ə
3478,garga,,ˈɡaɾˠəɡə,gaɾˠgə
3479,gariníon,,ˈɡaɾʲˌɪnʲiːnˠ,gaɾʲən̪ən̪
3484,garsún,Connacht,ˈɡaɾˠsˠuːnˠ,gaɾˠsˠən̪
3485,gasra,Ulster; Connacht,ˈɡasˠɾˠə,gasˠɾˠə
3488,gasúir,Connacht,ˈɡasˠuːɾʲ,gasˠiɾʲ
3489,gasúr,Connacht,ˈɡasˠuːɾˠ,gasˠəɾˠ
3490,gc,,"ɟ, ɡ",gk
3492,gcailín,Connacht,ˈɡalʲiːnʲ,gkail̪ən̪
3494,gcaitheann,,ˈɡahən̪ˠ,gkaitʲçən̪ˠ
3495,gcanna,,"ˈɡan̪ˠə, ˈɡɑn̪ˠə",gkan̪n̪ə
3497,gcaogad,Ulster; Connacht,ˈɡiːɡəd̪ˠ,gkaəgəd̪
3499,gcaoi,,ɡiː,gkaə
3500,gcaoimhe,Ulster; Connacht,ˈɡiːvʲə,gkaimʲçi
3502,gcara,,ˈɡɑɾˠə,gkaɾˠə
3503,gcarachtar,,ˈɡaɾˠəxt̪ˠəɾˠ,gkaɾˠəkht̪əɾˠ
3505,gcatach,Connacht,ˈɡat̪ˠəx,gkat̪əx
3507,gcead,,ɟad̪ˠ,gcɑd̪
3509,gceantar,,ˈɟan̪ˠt̪ˠəɾˠ,gcɑn̪t̪əɾˠ
3510,gcearnóg,Connacht,ˈɟɑːɾˠn̪ˠoːɡ,gcæɾˠn̪əg
3511,gceart,,ɟaɾˠt̪ˠ,gcæɾˠt̪
3514,gceist,,ɟɛʃtʲ,gcɛʃt̪
3515,gceárta,Connacht,ˈɟɑːɾˠt̪ˠə,gcæɾˠt̪ə
3519,gcine,,ˈɟɪnʲə,gcɪn̪ə
3521,gciseanna,,ˈɟɪʃən̪ˠə,gcɪʃən̪n̪ə
3523,gclóis,,"ɡlˠoːʃ, ɡl̪ˠoːʃ",gkl̪ɛʃ
3527,gcoillte,Connacht,"ˈɡəil̠ʲtʲə, ˈɡɞl̠ʲtʲə",gkɛl̪ltʲi
3530,gcolanna,,ˈɡɔlˠən̪ˠə,gkʊl̪ʊ̽n̪n̪ʊ̽
3531,gcomhluadar,Munster; Connacht,ˈɡoːlˠuəd̪ˠəɾˠ,gkʊmˠhl̪idʲʊ̽ɾˠ
3532,gcorp,,ɡɔɾˠpˠ,gkʊɾˠpˠ
3537,gcuan,,ɡuənˠ,gkuan̪
3538,gcuid,,ɡɪdʲ,gkɪdʲ
3541,gcás,Munster; Connacht,ɡɑːsˠ,gkasˠ
3543,gcéadta,,ˈɟeːt̪ˠə,gcɑd̪t̪ə
3544,gcéibh,,ˈɟeːvʲ,gcɛbʲ
3545,gcónaí,Connacht,ˈɡuːn̪ˠiː,gkʊn̪ʊ̽
3548,gcúinne,,ˈɡuːn̠ʲə,gkɪn̪n̪ə
3596,gha,,ɣa(h),gha
3597,ghabhar,Munster; Connacht,ɣəuɾˠ,ghabˠhəɾˠ
3598,ghabhas,,ˈɣauəsˠ,ghabˠhəsˠ
3602,ghairdín,Connacht,ˈɣɑːɾˠdʲiːnʲ,ghaiɾʲdʲən̪
3605,ghaiscígh,Connacht,ˈɣaʃciː,ghaiʃciɟ
3606,ghaiscíoch,Connacht,ˈɣaʃciːx,ghaiʃcək
3608,ghaoth,Ulster; Connacht,ɣiː,ghaət
3616,ghine,,ˈjɪnʲə,gçɪn̪ə
3619,ghiorria,Munster; Connacht,ˈjɪɾˠiə,gçɪrɾʲi
3620,ghlac,Ulster; Connacht,"ɣlˠak, ɣl̪ˠak",ghl̪ak
3621,ghlacann,,ˈɣlˠakən̪ˠ,ghl̪akən̪ˠ
3622,ghlactaí,Ulster; Connacht,"ˈɣlˠakt̪ˠiː, ˈɣl̪ˠakt̪ˠiː",ghl̪akt̪ə
3623,ghlais,,ɣlˠaʃ,ghl̪aiʃ
3630,ghliocais,,ˈjlʊkəʃ,ghl̪ɪkiʃ
3633,ghnách,Connacht,"ɡɾˠɑːx, ɣnˠɑːx",ghn̪əx
3634,ghnáth,,,ghn̪at
3635,ghnáth,Connacht,"ɣnˠɑː, ɣɾˠɑː",ghn̪at
3636,ghním,Connacht,n̠ʲiːmʲ,ghn̪ɪmʲ
3637,ghníomh,Connacht,"jɾʲiːvˠ, ʝɾʲiːə̯vˠ",ghn̪ɪm
3638,ghníomhaíocht,Connacht,ˈɣɾˠiːwiəxt̪ˠ,ghn̪ɪmˠhəəkht̪
3642,ghoib,,ɣɪbʲ,ghɛbʲ
3644,ghoile,,ˈɣɛlʲə,ghɔl̪ə
3646,ghoirid,,ˈɣʌɾʲədʲ,ghɛɾʲidʲ
3647,ghor,Munster; Connacht,ɣɔɾˠ,ghʊɾˠ
3650,ghrian,Ulster; Munster; Connacht,"jɾʲiən̪ˠ, ʝɾʲiən̪ˠ",ghɾʲiən̪
3649,ghrian,Ulster; Connacht,"jɾʲiənˠ, ʝɾʲiənˠ",ghɾʲiən̪
3654,ghrása,Munster; Connacht,ˈɣɾˠɑːsˠə,ghɾˠasˠə
3657,ghuigh,,ɣiː,ghɪɟ
3659,ghuí,,ɣiː,ghɪ
3660,gháire,Munster; Connacht,ˈɣɑːɾʲə,ghaiɾʲi
3662,ghéig,,jeːɟ,gçɛɟ
3689,glacfaidh,,ˈɡlˠakə,gl̪akfˠiː
3690,glaine,,"ˈɡlˠanʲə, ˈɡl̪ˠanʲə",gl̪ain̪ə
3692,glaise,,ˈɡlˠaʃə,gl̪aiʃi
3695,glaodh,Ulster; Connacht,ɡlˠiː,gl̪aəd
3698,gleanna,Connacht,ˈɟlʲaːn̪ˠə,gl̪an̪n̪ə
3699,gleannta,Connacht,ˈɟlʲaːn̪ˠt̪ˠə,gl̪an̪n̪t̪ə
3703,glic,,ɟlʲɪc,gl̪ɪc
3704,glice,,ˈɟlʲɪcɪ,gl̪ɪci
3706,glinn,,ˈɟlʲin̠ʲ,gl̪ən̠ʲ
3707,glinne,,ˈɟlʲin̠ʲə,gl̪ɪn̪n̪ə
3709,gliocais,,ˈɟlʊkəʃ,gl̪ɪkiʃ
3714,gliú beach,,ˌɟlʲuː ˈbʲax,gl̪ɪə bʲəx
3715,gloine,,"ˈɡlˠɪnʲə, ˈɡl̪ˠɪnʲə",gl̪ɔn̪ə
3717,gluais,,"ɡlˠuəʃ, ɡl̪ˠuəʃ",gl̪uaiʃ
3721,gluaisteán,,ˈɡl̪ˠʊəʃtʲɑːn̪ˠ,gl̪uaiʃtʲən̪
3728,gléasta,,ˈɟlʲeːsˠt̪ˠə,gl̪asˠt̪ə
3729,glóir,Munster; Connacht,ɡlˠoːɾʲ,gl̪ɛɾʲ
3731,glór,Connacht,ɡlˠoːɾˠ,gl̪ʊɾˠ
3732,glór,Munster; Connacht,ɡl̪ˠoːɾˠ,gl̪ʊɾˠ
3734,glúin óg,Munster; Connacht,ə ˌɣlˠuːnʲ ˈoːɡ,gl̪ɪn̪ ʊg
3735,glún,Ulster; Connacht,ɡlˠuːnˠ,gl̪ʊn̪
3736,glún,Ulster; Munster; Connacht,ɡl̪ˠuːn̪ˠ,gl̪ʊn̪
3743,gníomh,Ulster; Connacht,ɟɾʲĩːw,gɾʲ'ɪm
3742,gníomh,Connacht,ɟɾʲiːvˠ,gɾʲ'ɪm
3744,gníomhaí,,ˈɡnʲiːwiː,gɾʲ'ɪmçi
3745,gníomhaíocht,Connacht,ˈɡɾˠiːwiəxt̪ˠ,gɾʲ'ɪmçiəkht̪
3747,go,,"ɡɔ, ɡə",gʊ
3749,go deo,Munster; Connacht,ɡə ˈdʲoː,gʊ dʲoː
3754,go háirid,,ɡəˈhɑːɾʲədʲ,gʊ haiɾʲidʲ
3755,go héag,Ulster; Connacht,ɡəˈheːɡ,gʊ çɑg
3756,go leor,Ulster; Munster; Connacht,ɡəˈl̠ʲoːɾˠ,gʊ l̪oːɾˠ
3761,gobtha,,ˈɡɔpˠə,gʊbˠt̪hʊ̽
3762,god é,,ɡəˈd̪ˠeː,gʊd̪ ɛ
3766,goidim,Connacht,ˈɡɞdʲəmʲ,gɛdʲimʲ
3767,goidte,Connacht,ˈɡɞtʲə,gɛdʲtʲi
3769,goil,,"ɡɔlʲ, ɡɛlʲ",gɔl̪
3774,goilí,,ˈɡɛlʲiː,gɔl̪ə
3777,goirim,Connacht,ˈɡɛɾʲəmʲ,gɛɾʲimʲ
3778,goirme,,ˈɡɪɾʲəmʲə,gɛɾʲmʲi
3781,gol,Connacht,ɡɔlˠ,gʊl̪
3782,gol,Munster; Connacht,ɡɔl̪ˠ,gʊl̪
3783,gola,,"ˈɡɔlˠə, ˈɡɔl̪ˠə",gʊl̪ʊ̽
3785,gorach,Connacht,ˈɡɔɾˠəx,gʊɾˠəx
3788,gorm,Connacht,ˈɡɞɾˠəmˠ,gʊɾˠəmˠ
3790,gorta,,ˈɡɔɾˠt̪ˠə,gʊɾˠt̪ʊ̽
3793,gos,,"ɡɔsˠ, ɡəsˠ",gʊsˠ
3794,graeip,,ɡɾˠeːpʲ,gɾˠeːipʲ
3798,greamaím,Connacht,ˈɟɾʲamˠiːmʲ,gɾʲɑmˠimʲ
3799,greamú,Connacht,ˈɟɾʲamˠuː,gɾʲɑmˠə
3801,greannach,Connacht,ˈɟrʲan̪ˠəx,gɾʲɑn̪n̪əx
3802,greannmhar,Ulster; Connacht,ˈɟɾʲan̪ˠwəɾˠ,gɾʲɑn̪n̪mˠhəɾˠ
3803,greas,,ɟɾʲasˠ,gɾʲɑsˠ
3804,greis,,ɟɾʲɛʃ,gɾʲɛʃ
3806,grian,,"ɟɾʲiənˠ, ɟɾʲiən̪ˠ",gɾʲiən̪
3811,grianmhar,Connacht,"ˈɟɾʲiənˠvˠəɾˠ, ˈɟɾʲiən̪ˠvˠəɾˠ",gɾʲiən̪mˠhəɾˠ
3812,grinne,Ulster; Kerry; Cork; Connacht,ˈɟɾʲɪn̠ʲə,gɾʲɪn̪n̪ə
3813,grua,Munster; Connacht,ˈɡɾˠuə,gɾˠua
3815,gruagach,Munster; Connacht,ˈɡɾˠuəɡəx,gɾˠuagəx
3820,gruth,Connacht,ɡɾˠɞ,gɾˠʊt
3821,grá,,"ɡɾˠaː, ɡɾˠɑː",gɾˠa
3823,grád,Munster; Connacht,ɡɾˠɑːd̪ˠ,gɾˠad̪
3824,grág,Munster; Connacht,ɡɾˠɑːɡ,gɾˠag
3825,gráig,Munster; Connacht,ɡɾˠɑːɟ,gɾˠaiɟ
3830,gráinne,Ulster; Connacht,ˈɡɾˠɑːn̠ʲə,gɾˠain̪n̪ə
3832,grán,Connacht,ɡɾˠɑːnˠ,gɾˠan̪
3833,grán buí,Munster; Connacht,ˈɡɾˠɑːnˠ bˠiː,gɾˠan̪ bˠɪ
3834,gránach,Munster; Connacht,ˈɡɾˠɑːnˠəx,gɾˠan̪əx
3835,gránna,Munster; Connacht,ˈɡɾˠɑːn̪ˠə,gɾˠan̪n̪ə
3840,gréasaí,Connacht,ˈɟɾʲeːsˠiː,gɾʲɑsˠə
3843,gréin,,ɟɾʲeːnʲ,gɾʲɛn̪
3844,gréine,,ˈɟɾʲeːnʲə,gɾʲɛn̪ə
3845,gréisceach,Munster; Connacht,ˈɟɾʲeːʃcəx,gɾʲɛʃcəx
3848,gríosach,Munster; Connacht,ˈɟɾʲiːsˠəx,gɾʲɪsˠəx
3849,gró,Munster; Connacht,ɡɾˠoː,gɾˠʊ
3851,gróite,Connacht,ˈɡɾˠoːtʲiː,gɾˠɛtʲi
3852,grúdaire,,ˈɡɾˠuːd̪əɾʲə,gɾˠʊd̪iɾʲi
3855,grús,,ɡɾˠuːsˠ,gɾˠʊsˠ
3857,gual,,"ɡuəlˠ, ɡuəl̪ˠ",gual̪
3858,guala,,"ˈɡuəlˠə, ˈɡuəl̪ˠə",gual̪ə
3859,gualainn,Ulster; Connacht,"ˈɡuəlˠən̠ʲ, ˈɡuəl̪ˠən̠ʲ",gual̪əən̠ʲ
3863,guirme,,ˈɡɪɾʲmʲə,gɪɾʲmʲi
3865,gunna,Munster; Connacht,ˈɡʊn̪ˠə,gʊn̪n̪ʊ̽
3866,gur,,"ɡəɾˠ, ɡʊɾˠ",gəuɾˠ
3867,gus,Munster; Connacht,ɡʊsˠ,gʊsˠ
3868,gustal,,"ˈɡʊsˠt̪ˠəlˠ, ˈɡʊsˠt̪ˠəl̪ˠ",gʊsˠt̪ʊ̽l̪
3869,guta,,ˈɡʊt̪ˠə,gʊt̪ʊ̽
3870,guth,Connacht,ɡu,gʊt
3871,guthán,,ˈɡʊhɑːn̪ˠ,gʊt̪hʊ̽n̪
3873,guíochtaint,,ˈɡiː(ə)xt̪ˠənʲtʲ,gʊʊ̽kht̪ʊ̽n̪t̪
3874,guíonna,,ˈɡiːn̪ˠə,gʊʊ̽n̪n̪ʊ̽
3875,gá,Munster; Connacht,ɡɑː,ga
3877,gága,Munster; Connacht,ˈɡɑːɡə,gagə
3878,gáifeach,Munster; Connacht,ˈɡɑːfʲəx,gaifʲəx
3879,gáir,Munster; Connacht,ɡɑːɾʲ,gɑːɾʲ
3902,gúna,,"ˈɡuːnˠə, ˈɡuːn̪ˠə",gʊn̪ʊ̽
3908,hInis Meáin,,ˌhɪnʲəʃ ˈmʲɑːnʲ,çɪn̪iʃ mʲain̪
3954,himeanna,,ˈhɪmʲən̪ˠə,çɪmʲən̪n̪ə
3955,hiomlán,Connacht,ˈhʊmˠlˠɑːnˠ,çɪmˠl̪ən̪
3970,hÉirinn,,ˈheːɾʲən̠ʲ,çɛɾʲən̠ʲ
3976,héileacaptar,,ˈheː.l̪ʲəˌkapˠ.t̪ˠəɾˠ,çɛl̪əkəpˠt̪əɾˠ
3977,héin,,heːnʲ,çɛn̪
3978,héis,,heːʃ,çɛʃ
3982,i bhfad,Ulster; Connacht,əˈwad̪ˠ,ɪ bˠhfˠad̪
3983,i bhfad ó shin,Ulster; Connacht,əˌwad̪ˠ oːˈhɪnʲ,ɪ bˠhfˠad̪ ʊ sçɪn̪
3986,i dtaca le,,(ə)ˈd̪ˠakə lʲe,ɪ d̪t̪akə l̪ɛ
3987,i dtosach,Connacht,ə ˈd̪ˠɔsˠəx,ɪ d̪t̪ʊsˠəx
3993,i gceist,,ə ˈɟɛʃtʲ,ɪ gcɛʃt̪
3995,i gcomhluadar,Munster; Connacht,əˈɡoːlˠuəd̪ˠəɾˠ,ɪ gkʊmˠhl̪idʲʊ̽ɾˠ
3996,i gcónaí,Connacht,əˈɡuːn̪ˠiː,ɪ gkʊn̪ʊ̽
3997,i m'ainneoin,Connacht,əˈmˠan̠ʲoːnʲ,ɪ mʲain̪n̪oːən̪
3998,i mbliana,,"ə ˈmʲlʲiənˠə, ə ˈmʲlʲiən̪ˠə",ɪ mˠbˠl̪iən̪ə
4002,i ndán,,,ɪ n̪d̪an̪
4008,i ngeall ar,Galway; Connacht,əˈɲɑːl̪ˠ eɾʲ,ɪ nɟɑl̪l̪ ɑːɾˠ
4007,i ngeall ar,Connacht,"əˈɲiəl̪ˠ eɾʲ, əˈɲul̪ˠ eɾʲ",ɪ nɟɑl̪l̪ ɑːɾˠ
4009,i ngeall ar,Mayo; Connacht,əˈɲal̪ˠ ɛɾʲ,ɪ nɟɑl̪l̪ ɑːɾˠ
4018,ianaithe,,ɪən̪ˠɪə,iən̪əəhə
4041,imeacht,Connacht,"ˈimʲəxt̪ˠ, ˈɪmʲaxt̪ˠ",ɪmʲəkht̪
4054,imithe,Mayo; Connacht,əˈmʲiçə,ɪmʲəhə
4055,imleacán,Connacht,ˈimʲlʲəkɑːnˠ,ɪmʲl̪əkən̪
4060,imím,Connacht,ˈimʲiːmʲ,ɪmʲimʲ
4061,in aghaidh,Ulster; Connacht,əˈn̪ˠəi,ɪn̪ aghiː
4062,in aice,Ulster; Connacht,əˈn̪ˠacɪ,ɪn̪ aici
4063,in aice le,,əˈn̪ˠacɪlʲə,ɪn̪ aici l̪ɛ
