giotár	ˈɟiət̪ˠɑːɾˠ
iargúil	ˈiəɾˠɡúlʲ
lean	lʲan̪ˠ
gcorp	ɡɔɾˠpˠ
sinsear	ˈʃɪn̠ʲʃəɾˠ
spíon	ʃpʲiːnʲ
uinge	ˈɪɲə
bearna bhaoil	ˌbʲaɾˠn̪ˠə ˈwiːlʲ
leabharlann	ˈlʲəuəɾˠlˠən̪ˠ
hÍ	hiː
gearb	ɟaɾˠbˠ
gríosach	ˈɟɾʲiːsˠəx
nÍ	nʲiː
aonraic	ˈiːn̠̪ˠɾˠəc
pháirc	fˠɑːɾʲc
mhaoin	wiːnʲ
crógach	ˈkɾˠoːɡəx
cén áit	ceːn̪ˠˈɑːtʲ
péacóg	ˈpʲeːkoːɡ
clismirt	ˈclʲɪʃmʲəɾˠtʲ
goilte	ˈɡɛl̠ʲtʲə
sea	ʃa
móinteach	ˈmˠón̪ʲtʲəx
ardrí	ˈaɾʲədʲɾʲiː
chileagram	ˈçɪlʲəɡɾˠəmˠ
fhreastail	ˈɾʲasˠt̪ˠəlʲ
gámaí	ˈɡɑːmˠiː
cabach	ˈkabˠəx
ronnach	ˈɾˠʊn̪ˠəx
gcatach	ˈɡat̪ˠəx
go raibh maith agaibh	ɡəɾˠaiiː mˠah ˈəɡəvʲ
oblátach	ˈɔbˠlˠɑːt̪ˠəx
proifisiúntacht	ˈpˠɾˠɛfʲəʃuːn̪ˠt̪ˠəxt̪ˠ
dúiseacht	ˈd̪ˠúʃəxt̪ˠ
Gael	ɟeːlˠ
próis	ˈpˠɾˠóʃ
píoba	ˈpʲiːbˠə
séis	ʃeːʃ
téis	tʲeːʃ
gág	ɡɑːɡ
cérbh	ceːɾʲvʲ
air	aɾʲ
fág	fˠɑːɡ
gceilt	ɟɛl̠ʲtʲ
deisigh	ˈdʲɛʃə
léis	lʲeːʃ
Aodhagán	ˈiːɣəɡɑːnˠ
obann	ˈɔbˠən̪ˠ
ruacan	ˈɾˠuəkən̪ˠ
mban	mˠan̪ˠ
sir	ʃɪɾʲ
ticéad	ˈtʲɪceːd̪ˠ
craobhach	ˈkɾˠiːwəx
théigh	hɪ
fíonghort	ˈfʲɪŋhəɾˠt̪ˠ
mhic	vʲɪc
comhionann	ˈkɪiən̪ˠən̪ˠ
bréige	ˈbʲɾʲeːɟɪ
brata	ˈbˠɾˠat̪ˠə
pillín	ˈpʲɪlʲiːnʲ
tharla	ˈhaɾˠlˠə
rópa	ˈɾˠoːpˠə
langa	ˈlˠɪŋə
crín	cɾʲiːnʲ
imirt	ˈɪmʲəɾˠtʲ
impí	ˈɪmʲpʲiː
goirme	ˈɡɛɾʲmʲə
Leitir Ceanainn	ˌlʲɛtʲəɾʲ ˈcan̪ˠən̪ˠ
ala	ˈalˠə
Rúis	ˈɾˠúʃ
cloig	klˠɪɟ
baile mór	ˌbˠalʲə ˈmˠoːɾˠ
fírinneach	ˈfʲiːɾʲən̪ˠəx
ola	ˈɔlˠə
fhágáil	ˈɑːɡɑːlʲ
siúlann	ˈʃuːlˠən̪ˠ
bailiúchán	ˈbˠalʲuːxɑːnˠ
chúns	xuːn̪ˠsˠ
seic	ʃɛc
airg	aɾʲɟ
fhuilim	ˈɪlʲɪmʲ
reic	ɾˠɛc
séide	ˈʃeːdʲə
comórtas	ˈkɔmˠoːɾˠt̪ˠəsˠ
harán	ˈhaɾˠɑːnˠ
tríd	tʲɾʲiːdʲ
sleá	ˈʃlʲeɑː
glan	ɡlˠan̪ˠ
dóibh	d̪ˠó
céide	ˈceːdʲə
raimhre	ˈɾˠavʲɾʲə
fríd	fʲɾʲiːdʲ
thuig	hɪɟ
fleá	ˈfʲlʲeɑː
laistigh	ˈlˠaʃtʲə
go fóill	ɡəˈfˠólˠ
póca	ˈpˠoːkə
cheithre	ˈçɛhɾʲə
iomlán	ˈʊmˠlˠɑːnˠ
Ó Broin	oː ˈbˠɾˠɪnʲ
cláiríneach	ˈklˠɑːɾʲiːnʲəx
fheamainn	ˈamˠən̪ˠ
is éigean	əsˠ ˈeːɟən̪ˠ
ghéaraigh	ˈjeːɾˠə
ithir	ˈɪhəɾʲ
fógra	ˈfˠoːɡɾˠə
