word,tags,ipa,results,match
Bolcáin,Connacht,ˈbɔlˠkɑːnʲ,ˈbˠʊlˠkɑːnʲ,80
Bolcán,Connacht,ˈbɔlˠkɑːnˠ,ˈbˠʊlˠkɑːnˠ,80
Brandubh,,ˈbˠɾˠan̪ˠd̪ˠuː,ˈbˠɾˠanˠuː,80
Brasaíl,,bˠɾˠaˈsˠiːlʲ,ˈbˠɾˠʊsˠɑːlʲ,75
Brian,,bʲɾʲiən̪ˠ,ˈbʲɾʲiənˠ,89
Bré,,bʲɾʲeː,ˈbʲɾʲeː,100
Bríd,,bʲɾʲiːdʲ,ˈbʲɾʲiːdʲ,100
Bé,,bʲeː,ˈbʲeː,100
Béal Feirste,,"ˌbʲeːlˠ ˈfʲɛɾˠʃtʲə, ˌbʲeːl̪ˠ ˈfʲɛɾˠʃtʲə",ˈbʲeːlˠ ˈfʲɛɾʲʃtʲɪ,83
Béarla,Ulster; Connacht,ˈbʲeːɾˠl̪ˠə,ˈbʲeːɾˠlˠə,90
Béarlach,Munster; Connacht,ˈbʲeːɾˠl̪ˠəx,ˈbʲeːɾˠlˠəx,91
Béarlóireacht,Connacht,ˈbʲeːɾˠl̪ˠoːɾʲəxt̪ˠ,ˈbʲeːɾˠlˠoːɾʲəxt̪ˠ,94
Bíobla,,ˈbʲiːbˠl̪ˠə,ˈbʲiːbˠlˠə,90
Cabúl,,"kaˈbˠuːlˠ, kaˈbˠuːl̪ˠ",ˈkabˠuːlˠ,78
Cadhla,,ˈkəi̯lˠə,ˈkailˠə,71
Caiseal,,"ˈkaʃəlˠ, ˈkaʃəl̪ˠ",ˈkaʃɪlˠ,86
Caitliceach,Munster; Connacht,ˈkatʲlʲɪcəx,ˈkatʲlʲɪcɪx,91
Caitlín,Connacht,ˈkatʲlʲiːnʲ,ˈkatʲlʲiːnʲ,100
Caitríona,Ulster; Connacht,"ˈkatʲɾʲiːnˠə, ˈkatʲɾʲiːn̪ˠə",ˈkatʲɾʲiːnˠə,100
Caoimhe,,ˈkiːvʲə,ˈkiːvʲɪ,86
Caoimhín,Connacht,ˈkiːvʲiːnʲ,ˈkiːvʲiːnʲ,100
Carghais,Connacht,ˈkaɾˠiːʃ,ˈkaɾˠɣɪʃ,75
Carghas,Connacht,ˈkaɾˠiːsˠ,ˈkaɾˠɣəsˠ,78
Catalóin,Ulster; Connacht,ˈkatˠəl̪ˠoːnʲ,ˈkat̪ˠəlˠəːnʲ,85
Catalóinis,,ˈkatˠəl̪ˠoːnʲəʃ,ˈkat̪ˠəlˠəːnʲɪʃ,80
Cathal,,ˈkahəlˠ,ˈkaçəlˠ,86
Ceallach,Connacht,ˈcal̪ˠəx,ˈkal̪ˠəx,88
Ceanada,,ˈcanˠəd̪ˠə,ˈcɑnˠəd̪ˠə,90
Ceatharlach,Connacht,ˈcɑːɾˠl̪ˠəx,ˈcæçəɾˠlˠəx,73
Ceatharlach,Munster; Connacht,ˈcahəɾˠl̪ˠəx,ˈcæçəɾˠlˠəx,73
Ceilteach,Connacht,ˈcɛl̠ʲtʲəx,ˈcɛlʲtʲəx,89
Ch,,"x, ç",x,100
Cheatharlach,Connacht,ˈçɑːɾˠl̪ˠəx,ˈçaçəɾˠlˠəx,73
Cheatharlach,Munster; Connacht,ˈçahəɾˠl̪ˠəx,ˈçaçəɾˠlˠəx,82
Chian,,çiənˠ,ˈçiənˠ,100
Chiribeas,,ˈxɪɾʲəˌbas,ˈçɪɾʲɪbʲɪsˠ,60
Cholm,,"ˈxɔlˠəmˠ, ˈxɔl̪ˠəmˠ",ˈxʊlˠəmˠ,88
Cholm Cille,Ulster; Connacht,"ˌxɔlˠəmˈcɪl̠ʲə, ˌxɔl̪ˠəmˈcɪl̠ʲə",ˈxʊlˠəmˠ ˈcɪl̠ʲə,75
Chonnacht,Connacht,ˈxʊn̪ˠəxt̪ˠ,ˈxʊn̪ˠəxt̪ˠ,100
Chonnachta,Connacht,ˈxʊn̪ˠəxt̪ˠə,ˈxʊn̪ˠəxt̪ˠə,100
Cháit,Munster; Connacht,xɑːtʲ,ˈxɑːtʲ,100
Chásca,Munster; Connacht,ˈxɑːsˠkə,ˈxɑːsˠkə,100
Cian,,ˈciənˠ,ˈciənˠ,100
Ciarraí,,ˈciəɾˠiː,ˈciəɾˠiː,100
Ciarán,Connacht,ˈciəɾˠɑːnˠ,ˈciəɾˠɑːnˠ,100
Cillian,Ulster; Connacht,ˈcɪl̠ʲiənˠ,ˈcɪl̠ʲənˠ,89
Cincís,Connacht,ˈcɪɲciːʃ,ˈcɪnʲciːʃ,75
Cireabaití,,ˈkɪɾʲəˌbatiː,ˈcɪɾʲɪbˠətʲiː,58
Ciribeas,,ˈkɪɾʲəˌbas,ˈcɪɾʲɪbʲɪsˠ,60
Claíomh Solais,,klˠiːvˠ ˈsˠɔl̪ˠəʃ,ˈklˠɑːoː ˈsˠʊlˠɪʃ,65
Cloch na Blarnan,Munster; Connacht,ˌklˠɔx n̪ˠə ˈbˠlˠɑːɾˠn̪ˠənˠ,ˈklˠʊx ˈnˠa ˈbˠlˠaɾˠnˠənˠ,76
Clocha Liatha,Ulster; Connacht,"n̪ˠə ˌklˠɔxə ˈl̠ʲiəhə, n̪ˠə ˌkl̪ˠɔxə ˈl̠ʲiəhə",ˈklˠʊxə ˈlʲiəçə,73
Cléire,,ˈclʲeːɾʲə,ˈclʲeːɾʲɪ,89
Coirnis,,ˈkoːɾˠnʲɪʃ,ˈkɛɾʲnʲɪʃ,67
Colm,,"ˈkɔlˠəmˠ, ˈkɔl̪ˠəmˠ",ˈkʊlˠəmˠ,88
Colm Cille,Ulster; Connacht,"ˌkɔlˠəmˈcɪl̠ʲə, ˌkɔl̪ˠəmˈcɪl̠ʲə",ˈkʊlˠəmˠ ˈcɪl̠ʲə,75
Colmán,Connacht,"ˈkɔlˠəmˠɑːnˠ, ˈkɔl̪ˠəmˠɑːn̪ˠ",ˈkʊlˠmˠɑːnˠ,82
Connacht,Connacht,ˈkʊn̪ˠəxt̪ˠ,ˈkʊn̪ˠəxt̪ˠ,100
Connachta,Munster; Connacht,ˈkon̪ˠəxt̪ˠə,ˈkʊn̪ˠəxt̪ˠə,92
Connachtach,Munster; Connacht,ˈkon̪ˠəxt̪ˠəx,ˈkʊn̪ˠəxt̪ˠəx,92
Corcaigh,Connacht,"ˈkɔɾˠkiː, ˈkɔɾˠkə",ˈkʊɾˠkiː,88
Corn na Breataine,,kɔrˠnˠ nˠə ˈbʲrʲatˠənʲə,ˈkʊɾˠənˠ ˈnˠa ˈbʲɾʲɑt̪ˠɪnʲɪ,65
Críost,,cɾʲiːsˠt̪ˠ,ˈcɾʲiːsˠt̪ˠ,100
Críostaí,Connacht,ˈcɾʲiːsˠt̪ˠiː,ˈcɾʲiːsˠt̪ˠiː,100
Cróitis,,ˈkɾˠoːtʲəʃ,ˈkɾˠoːtʲɪʃ,90
Cáisc,,"kaːʃc, kɑːʃc",ˈkɑːʃc,83
Cáit,,"kaːtʲ, kɑːtʲ",ˈkɑːtʲ,83
Cásc,,kɑːsˠk,ˈkɑːsk,83
Cásca,Munster; Connacht,ˈkɑːsˠkə,ˈkɑːsˠkə,100
Céadaoin,Connacht,ˈceːd̪ˠiːnʲ,ˈceːd̪ˠiːnʲ,100
Cóbh,,koːvˠ,ˈkoːw,60
Cóiréis,Connacht,ˈkoːɾʲeːʃ,ˈkoːɾʲeːʃ,100
Cúil Raithin,,ˌkuːlʲ ˈɾˠahənʲ,ˈkuːlʲ ˈɾˠahɪnʲ,87
Daidí na Nollag,,ˌd̪ˠadʲiː n̪ˠə ˈnˠɔl̪ˠəɡ,ˈd̪ˠadʲiː ˈnˠa ˈnˠʊl̪ˠəɡ,83
Daingean,Connacht,"ˈd̪ˠaŋənˠ, ˈd̪ˠaŋən̪ˠ, ˈd̪ˠæŋənˠ, ˈd̪ˠæŋən̪ˠ",ˈd̪ˠaŋənˠ,100
Danmhairge,,ˈd̪ˠanwəɾʲəɟə,ˈd̪ˠanˠwɪɾʲɟɪ,77
Danmhairgis,,ˈd̪ˠanˠwaɾʲɪɟɪʃ,ˈd̪ˠanˠwɪɾʲɟɪʃ,86
Deirdre,,ˈdʲɛɾˠdʲɾʲə,ˈdʲɛɾʲdʲɾʲɪ,82
Deireadh Fómhair,,dʲeɾʲə fuːwəɾʲ,ˈdʲɛɾʲə ˈfˠoːwɪɾʲ,64
Dh,,"j, ɟ, ɣ",ɣ,100
Dhaidí na Nollag,,ˌɣadʲiː n̪ˠə ˈnˠɔl̪ˠəɡ,ˈɣadʲiː ˈnˠa ˈnˠʊl̪ˠəɡ,82
Dhia,,jiə,ˈjiə,100
Dia,,dʲiə,ˈdʲiə,100
Dia dhaoibh,,ˌdʲiə ˈɣiːvʲ,ˈdʲiə ˈɣiːvʲ,92
Dia dhuit,,ˌdʲiə ˈɣɪtʲ,ˈdʲiə ˈɣɪtʲ,91
Dia duit,,ˌdʲiə ˈd̪ˠɪtʲ,ˈdʲiə ˈd̪ˠɪtʲ,92
Dia's Muire duit,,ˌdʲiəs ˈmˠɪɾʲə ˈd̪ˠɪtʲ,ˈdʲiə'sˠ ˈmˠɪɾʲɪ ˈd̪ˠɪtʲ,86
Diarmaid,,ˈdʲiəɾˠmˠədʲ,ˈdʲiəɾˠmˠɪdʲ,92
Dochartach,Munster; Connacht,ˈd̪ˠɔxəɾˠt̪ˠəx,ˈd̪ˠʊxəɾˠt̪ˠəx,93
Doire,,ˈd̪ˠɪɾʲə,ˈd̪ˠɛɾʲɪ,75
Domhnach,,"ˈd̪ˠoːn̪ˠəx, ˈd̪ˠəun̪ˠəx",ˈd̪ˠʊwɾˠəx,60
Donncha,,"ˈd̪ˠɔn̪ˠəxə, ˈd̪ˠʊn̪ˠəxə",ˈd̪ˠʊn̪ˠxə,90
Droichead Nua,Connacht,"ˌd̪ˠɾˠeːd̪ˠ ˈn̪ˠuː, ˌd̪ˠɾˠəid̪ˠ ˈn̪ˠuː",ˈd̪ˠɾˠɛhəd̪ˠ ˈnˠua,78
Dubhghall,,ˈd̪ˠʊwəl̪ˠ,ˈd̪ˠʊwɣəl̪ˠ,90
Dubhghus,,ˈd̪ˠuːɣusˠ,ˈd̪ˠʊwɣəsˠ,70
Dáil Éireann,Munster; Connacht,d̪ˠɑːlʲ ˈeːɾʲən̪ˠ,ˈd̪ˠɑːlʲ ˈeːɾʲən̪ˠ,100
Dé,,dʲeː,ˈdʲeː,100
Dé Céadaoin,,dʲeː ˈceːd̪ˠiːnʲ,ˈdʲeː ˈceːd̪ˠiːnʲ,100
Dé Luain,,"dʲeːˈl̪ˠuənʲ, dʲeːˈl̪ˠuːnʲ",ˈdʲeː ˈlˠʊɪnʲ,69
Dé Máirt,Munster; Connacht,dʲeː ˈmˠɑːɾˠtʲ,ˈdʲeː ˈmˠɑːɾʲtʲ,93
Dé Sathairn,,dʲeː ˈsˠahəɾˠnʲ,ˈdʲeː ˈsˠaçɪɾʲnʲ,80
Dé hAoine,Munster; Connacht,dʲeː ˈhiːnʲə,ˈdʲeː ˈhiːnʲɪ,92
Déardaoin,Connacht,ˌdʲeːɾˠˈd̪ˠiːnʲ,ˈdʲeːɾˠd̪ˠiːnʲ,93
Dónall,Connacht,"ˈd̪ˠuːnˠəl̪ˠ, ˈd̪ˠuːn̪ˠəl̪ˠ",ˈd̪ˠʊːnˠəl̪ˠ,92
Dún Dealgan,Ulster; Connacht,"ˌd̪ˠuːnˠ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲal̪ˠəɡən̪ˠ",ˈd̪ˠuːnˠ ˈdʲɑlˠɡənˠ,74
Dún Dealgan,Ulster; Munster; Connacht,ˌd̪ˠuːn̪ˠ ˈdʲal̪ˠəɡən̪ˠ,ˈd̪ˠuːnˠ ˈdʲɑlˠɡənˠ,79
Dún Laoghaire,Ulster; Connacht,d̪ˠuːn̪ˠ ˈl̪ˠiːɾʲə,ˈd̪ˠuːnˠ ˈlʲiːɣɪɾʲɪ,78
Dún Éideann,,"ˈd̪ˠuːnˠ ˈeːdʲən̪ˠ, ˈd̪ˠuːn̪ˠ ˈeːdʲən̪ˠ",ˈd̪ˠuːnˠ ˈeːdʲən̪ˠ,100
Eabhrac,,ˈəuɾˠək,əuɾˠək,100
Eanáir,,ˈan̪ˠɑːɾʲ,ˈʊnˠɑːɾʲ,75
Eastóinis,,"asˠˈtˠoːnʲɪʃ, ˈasˠtˠoːnʲɪʃ",ˈasˠt̪ˠəːnʲɪʃ,88
Eibhlín,Connacht,ˈɛvʲəlʲiːnʲ,ˈɛɪvʲlʲiːnʲ,91
Eithne,,"ˈɛhnʲə, ˈɛnʲə",ˈɛhnʲɪ,83
Eochaidh,Connacht,ˈɔxiː,ˈoːxiː,60
Eoghan,Connacht,oːnˠ,ˈɛənˠ,50
Eoghan,Munster; Connacht,oːn̪ˠ,ˈɛənˠ,40
Eoin,,oːnʲ,ˈʊːnʲ,75
Eoraip,,ˈoːɾˠəpʲ,ˈoːɾˠɪpʲ,88
Faoilleach,Connacht,ˈfˠiːl̠ʲəx,ˈfˠiːl̠ʲəx,100
Feabhra,,fʲauɾˠə,ˈfʲəuɾˠə,86
Feardorcha,,ˈfʲaɾˠd̪ˠɔɾˠəxə,ˈfʲæɾˠd̪ˠəɾˠxə,79
Fearghal,,ˈfʲaɾˠəlˠ,ˈfʲæɾˠɣəlˠ,78
Fearghas,Connacht,ˈfʲæːɾˠiːsˠ,ˈfʲæɾˠɣəsˠ,70
Fhaoilleach,Connacht,ˈiːl̠ʲəx,ˈiːl̠ʲəx,100
Fhionlainn,,ˈɪnlˠən̠ʲ,ˈɪnˠlˠən̠ʲ,89
Fhionlainnis,,ˈɪn̪ˠl̪ˠən̠ʲɪʃ,ˈɪnˠlˠən̠ʲɪʃ,83
Fhrainc,,ɾˠaɲc,ˈɾˠanʲc,60
Fhranc,,ˈɾˠaŋk,ˈɾˠank,83
Fhranca,,ˈɾˠaŋkə,ˈɾˠanˠkə,71
