deice	ˈdʲɛcɪ
spréim	ʃpʲɾʲeːmʲ
beirtear	ˈbʲɛɾˠtʲəɾˠ
dtóireacha	ˈd̪ˠóɾʲəxə
lannach	ˈlˠan̪ˠəx
tóra	ˈt̪ˠoːɾˠə
corrú	ˈkɔɾˠuː
seisiún	ˈʃɛʃuːnˠ
dúrais	ˈd̪ˠuːɾˠəʃ
déanamh	ˈdʲeːn̪ˠəu
smuga	ˈsˠmˠʊɡə
d'alt	d̪ˠ'ˈɛl̠ˠt̪ˠ
píoba	ˈpʲiːbˠə
siúlann	ˈʃuːlˠən̪ˠ
d'oil	d̪ˠ'ˈɛlʲ
d'fhreastail	dʲ'ˈɾʲasˠt̪ˠəlʲ
traein	ˈtʲɾʲeːnʲ
fáinní	ˈfˠɑːn̪ˠiː
próis	ˈpˠɾˠóʃ
dollar	ˈd̪ˠɔlˠəɾˠ
ghéaraigh	ˈjeːɾˠə
fuiltear	ˈfˠɪl̠ʲtʲəɾˠ
difríocht	ˈdʲɪfʲɾʲiːçtʲ
muice	ˈmˠɪcɪ
seisean	ˈʃɛʃən̪ˠ
bleánach	ˈbʲlʲeɑːn̪ˠəx
deinir	ˈdʲɛnʲəɾʲ
shíníomar	ˈhiːnʲiːmˠəɾˠ
Saoirse	ˈsˠiːɾˠʃə
b'fhearr	bʲ'ˈaɾˠ
tarcaisne	ˈt̪ˠaɾˠkəʃnʲə
íosfaidh	ˈiːsˠfˠə
tura	ˈt̪ˠʊɾˠə
proifisiúntacht	ˈpˠɾˠɛfʲəʃuːn̪ˠt̪ˠəxt̪ˠ
dhuit	ɣɪtʲ
mura	ˈmˠʊɾˠə
charn	xaɾˠn̪ˠ
Pheadair	ˈfʲad̪ˠəɾʲ
gcoill	ɡɛlʲ
draein	ˈdʲɾʲeːnʲ
liathróid	ˈlʲiəhɾˠódʲ
laghairt	ˈlˠaiəɾˠtʲ
lastoir	ˈlˠasˠt̪ˠəɾʲ
folmha	ˈfˠɔlˠəvˠə
bogha báistí	ˌbˠaiə ˈbˠɑːʃtʲiː
féadaim	ˈfʲeːd̪ˠəmʲ
goirim	ˈɡɛɾʲɪmʲ
ar deighilt	əɾˠˈdʲɛjəl̪ʲtʲ
lúibe	ˈlˠúbʲə
gaiscígh	ˈɡaʃcɪ
ceimic	ˈcɛmʲɪc
gleanna	ˈɟlʲan̪ˠə
tchíthear	ˈtʲçiːhəɾˠ
ceird	cɛɾʲdʲ
beachlann	ˈbʲaxlˠən̪ˠ
snite	ˈʃnʲɪtʲə
eachra	ˈaxɾˠə
tóirse	ˈt̪ˠóɾˠʃə
dlaoi	d̪ˠlˠiː
sealbha	ˈʃalˠəvˠə
fiodh	ˈfʲiuː
leigheas	ˈlʲɛjəsˠ
sáim	sˠɑːmʲ
mainistreach	ˈmˠanʲəʃtʲɾʲəx
dlite	ˈdʲlʲɪtʲə
tiocfar	ˈtʲjʊkfˠəɾˠ
póirse	ˈpˠóɾˠʃə
teachta	ˈtʲaxt̪ˠə
táim	t̪ˠɑːmʲ
píce	ˈpʲiːcɪ
daoirse	ˈd̪ˠiːɾˠʃə
asamsa	ˈasˠəmˠsˠə
dalta	ˈd̪ˠɛl̠ˠt̪ˠə
