deice	ˈdʲɛcɪ
shalach	ˈhalˠəx
Méibhín	ˈmʲeːvʲiːnʲ
oscar	ˈɔsˠkəɾˠ
thuigeas	ˈhɪɟəsˠ
cuimil	ˈkɪmʲɪlʲ
gí go	ˈɟiː ɡə
ghliocais	ˈlʲiəkəʃ
bréig	bʲɾʲeːɟ
ré-	ɾˠeː-
áith	ɑː
caoin	kiːnʲ
abraid	ˈabˠɾˠədʲ
toghadh	ˈt̪ˠaiə
garga	ˈɡaɾˠəɡə
faoin	fˠiːnʲ
creidmheach	ˈcɾʲɛdʲvʲəx
ó shin	oː ˈhɪnʲ
riamh	ˈɾˠiəu
fhéidir	ˈeːdʲəɾʲ
míorúilteach	ˈmʲiːɾˠúl̪ʲtʲəx
dúideanna	ˈd̪ˠúdʲən̪ˠə
Dia's Muire duit	ˌdʲiə'sˠ mˠɪɾʲə ˈd̪ˠɪtʲ
cíb	ciːbʲ
úinéara	ˈúnʲeːɾˠə
rinnis	ˈɾˠɪnʲəʃ
tinnis	ˈtʲɪnʲəʃ
cearnóige	ˈcaɾˠn̪ˠóɟɪ
ngloiní	ˈŋlˠɪnʲiː
Niamh	ˈnʲiəu
chím	çiːmʲ
cruachan	ˈkɾˠuəxən̪ˠ
treallach	ˈtʲɾʲalˠəx
spóirt	ˈsˠpˠóɾˠtʲ
óir	ˈóɾʲ
foghlaim	ˈfˠailˠəmʲ
n-itheann	nʲ-ˈɪhən̪ˠ
bhaint	wan̪ʲtʲ
b'éigint	bʲ'ˈeːɟɪn̠ʲtʲ
cárta	ˈkɑːɾˠt̪ˠə
rabharta	ˈɾˠəuəɾˠt̪ˠə
mbainne	ˈmˠan̪ˠə
dT	d̪ˠ
chúil	ˈxúlʲ
tsléibh	tʲʃlʲeːvʲ
fhuinneoig	ˈɪnʲoːɟ
goilí	ˈɡɛlʲiː
chúis	ˈxúʃ
glaodh	ɡlˠə
miúil	ˈmʲúlʲ
diaga	ˈdʲiəɡə
tine	ˈtʲɪnʲə
leoraí	ˈlʲoːɾˠiː
mine	ˈmʲɪnʲə
siúil	ˈʃúlʲ
beirim	ˈbʲɛɾʲɪmʲ
deirim	ˈdʲɛɾʲɪmʲ
troime	ˈt̪ˠɾˠɪmʲə
tugann	ˈt̪ˠʊɡən̪ˠ
gine	ˈɟɪnʲə
cnáib	kɾˠɑːbʲ
gcéad	ɟeːd̪ˠ
cangail	ˈkɪŋəlʲ
cuideachtúil	ˈkɪdʲəxt̪ˠúlʲ
thar sáile	haɾˠ ˈsˠɑːlʲə
deor	dʲoːɾˠ
cróga	ˈkɾˠoːɡə
bróga	ˈbˠɾˠoːɡə
chairde	ˈxaɾʲədʲə
foclóir	ˈfˠɔklˠóɾʲ
úd	uːd̪ˠ
bheirir	ˈvʲɛɾʲəɾʲ
luíonn	ˈlˠuiːnʲ
d'oilfeadh	d̪ˠ'ˈɛl̠ʲfʲə
bansár	ˈbˠan̪ˠsˠɑːɾˠ
méireasta	ˈmʲeːɾʲəsˠt̪ˠə
Stiofán	ˈʃtʲjʊfˠɑːnˠ
bromach	ˈbˠɾˠɔmˠəx
thuilleamar	ˈhɪlʲəmˠəɾˠ
ceap	capˠ
geairid	ˈɟaɾʲɪdʲ
Rómáinis	ˈɾˠoːmˠɑːnʲəʃ
ging	ɟɪɲ
beoracha	ˈbʲoːɾˠəxə
dearcaim	ˈdʲaɾˠkəmʲ
sléibh	ʃlʲeːvʲ
pápa	ˈpˠɑːpˠə
lig do scíth	lʲɪɡ d̪ˠɔ ˈʃciː
comórtas	ˈkɔmˠoːɾˠt̪ˠəsˠ
tailte	ˈt̪ˠɛl̠ʲtʲə
badráil	ˈbˠad̪ˠɾˠɑːlʲ
hithe	ˈhɪhə
catha	ˈkahə
thairstise	ˈhaɾˠʃtʲəʃə
grianach	ˈɟɾʲiən̪ˠəx
lasmuigh	ˈlˠasˠmˠə
cainteanna	ˈkan̪ʲtʲən̪ˠə
sobal	ˈsˠɔbˠəlˠ
tithe	ˈtʲɪhə
pobal	ˈpˠɔbˠəlˠ
pósfadsa	ˈpˠoːsˠfˠəd̪ˠsˠə
buaileann	ˈbˠuəlʲən̪ˠ
marcáil	ˈmˠaɾˠkɑːlʲ
abúlacht	ˈabˠuːlˠəxt̪ˠ
bhláth	wlˠɑː
glantóir	ˈɡlˠan̪ˠt̪ˠóɾʲ
ding	dʲɪɲ
ábaltacht	ˈɑːbˠəl̪ˠt̪ˠəxt̪ˠ
glór	ɡlˠoːɾˠ
tóin	ˈt̪ˠónʲ
bheidh	vʲɪ
rugabhair	ˈɾˠʊɡəuəɾʲ
seilbhe	ˈʃɛlʲəvʲə
míoltóg	ˈmʲiːl̠ˠt̪ˠoːɡ
anchúinse	ˈan̪ˠxún̪ʲʃə
cailíní	ˈkalʲiːnʲiː
Mhacha	ˈwaxə
dailtín	ˈd̪ˠɛl̠ʲtʲiːnʲ
isteach	ˈɪʃtʲəx
galán	ˈɡalˠɑːnˠ
facais	ˈfˠakəʃ
tostad	ˈt̪ˠɔsˠt̪ˠəd̪ˠ
cinnigí	ˈcɪnʲəɟiː
doiciméad	ˈd̪ˠɛcɪmʲeːd̪ˠ
scilling	ˈʃcɪlʲəɲ
duadar	ˈd̪ˠuəd̪ˠəɾˠ
-ithe	-ɪhə
spéis	ʃpʲeːʃ
fáth	fˠɑː
rugas	ˈɾˠʊɡəsˠ
chomhair	ˈxəuəɾʲ
chuma	ˈxʊmˠə
láth	lˠɑː
ráth	ɾˠɑː
faisean	ˈfˠaʃən̪ˠ
dóibh	d̪ˠó
Seáinín	ˈʃeɑːnʲiːnʲ
thuiscint	ˈhɪʃcɪn̠ʲtʲ
castáil	ˈkasˠt̪ˠɑːlʲ
mairim	ˈmˠaɾʲɪmʲ
deinim	ˈdʲɛnʲɪmʲ
ficheall	ˈfʲɪçəlˠ
Iodáilis	ˈiəd̪ˠɑːlʲəʃ
gníomhaíocht	ˈɟɾʲiːiːəxt̪ˠ
throsc	hɾˠɔsˠk
caighdeán	ˈkadʲeɑːnˠ
úir	ˈúɾʲ
focla	ˈfˠɔklˠə
bruis	bˠɾˠɪʃ
billí	ˈbʲɪlʲiː
mhadraí	ˈwad̪ˠɾˠiː
beagnach	ˈbʲaɡn̪ˠəx
d'fhágfaí	d̪ˠ'ˈɑːɡfˠiː
Uasal	ˈuəsˠəlˠ
aréir	ˈaɾʲeːɾʲ
maime	ˈmˠamʲə
teora	ˈtʲoːɾˠə
ceilim	ˈcɛlʲɪmʲ
Albain Nua	ˌalˠəbˠən̪ˠ ˈn̪ˠuə
smíste	ˈʃmʲiːʃtʲə
fadú	ˈfˠad̪ˠuː
chruth	xɾˠʊ
breaca	ˈbʲɾʲakə
buidéal	ˈbˠɪdʲeːlˠ
thor	hɔɾˠ
ligthe	ˈlʲɪcə
carbaid	ˈkaɾˠəbˠədʲ
adhlacóir	ˈailˠəkóɾʲ
Inide	ˈɪnʲədʲə
Mumhain	ˈmˠəuənʲ
ghor	ɣɔɾˠ
airím	ˈaɾʲiːmʲ
prios	ˈpʲɾʲiəsˠ
straitéis	ˈsˠt̪ˠɾˠatʲeːʃ
oileadh	ˈɛlʲə
bóthar	ˈbˠoːhəɾˠ
Rúise	ˈɾˠúʃə
fhuar	uəɾˠ
bhínn	vʲiːnʲ
imeartas	ˈɪmʲəɾˠt̪ˠəsˠ
marbh	mˠaɾˠw
Lorgain	ˈlˠɔɾˠəɡənʲ
ga	ɡa
ea	a
le haghaidh	lʲə ˈhaiə
Béal Feirste	bʲeːlʲ ˈfʲɛɾˠʃtʲə
tarbh	t̪ˠaɾˠw
gcearnóg	ˈɟaɾˠn̪ˠoːɡ
spleáchas	ˈʃpʲlʲeɑːxəsˠ
chineál	ˈçɪnʲeɑːlˠ
léaró	ˈlʲeːɾˠoː
taisce	ˈt̪ˠaʃcɪ
fhágáil	ˈɑːɡɑːlʲ
sa	sˠə
teagmhaigh	ˈtʲaɡwə
togair	ˈt̪ˠɔɡəɾʲ
deireas	ˈdʲɛɾʲəsˠ
na	n̪ˠə
beireas	ˈbʲɛɾʲəsˠ
gaisce	ˈɡaʃcɪ
mholtaí	ˈwɔl̪ˠt̪ˠiː
plaic	pˠlˠac
Neipeailis	ˈnʲɛpʲalʲəʃ
goilim	ˈɡɛlʲɪmʲ
athfhás	ˈahɑːsˠ
Tarbh	t̪ˠaɾˠw
géire	ˈɟeːɾʲə
fuiliceach	ˈfˠɪlʲɪcəx
cheannach	ˈçan̪ˠəx
cabaireacht	ˈkabˠəɾʲəxt̪ˠ
nóiméad	ˈn̪ˠómʲeːd̪ˠ
sonra	ˈsˠɔn̪ˠɾˠə
iascach	ˈiəsˠkəx
Brandubh	ˈbˠɾˠan̪ˠəd̪ˠəu
muide	ˈmˠɪdʲə
luide	ˈlˠɪdʲə
mb	mˠ
eang	ɪŋ
crua	kɾˠuə
soiléir	ˈsˠɛlʲeːɾʲ
cúirialta	ˈkúɾʲiəl̪ˠt̪ˠə
tirim	ˈtʲɪɾʲɪmʲ
maoir	mˠiːɾʲ
nádúr	ˈn̪ˠɑːd̪ˠuːɾˠ
saoir	sˠiːɾʲ
cruinniú	ˈkɾˠɪnʲuː
chomh maith	xəu ˈmˠa
foilmhe	ˈfˠɛlʲəvʲə
stopallán	ˈsˠt̪ˠɔpˠəlˠɑːnˠ
vác	vɑːk
Sinn Féin	ʃɪnʲ ˈfʲeːnʲ
tíor	tʲiːɾʲ
iontach	ˈiən̪ˠt̪ˠəx
craicne	ˈkɾˠacnʲə
rabhais	ˈɾˠəuəʃ
Tír Eoghain	tʲiːɾʲ ˈoːɣənʲ
níor	nʲiːɾʲ
Cróitis	ˈkɾˠótʲəʃ
Aoine	ˈiːnʲə
Catalóin	ˈkat̪ˠəlˠónʲ
ar siúl	əɾˠˈʃuːlˠ
díolta	ˈdʲiːl̠ˠt̪ˠə
uair an chloig	ˌuəɾˠ ənˠ ˈxlˠɪɟ
tacair	ˈt̪ˠakəɾʲ
Mháire	ˈwɑːɾʲə
oinniún	ˈɪnʲuːnˠ
snoíodóireacht	ˈsˠn̪ˠoiːd̪ˠóɾʲəxt̪ˠ
éadóchasach	ˈeːd̪ˠoːxəsˠəx
luaidhe	ˈlˠuəə
Éirinn	ˈeːɾʲən̪ˠ
tráigh	t̪ˠɾˠə
coisreac	ˈkɛʃɾʲək
brúim	ˈbˠɾˠúmʲ
deilbh	dʲɛlʲəvʲ
nD	n̪ˠ
gabháltas	ˈɡəuɑːl̪ˠt̪ˠəsˠ
theacht	haxt̪ˠ
chearnóg	ˈçaɾˠn̪ˠoːɡ
uachtarán	ˈuəxt̪ˠəɾˠɑːnˠ
seastar	ˈʃasˠt̪ˠəɾˠ
mhéadar	ˈvʲeːd̪ˠəɾˠ
Ostair	ˈɔsˠt̪ˠəɾʲ
meisce	ˈmʲɛʃcɪ
leisce	ˈlʲɛʃcɪ
leastar	ˈlʲasˠt̪ˠəɾˠ
dorais	ˈd̪ˠɔɾˠəʃ
ghine	ˈjɪnʲə
mhine	ˈvʲɪnʲə
eangach	ˈɪŋəx
chine	ˈçɪnʲə
trua	t̪ˠɾˠuə
spórt	sˠpˠoːɾˠt̪ˠ
ocht	ɔxt̪ˠ
nighe	ˈnʲəiə
ucht	ʊxt̪ˠ
Fine Gael	ˌfʲɪnʲə ˈɟeːlˠ
beirbhiughadh	ˈbʲɛɾʲvʲəə
tharainne	ˈhaɾˠən̪ˠə
gCeanada	ˈɟan̪ˠəd̪ˠə
duine	ˈd̪ˠɪnʲə
gread	ɟɾʲad̪ˠ
duilleach	ˈd̪ˠɪlʲəx
críochnaím	ˈcɾʲiːxɾˠəmʲ
díolann	ˈdʲiːlˠən̪ˠ
muine	ˈmˠɪnʲə
Aindriú	ˈanʲədʲɾʲuː
itheann	ˈɪhən̪ˠ
crú	kɾˠuː
ndearna	ˈnʲaɾˠn̪ˠə
ghairid	ˈɣaɾʲɪdʲ
breis	bʲɾʲɛʃ
tá grá agam ort	t̪ˠɑː ɡɾˠɑː əɡəmˠ ˈəɾˠt̪ˠ
hAlbain	ˈhalˠəbˠənʲ
Albanach	ˈalˠəbˠən̪ˠəx
i gceart	əˈɟaɾˠt̪ˠ
gháire	ˈɣɑːɾʲə
bothán	ˈbˠɔhɑːnˠ
geilt	ɟɛl̠ʲtʲ
urú	ˈʊɾˠuː
súiche	ˈsˠúçə
Fearghal	ˈfʲaɾˠɣəlˠ
chloisteáil	ˈxlˠɛʃtʲeɑːlʲ
scóir	ˈsˠkóɾʲ
ceilt	cɛl̠ʲtʲ
seilbh	ʃɛlʲəvʲ
salú	ˈsˠalˠuː
falach	ˈfˠalˠəx
bacán	ˈbˠakɑːnˠ
ghaiscíoch	ˈɣaʃciː
de bhrí go	dʲəˈvʲɾʲiː ɡə
fireann	ˈfʲɪɾʲən̪ˠ
nósanna	ˈn̪ˠoːsˠən̪ˠə
loch salainn	lˠɔx ˈsˠalˠən̪ˠ
bhF	vˠ
Bolcáin	ˈbˠɔl̪ˠkɑːnʲ
salach	ˈsˠalˠəx
cuingir	ˈkɪɲəɾʲ
ualach	ˈuəlˠəx
treoir	tʲɾʲoːɾʲ
ghardaí	ˈɣaɾˠəd̪ˠiː
brisfidh	ˈbʲɾʲɪʃfʲə
Garda Síochána	ˌɡaɾˠəd̪ˠə ˈʃiːxɑːn̪ˠə
Peirs	pʲɛɾˠʃ
ar oscailt	əɾˠˈɔsˠkəl̪ʲtʲ
arbhar	ˈaɾˠwəɾˠ
buaile	ˈbˠuəlʲə
ngéig	ŋeːɟ
claíomh	ˈklˠiːəu
seanfhear	ˈʃanʲəɾˠ
braichlis	ˈbˠɾˠahlʲəʃ
meall	mʲaːlˠ
críochnaithe	ˈcɾʲiːxɾˠəhə
saorstát	ˈsˠiːɾˠsˠt̪ˠɑːt̪ˠ
mórtas	ˈmˠoːɾˠt̪ˠəsˠ
shábháil	ˈháiːɑːlʲ
deachthas	ˈdʲaxəsˠ
ar tí	əɾˠˈtʲiː
áibhirseoir	ˈɑːvʲəɾˠʃoːɾʲ
sacán	ˈsˠakɑːnˠ
Deireadh Fómhair	ˌdʲɛɾʲə ˈfˠoːəɾʲ
thoir	hɛɾʲ
siúd	ˈʃuːd̪ˠ
ghoir	ɣɛɾʲ
scéalaithe	ˈʃceːlˠəhə
neimhe	ˈnʲeiiːə
málóid	ˈmˠɑːlˠódʲ
Sheáin	ˈheɑːnʲ
Gaeltacht	ˈɟeːl̠ˠt̪ˠəxt̪ˠ
Albain	ˈalˠəbˠənʲ
éan	eːnˠ
clochán	ˈklˠɔxɑːnˠ
ollscoil	ˈɔl̪ˠsˠkəlʲ
éasc	eːsˠk
údar	ˈuːd̪ˠəɾˠ
aineolaí	ˈanʲoːlˠiː
teach pobail	tʲax ˈpˠɔbˠəlʲ
dílis	ˈdʲiːlʲəʃ
dea-bhéasach	ˈdʲa-vʲeːsˠəx
tine chreasa	ˌtʲɪnʲə ˈçɾʲasˠə
dtor	d̪ˠɔɾˠ
philéir	ˈfʲɪlʲeːɾʲ
donas	ˈd̪ˠɔn̪ˠəsˠ
dorchadas	ˈd̪ˠɔɾˠxəd̪ˠəsˠ
cromaim	ˈkɾˠɔmˠəmʲ
airgead	ˈaɾʲəɟəd̪ˠ
chúig	ˈxúɟ
dóim	ˈd̪ˠómʲ
beach chapaill	bʲax ˈxapˠəlˠ
lúcháir	ˈlˠuːxɑːɾʲ
bacacha	ˈbˠakəxə
oileán	ˈɛlʲeɑːnˠ
treabh	tʲɾʲəu
siúinéaraí	ˈʃúnʲeːɾˠiː
caorthann	ˈkiːɾˠən̪ˠ
náisiúnta	ˈn̪ˠɑːʃuːn̪ˠt̪ˠə
chléibh	çlʲeːvʲ
ngaiscíoch	ˈŋaʃciː
bodhrán	ˈbˠuːɾˠɑːnˠ
Fhionlainn	ˈiən̪ˠlˠən̪ˠ
raon	ɾˠiːnˠ
colúr	ˈkɔlˠuːɾˠ
Niall	ˈnʲiəlˠ
taoisigh	ˈt̪ˠiːʃə
tsnátha	ˈt̪ˠsˠn̪ˠɑːhə
tóir	ˈt̪ˠóɾʲ
teorainn	ˈtʲoːɾˠən̪ˠ
buidéil	ˈbˠɪdʲeːlʲ
in ainneoin	ɪn̪ˠ ˈan̪ˠoːnʲ
móir	ˈmˠóɾʲ
Peadar	ˈpʲad̪ˠəɾˠ
dhearna	ˈjaɾˠn̪ˠə
ronnach	ˈɾˠʊn̪ˠəx
le do thoil	lʲə d̪ˠɔ ˈhɛlʲ
holaí	ˈhɔlˠiː
Arabach	ˈaɾˠəbˠəx
dolaí	ˈd̪ˠɔlˠiː
spiorad	ˈʃpʲiəɾˠəd̪ˠ
meánn	ˈmʲeɑːn̪ˠ
oifigiúil	ˈɛfʲəɟúlʲ
altair	ˈɛl̠ˠt̪ˠəɾʲ
chú	xuː
chéile	ˈçeːlʲə
seangaire	ˈʃɪŋəɾʲə
creidim	ˈcɾʲɛdʲɪmʲ
teicni-	ˈtʲɛcnʲə-
cósta	ˈkoːsˠt̪ˠə
giall	ˈɟiəlˠ
crotach	ˈkɾˠɔt̪ˠəx
leictreoir	ˈlʲɛctʲɾʲoːɾʲ
amhrán	ˈəuɾˠɑːnˠ
beár	ˈbʲeɑːɾˠ
fiú	ˈfʲuː
ríomhchláraitheoir	ˈɾˠiːwxlˠɑːɾˠəhoːɾʲ
Corcaigh	ˈkɔɾˠkə
Aibhilín	ˈavʲəlʲiːnʲ
mhall	waːlˠ
Bhrasaíl	ˈvˠɾˠasˠəlʲ
ciú	ˈcuː
scéala	ˈʃceːlˠə
Idirlíon	ˈɪdʲəɾʲlʲiːnʲ
i ngar	əˈŋaɾˠ
faoi bhun	fˠiːˈwʊn̪ˠ
cáide	ˈkɑːdʲə
d'áitigh	d̪ˠ'ˈɑːtʲə
miotal	ˈmʲiət̪ˠəlˠ
púdar	ˈpˠuːd̪ˠəɾˠ
t-amhras	t̪ˠ-ˈəuɾˠəsˠ
mheáití	ˈvʲeɑːtʲiː
cánach	ˈkɑːn̪ˠəx
scréach	ʃcɾʲeːx
slíoc	ʃlʲiːc
uisinn	ˈɪʃən̪ˠ
fánach	ˈfˠɑːn̪ˠəx
ngoilí	ˈŋɛlʲiː
bolcáin	ˈbˠɔl̪ˠkɑːnʲ
tiobraid	ˈtʲiəbˠɾˠədʲ
pleidhc	pʲlʲɪc
chrap	xɾˠapˠ
dulta	ˈd̪ˠʊl̪ˠt̪ˠə
fuilim	ˈfˠɪlʲɪmʲ
fomhuireán	ˈfˠəuəɾʲeɑːnˠ
cuntais	ˈkʊn̪ˠt̪ˠəʃ
críochnaigh	ˈcɾʲiːxɾˠə
cleithire	ˈclʲɛhəɾʲə
ngeimhrí	ˈŋɛvʲɾʲiː
leictreachas	ˈlʲɛctʲɾʲəxəsˠ
loch	lˠɔx
clois	klˠɛʃ
chualais	ˈxuəlˠəʃ
cairr	kaɾˠ
nuair	ˈn̪ˠuəɾʲ
cál ceannann	kɑːlʲ ˈcan̪ˠən̪ˠ
d'fhití	dʲ'ˈɪtʲiː
réasúnta	ˈɾˠeːsˠuːn̪ˠt̪ˠə
taifead	ˈt̪ˠafʲəd̪ˠ
miongháire	ˈmʲiəŋhɑːɾʲə
moch	mˠɔx
duamair	ˈd̪ˠuəmˠəɾʲ
i dtaca le	əˈd̪ˠakə lʲə
raimhre	ˈɾˠavʲɾʲə
otair	ˈɔt̪ˠəɾʲ
Ó Briain	oː ˈbʲɾʲiənʲ
córas	ˈkoːɾˠəsˠ
stair	sˠt̪ˠaɾʲ
stopadh	ˈsˠt̪ˠɔpˠə
ligis	ˈlʲɪɟɪʃ
tosaí	ˈt̪ˠɔsˠiː
fear siúil	fʲaɾʲ ˈʃúlʲ
Feardorcha	ˈfʲaɾˠəd̪ˠəɾˠxə
Chian	ˈçiən̪ˠ
theo	çoː
phian	ˈfʲiən̪ˠ
mhian	ˈvʲiən̪ˠ
chóir	ˈxóɾʲ
roth	ɾˠɔ
cáin	kɑːnʲ
bunú	ˈbˠʊn̪ˠuː
phioc	ˈfʲjʊk
feilméara	ˈfʲɛl̠ʲmʲeːɾˠə
stuic	sˠt̪ˠɪc
Aoine an Chéasta	ˌiːnʲə ənˠ ˈçeːsˠt̪ˠə
cogar	ˈkɔɡəɾˠ
tóg	t̪ˠoːɡ
thóir	ˈhóɾʲ
circ	cɪɾʲc
both	bˠɔ
murar	ˈmˠʊɾˠəɾˠ
buailim	ˈbˠuəlʲɪmʲ
mhóir	ˈwóɾʲ
airc	aɾʲc
chian	ˈçiən̪ˠ
aird	aɾʲdʲ
seinm	ʃɛn̠ʲmʲ
luachair	ˈlˠuəxəɾʲ
plé	pʲlʲeː
dualgas	ˈd̪ˠuəlˠəɡəsˠ
póg	pˠoːɡ
tiomáint	ˈtʲjʊmˠɑːn̪ʲtʲ
gceist	ɟɛʃtʲ
pínn	pʲiːnʲ
giuirléid	ˈɟiəɾʲlʲeːdʲ
smiolgadán	ˈʃmʲiəl̪ˠɡəd̪ˠɑːnˠ
tíre	ˈtʲiːɾʲə
sheomra	ˈçoːmˠɾˠə
cruithneacht	ˈkɾˠɪhnʲəxt̪ˠ
tS	t̪ˠsˠ
fliúit	ˈfʲlʲútʲ
bpeacaí	ˈbʲakiː
colgach	ˈkɔlˠəɡəx
fhlaith	lˠa
gabhar	ˈɡəuəɾˠ
mórán	ˈmˠoːɾˠɑːnˠ
feileann	ˈfʲɛlʲən̪ˠ
dealbh	dʲalˠəvˠ
mhún	wuːnˠ
grús	ɡɾˠuːsˠ
taibhse	ˈt̪ˠavʲʃə
fágáil	ˈfˠɑːɡɑːlʲ
vása	vˈɑːsˠə
dearfach	ˈdʲaɾˠfˠəx
sealbh	ʃalˠəvˠ
eascrach	ˈasˠkɾˠəx
rása	ˈɾˠɑːsˠə
mása	ˈmˠɑːsˠə
Toirdhealbhach	ˈt̪ˠɛɾʲjəl̪ˠwəx
seanbhan	ˈʃan̪ˠwən̪ˠ
céilíoch	ˈceːlʲiː
éadaí	ˈeːd̪ˠiː
thráigh	hɾˠə
dearnadh	ˈdʲaɾˠn̪ˠə
rúin	ˈɾˠúnʲ
dínn	dʲiːnʲ
thar lear	haɾʲ ˈlʲaɾˠ
mar go	mˠəɾˠ ɡə
mhiste	ˈvʲɪʃtʲə
múin	ˈmˠúnʲ
tús	t̪ˠuːsˠ
caor	kiːɾˠ
gáirí	ˈɡɑːɾʲiː
báille	ˈbˠɑːlˠə
díleas	ˈdʲiːlʲəsˠ
mús	mˠuːsˠ
dúin	ˈd̪ˠúnʲ
coinníoll	ˈkɪnʲiːlʲ
cheo	çoː
dhún	ɣuːnˠ
lasrach	ˈlˠasˠɾˠəx
maímh	mˠaíiː
fhianaise	ˈiən̪ˠəʃə
scáth	sˠkɑː
glan	ɡlˠan̪ˠ
dtarbh	d̪ˠaɾˠw
táille	ˈt̪ˠɑːlˠə
maor	mˠiːɾˠ
dhearnas	ˈjaɾˠn̪ˠəsˠ
inarbh	ˈɪn̪ˠəɾˠw
tige	ˈtʲɪɟɪ
éineacht	ˈeːnʲəxt̪ˠ
ofráil	ˈɔfˠɾˠɑːlʲ
dtóir	ˈd̪ˠóɾʲ
dochtúir	ˈd̪ˠɔxt̪ˠúɾʲ
lige	ˈlʲɪɟɪ
dtearn	dʲaɾˠn̪ˠ
imigh	ˈɪmʲə
seoid	ʃoːdʲ
bige	ˈbʲɪɟɪ
aige	ˈaɟɪ
ngé	ŋeː
Máiréad	ˈmˠɑːɾʲeːd̪ˠ
charachtar	ˈxaɾˠəxt̪ˠəɾˠ
léacsach	ˈlʲeːksˠəx
lastar	ˈlˠasˠt̪ˠəɾˠ
starr	sˠt̪ˠaːɾˠ
bligh	bʲlʲɪ
Fianna Fáil	ˌfʲiən̪ˠə ˈfˠɑːlʲ
Éigipt	ˈeːɟɪpʲtʲ
-óidh	-ó
tsúil	ˈt̪ˠsˠúlʲ
aghaidh	ˈaiə
bhocht	wɔxt̪ˠ
ngad	ŋad̪ˠ
boscaí	ˈbˠɔsˠkiː
shé	heː
Cian	ˈciən̪ˠ
carbad	ˈkaɾˠəbˠəd̪ˠ
fuireachas	ˈfˠɪɾʲəxəsˠ
Tiarna	ˈtʲiəɾˠn̪ˠə
bod gaoithe	bˠɔd̪ˠ ˈɡiːhə
breise	ˈbʲɾʲɛʃə
áilleacht	ˈɑːlˠəxt̪ˠ
binne	ˈbʲɪnʲə
Árainn	ˈɑːɾˠən̪ˠ
bric	bʲɾʲɪc
finne	ˈfʲɪnʲə
carbhat	ˈkaɾˠwət̪ˠ
cathach	ˈkahəx
cac	kak
Shamhain	ˈhəuənʲ
pas	pˠasˠ
greise	ˈɟɾʲɛʃə
stiall	ˈʃtʲiəlˠ
mac	mˠak
bpáistí	ˈbˠɑːʃtʲiː
goileann	ˈɡɛlʲən̪ˠ
teocht	tʲoːxt̪ˠ
moltaí	ˈmˠɔl̪ˠt̪ˠiː
sac	sˠak
ósta	ˈoːsˠt̪ˠə
folláin	ˈfˠɔlˠɑːnʲ
céibhe	ˈceːvʲə
dhorn	ɣɔɾˠn̪ˠ
bhfeolta	ˈvʲoːl̪ˠt̪ˠə
ghníomhaíocht	ˈnʲiːiːəxt̪ˠ
bheag	vʲaɡ
cistineacha	ˈcɪʃtʲənʲəxə
scailleagán	ˈsˠkalˠəɡɑːnˠ
báis	bˠɑːʃ
titim	ˈtʲɪtʲɪmʲ
cáis	kɑːʃ
maithiúnas	ˈmˠahuːn̪ˠəsˠ
ruaigim	ˈɾˠuəɟɪmʲ
bunscoil	ˈbˠʊn̪ˠsˠkəlʲ
Laighin	ˈlˠajɪnʲ
péin	pʲeːnʲ
dheinimís	ˈjɛnʲəmʲiːʃ
ndearnadar	ˈnʲaɾˠn̪ˠəd̪ˠəɾˠ
Blarna	ˈbˠlˠaɾˠn̪ˠə
adamh	ˈad̪ˠəu
teampall	ˈtʲamˠpˠəlˠ
héin	heːnʲ
tuaisceart	ˈt̪ˠuəʃcəɾˠt̪ˠ
féin	fʲeːnʲ
Sord	sˠɔɾˠd̪ˠ
stól	sˠt̪ˠoːlˠ
méin	mʲeːnʲ
soic	sˠɪc
d'fhág	d̪ˠ'ˈɑːɡ
Baile Átha Cliath	ˌbˠalʲə ɑːhə ˈclʲiə
Luan	lˠuən̪ˠ
cairdiúil	ˈkaɾʲədʲúlʲ
plátaí	ˈpˠlˠɑːt̪ˠiː
aiféala	ˈafʲeːlˠə
fraoch	fˠɾˠiːx
sol má	sˠɔlˠ ˈmˠɑː
ára	ˈɑːɾˠə
fíona	ˈfʲiːn̪ˠə
bíchearb	ˈbʲiːçəɾˠbˠ
stoirm	sˠt̪ˠɛɾʲmʲ
éigéille	ˈeːɟeːlʲə
rinne	ˈɾˠɪnʲə
ógh	ə
Mac	mˠak
thusa	ˈhʊsˠə
Chásca	ˈxɑːsˠkə
sochraid	ˈsˠɔxɾˠədʲ
aeróstach	ˈeːɾˠoːsˠt̪ˠəx
go deo	ɡəˈdʲoː
chéasta	ˈçeːsˠt̪ˠə
fhiartha	ˈiəɾˠə
féasta	ˈfʲeːsˠt̪ˠə
duan	d̪ˠuən̪ˠ
cuan	kuən̪ˠ
buan	bˠuən̪ˠ
clé	clʲeː
dearna	ˈdʲaɾˠn̪ˠə
dearmadaim	ˈdʲaɾˠmˠəd̪ˠəmʲ
cócaráil	ˈkoːkəɾˠɑːlʲ
Lá Fhéile Pádraig	lˠɑː eːlʲə ˈpˠɑːd̪ˠɾˠəc
dein	dʲɛnʲ
chuala	ˈxuəlˠə
bith	bʲɪ
bhreoiteacht	ˈvʲɾʲoːtʲəxt̪ˠ
riocht	ˈɾˠiəxt̪ˠ
branra	ˈbˠɾˠan̪ˠɾˠə
dúisím	ˈd̪ˠúʃiːmʲ
