word,tags,ipa
Béarla,Munster,ˈbʲiːa̯ɾˠl̪ˠə
Béarla,Ulster,ˈbʲɛːɾˠl̪ˠə
Béarlach,Munster; Connacht,ˈbʲeːɾˠl̪ˠəx
Béarlach,Ulster,ˈbʲeːɾˠl̪ˠa(x)
Béarlóireacht,Connacht,ˈbʲeːɾˠl̪ˠoːɾʲəxt̪ˠ
Béarlóireacht,Munster,bʲeːɾˠˈl̪ˠoːɾʲəxt̪ˠ
Béarlóireacht,Ulster,ˈbʲeːɾˠl̪ˠɔɾʲa(h)t̪ˠ
Bíobla,,ˈbʲiːbˠl̪ˠə
Cabúl,,"kaˈbˠuːlˠ, kaˈbˠuːl̪ˠ"
Cadhla,,ˈkəi̯lˠə
Caiseal,,"ˈkaʃəlˠ, ˈkaʃəl̪ˠ"
Caitliceach,Aran,ˈkɑt̪ˠəlʲəcəx
Caitliceach,Munster; Connacht,ˈkatʲlʲɪcəx
Caitliceach,Ulster,ˈkatʲlʲɨca(x)
Caitlín,Connacht,ˈkatʲlʲiːnʲ
Caitlín,Munster,katʲˈlʲiːnʲ
Caitríona,Ulster; Connacht,"ˈkatʲɾʲiːnˠə, ˈkatʲɾʲiːn̪ˠə"
Caitríona,Munster,kaˈtʲɾʲiːn̪ˠə
Caladh an Treoigh,Munster,ˈkɑl̪ˠə ənˠ t̪ˠɾoːɪɣ
Caoimhe,,ˈkiːvʲə
Caoimhín,Connacht,ˈkiːvʲiːnʲ
Caoimhín,Munster,kiːˈvʲiːnʲ
Caoimhín,Ulster,ˈkiːvʲinʲ
Carghais,Connacht,ˈkaɾˠiːʃ
Carghais,Munster,kɑˈɾˠiːʃ
Carghais,Ulster,ˈkaɾˠəɡəʃ
Carghas,Connacht,ˈkaɾˠiːsˠ
Carghas,Munster,kɑˈɾˠiːsˠ
Carghas,Ulster,ˈkɔɾˠəɡəsˠ
Carraig Fhearghais,Galway,ˌkaɾˠɪɟ ˈfʲaɾˠiːʃ
Carraig Fhearghais,Mayo,ˌkaɾˠɪc ˈfʲaɾˠiːʃ
